
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 8, 1997 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	2,772	2,828	14	507	607	76	4,367	5,420	-	155	221										
NEW ENGLAND	175	122	-	9	1	4	778	1,288	-	1	27										
Maine	17	11	-	-	-	-	6	44	-	-	-										
N.H.	15	7	-	-	-	2	118	124	-	-	-										
Vt.	4	4	-	-	-	1	206	154	-	-	2										
Mass.	84	52	-	2	1	1	406	904	-	1	21										
R.I.	19	13	-	6	-	-	16	30	-	-	-										
Conn.	36	35	-	1	-	-	26	32	-	-	4										
MID. ATLANTIC	280	292	1	46	79	6	314	430	-	30	13										
Upstate N.Y.	61	78	-	9	24	-	112	242	-	3	5										
N.Y. City	42	41	-	3	18	-	59	41	-	27	5										
N.J.	59	58	-	5	4	-	9	29	-	-	2										
Pa.	118	115	1	29	33	6	134	118	-	-	1										
E.N. CENTRAL	396	396	5	64	115	10	390	660	-	5	3										
Ohio	151	139	2	30	41	6	150	241	-	-	-										
Ind.	48	52	3	12	8	3	54	66	-	-	-										
Ill.	121	116	-	12	21	1	73	151	-	2	1										
Mich.	45	40	-	10	42	-	44	45	-	-	2										
Wis.	31	49	U	-	3	U	69	157	U	3	-										
W.N. CENTRAL	210	205	-	15	19	15	389	367	-	-	-										
Minn.	34	25	-	5	6	14	247	288	-	-	-										
Iowa	45	44	-	8	2	-	56	19	-	-	-										
Mo.	91	77	-	-	8	1	56	34	-	-	-										
N. Dak.	2	4	-	-	2	-	2	1	-	-	-										
S. Dak.	5	10	-	-	-	-	4	4	-	-	-										
Nebr.	14	21	-	2	-	-	11	8	-	-	-										
Kans.	19	24	-	-	1	-	13	13	-	-	-										
S. ATLANTIC	497	544	6	69	97	7	394	559	-	82	91										
Del.	5	2	-	-	-	-	1	22	-	-	-										
Md.	42	54	2	7	31	2	110	214	-	-	-										
D.C.	8	5	U	-	-	U	3	3	U	1	1										
Va.	52	54	-	10	15	-	42	80	-	1	2										
W. Va.	16	16	-	-	-	-	6	2	-	-	-										
N.C.	84	68	-	10	20	3	112	97	-	59	77										
S.C.	51	54	1	11	6	-	25	41	-	19	1										
Ga.	95	123	U	10	3	U	13	19	U	-	-										
Fla.	144	168	3	21	22	2	82	81	-	2	10										
E.S. CENTRAL	210	208	-	24	20	2	124	192	-	-	2										
Ky.	43	27	-	3	-	-	53	140	-	-	-										
Tenn.	78	56	-	5	1	-	36	20	-	-	-										
Ala.	71	76	-	9	4	2	27	23	-	-	2										
Miss.	18	49	U	7	15	U	8	9	U	-	N										
W.S. CENTRAL	267	294	2	55	44	12	226	142	-	4	8										
Ark.	31	30	-	1	1	8	60	7	-	-	-										
La.	47	57	1	13	13	-	18	9	-	-	1										
Okla.	39	35	-	-	1	2	29	17	-	-	-										
Tex.	150	172	1	41	29	2	119	109	-	4	7										
MOUNTAIN	164	163	-	54	23	7	1,018	476	-	6	6										
Mont.	9	9	U	-	-	U	18	33	U	-	-										
Idaho	10	22	-	3	-	3	563	101	-	1	2										
Wyo.	4	4	-	1	-	-	7	6	-	-	-										
Colo.	44	37	-	3	4	1	268	184	-	-	2										
N. Mex.	26	25	N	N	N	3	91	62	-	-	-										
Ariz.	41	35	-	32	1	-	35	31	-	5	1										
Utah	13	15	-	8	3	-	18	21	-	-	-										
Nev.	17	16	U	7	15	U	18	38	U	-	1										
PACIFIC	573	604	-	171	209	13	734	1,306	-	27	71										
Wash.	76	89	-	19	20	13	335	550	-	5	15										
Oreg.	113	107	N	N	N	-	17	59	-	-	1										
Calif.	375	394	U	125	156	U	355	661	U	14	52										
Alaska	2	8	U	4	3	U	14	3	U	-	-										
Hawaii	7	6	U	23	30	U	13	33	U	8	3										
Guam	1	4	U	1	10	U	-	-	U	-	-										
P.R.	10	11	-	7	1	-	1	3	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


