
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2007 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	78	301	524	212	463	2,430	6,547	8,061	5,780	11,707	28	40	60	52	89						
NEW ENGLAND	3	19	44	4	30	57	95	166	121	181	-	2	12	-	3						
Conn.	-	0	25	-	-	-	22	118	4	22	-	0	8	-	-						
Maine	1	3	14	2	-	-	2	8	1	3	-	0	4	-	-						
Mass.	-	8	18	-	22	52	46	86	110	103	-	1	7	-	3						
N.H.	-	0	9	-	1	5	3	9	6	13	-	0	2	-	-						
R.I.	-	1	17	-	-	-	9	19	-	38	-	0	2	-	-						
Vt.	2	3	12	2	7	-	1	4	-	2	-	0	2	-	-						
MID. ATLANTIC	15	64	107	27	87	142	648	858	477	1,149	2	9	18	5	25						
N.J.	-	9	16	-	16	66	104	160	125	194	-	1	4	-	6						
N.Y. (Upstate)	13	25	56	21	8	76	119	235	132	88	2	3	9	2	1						
N.Y. City	2	15	29	6	32	-	176	377	215	242	-	2	5	3	9						
Pa.	-	15	32	-	31	-	221	401	5	625	-	3	8	-	9						
E.N. CENTRAL	14	48	94	24	91	504	1,245	1,946	968	2,477	5	5	13	8	14						
Ill.	-	8	25	-	19	269	364	521	269	817	-	0	6	-	2						
Ind.	N	0	0	N	N	-	161	249	146	339	-	1	10	-	-						
Mich.	5	14	38	10	33	165	262	880	392	371	-	0	5	-	2						
Ohio	9	15	32	14	12	4	284	701	74	659	5	2	6	8	6						
Wis.	-	9	24	-	27	66	133	172	87	291	-	0	3	-	4						
W.N. CENTRAL	6	25	118	15	36	107	369	453	244	596	8	2	10	9	8						
Iowa	-	6	15	-	7	-	36	63	-	75	-	0	1	-	-						
Kans.	1	3	11	2	5	22	40	81	30	23	3	0	2	4	1						
Minn.	-	1	87	-	2	-	61	105	2	63	-	0	9	-	-						
Mo.	4	9	28	10	15	79	194	257	204	379	5	0	6	5	7						
Nebr.	1	2	9	1	3	-	27	56	-	39	-	0	2	-	-						
N. Dak.	-	0	2	-	-	-	2	6	1	4	-	0	2	-	-						
S. Dak.	-	2	6	2	4	6	6	15	7	13	-	0	0	-	-						
S. ATLANTIC	18	51	93	45	63	830	1,616	2,145	1,564	3,013	7	10	21	18	20						
Del.	-	0	4	1	1	36	27	44	62	66	-	0	1	-	-						
D.C.	-	1	4	-	2	42	35	59	70	84	-	0	2	-	-						
Fla.	16	21	44	29	30	311	456	551	651	744	-	3	9	2	4						
Ga.	-	11	26	12	17	1	351	717	10	38	3	2	5	8	6						
Md.	2	4	11	3	11	90	124	183	209	358	4	1	5	6	7						
N.C.	-	0	0	-	-	69	310	766	69	1,179	-	0	9	-	1						
S.C.	-	2	8	-	1	218	150	704	397	317	-	1	3	2	2						
Va.	-	8	28	-	1	48	127	249	78	184	-	1	7	-	-						
W. Va.	-	0	6	-	-	15	19	41	18	43	-	0	4	-	-						
E.S. CENTRAL	6	10	42	9	12	189	576	867	680	826	2	2	7	2	6						
Ala.	2	6	30	4	10	-	190	313	8	210	-	0	5	-	1						
Ky.	N	0	0	N	N	14	56	268	26	166	-	0	1	-	1						
Miss.	N	0	0	N	N	8	144	435	294	150	-	0	1	-	-						
Tenn.	4	4	12	5	2	167	190	238	352	300	2	1	4	2	4						
W.S. CENTRAL	2	6	15	2	-	126	899	1,265	639	1,515	1	1	5	2	-						
Ark.	-	2	8	-	-	91	81	142	155	218	-	0	2	-	-						
La.	-	0	6	-	-	35	130	354	61	270	-	0	3	-	-						
Okla.	2	2	11	2	-	-	90	185	128	104	1	1	4	2	-						
Tex.	N	0	0	N	N	-	579	918	295	923	-	0	2	-	-						
MOUNTAIN	14	30	68	25	35	185	214	428	283	464	3	4	9	6	11						
Ariz.	2	3	9	3	3	94	91	198	160	115	2	1	6	2	1						
Colo.	8	9	33	14	7	70	40	85	99	160	1	1	4	3	7						
Idaho	3	3	12	4	7	-	3	20	-	5	-	0	1	1	-						
Mont.	-	2	11	-	1	-	3	20	-	3	-	0	0	-	-						
Nev.	-	1	9	-	3	-	23	135	-	29	-	0	1	-	-						
N. Mex.	-	1	6	-	1	-	31	65	-	117	-	0	2	-	2						
Utah	1	7	25	4	12	21	17	26	24	26	-	0	4	-	1						
Wyo.	-	0	4	-	1	-	2	6	-	9	-	0	1	-	-						
PACIFIC	-	59	99	61	109	290	788	968	804	1,486	-	2	8	2	2						
Alaska	-	1	17	-	2	3	10	26	4	13	-	0	2	2	-						
Calif.	-	41	68	52	77	163	651	834	619	1,276	-	0	5	-	-						
Hawaii	-	1	4	2	3	-	16	26	9	38	-	0	1	-	-						
Oreg.	-	8	14	7	27	-	28	49	-	32	-	1	6	-	2						
Wash.	-	7	22	-	-	124	76	142	172	127	-	0	1	-	-						
Amer. Samoa	U	0	0	U	U	U	0	2	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	12	-	-	-	5	16	5	10	-	0	0	-	-						
V.I.	U	0	0	U	U	U	0	5	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for H. influenzae (age <5 yrs serotype b, nonserotype b, and unknown serotype) are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


