
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2000 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2000
Shigellosis NETSS cummulative for 1999
Shigellosis PHLIS cummulative for 2000
Shigellosis PHLIS cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 1999
Tuberculosis cummulative for 2000
Tuberculosis cummulative for 1999

tab delimited data:
test
UNITED STATES	243	687	41	458	151	333	73	524													
NEW ENGLAND	8	8	1	12	1	3	-	12													
Maine	-	-	-	-	-	-	-	-													
N.H.	1	1	-	3	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	7	6	-	7	1	2	-	4													
R.I.	-	-	-	-	-	-	-	5													
Conn.	-	1	1	2	-	1	-	3													
MID. ATLANTIC	2	50	3	39	9	12	16	15													
Upstate N.Y.	1	5	3	11	-	-	-	-													
N.Y. City	1	13	-	17	6	5	10	9													
N.J.	-	25	-	11	-	5	-	-													
Pa.	-	7	-	-	3	2	6	6													
E.N. CENTRAL	67	182	1	75	32	37	-	32													
Ohio	10	72	-	7	3	5	-	16													
Ind.	2	1	-	1	13	7	-	4													
Ill.	-	63	-	60	10	21	-	12													
Mich.	55	24	-	-	-	-	-	-													
Wis.	-	22	1	7	6	4	-	-													
W.N. CENTRAL	20	49	9	40	-	12	2	6													
Minn.	4	4	5	9	-	-	1	5													
Iowa	6	-	-	-	-	-	-	-													
Mo.	10	36	4	28	-	11	1	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	5	-	2	-	1	-	-													
Kans.	-	4	-	1	-	-	-	-													
S. ATLANTIC	7	47	1	24	74	140	16	28													
Del.	-	2	-	1	-	-	-	2													
Md.	1	5	1	-	6	19	-	6													
D.C.	-	2	U	U	33	8	-	2													
Va.	1	-	-	-	12	11	-	-													
W. Va.	-	-	-	-	-	1	-	3													
N.C.	4	11	-	6	19	37	-	-													
S.C.	1	10	-	3	4	12	16	14													
Ga.	-	-	-	5	-	32	-	-													
Fla.	-	17	-	9	-	20	-	1													
E.S. CENTRAL	7	107	1	64	8	65	11	18													
Ky.	1	9	U	U	1	6	-	4													
Tenn.	-	79	1	57	-	29	4	-													
Ala.	2	10	-	7	7	24	7	12													
Miss.	4	9	-	-	-	6	-	2													
W.S. CENTRAL	1	70	7	155	12	45	-	99													
Ark.	1	6	-	4	1	1	-	-													
La.	-	2	5	12	-	9	-	U													
Okla.	-	25	1	-	5	10	-	2													
Tex.	-	37	1	139	6	25	-	97													
MOUNTAIN	46	37	11	33	9	5	3	8													
Mont.	-	1	-	-	-	-	-	-													
Idaho	2	2	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	2	8	7	12	1	-	-	U													
N. Mex.	8	4	-	3	-	-	3	2													
Ariz.	23	18	2	13	8	5	-	3													
Utah	2	3	2	3	-	-	-	2													
Nev.	9	1	-	2	-	-	-	1													
PACIFIC	85	137	7	16	6	14	25	306													
Wash.	2	1	2	8	2	-	9	4													
Oreg.	4	2	5	3	-	1	-	6													
Calif.	78	130	-	-	4	13	16	285													
Alaska	1	-	-	-	-	-	-	2													
Hawaii	-	4	-	5	-	-	-	9													
Guam	-	1	U	U	-	-	-	-													
P.R.	-	-	U	U	12	14	-	-													
V.I.	-	U	U	U	-	U	-	U													
Amer. Samoa	-	U	U	U	-	U	-	U													
C.N.M.I.	-	U	U	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


