
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 16, 2005 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	264	265	36	49	43	33	3,959	4,501	78,887	91,837											
NEW ENGLAND	18	11	8	12	8	2	381	381	1,341	2,065											
Maine	-	-	1	-	-	-	41	35	41	83											
N.H.	2	2	1	-	-	-	13	16	39	36											
Vt.	1	-	-	-	-	-	45	22	11	23											
Mass.	4	3	1	4	8	2	161	204	842	926											
R.I.	1	1	-	-	-	-	21	23	152	271											
Conn.	10	5	5	8	-	-	100	81	256	726											
MID. ATLANTIC	32	23	3	3	1	10	733	991	8,160	10,557											
Upstate N.Y.	14	6	3	1	-	3	246	254	1,774	2,048											
N.Y. City	1	6	-	-	-	-	192	337	2,079	3,305											
N.J.	9	2	-	1	-	4	90	124	1,150	1,961											
Pa.	8	9	-	1	1	3	205	276	3,157	3,243											
E.N. CENTRAL	55	63	5	11	3	4	512	691	13,738	19,612											
Ohio	23	15	1	-	2	4	165	215	3,963	6,149											
Ind.	6	13	-	-	-	-	N	N	2,202	1,821											
Ill.	6	13	1	-	-	-	92	231	4,124	5,689											
Mich.	10	9	-	2	1	-	156	150	2,134	4,679											
Wis.	10	13	3	9	-	-	99	95	1,315	1,274											
W.N. CENTRAL	36	43	5	7	6	7	490	492	4,454	5,214											
Minn.	4	19	2	3	2	-	240	161	731	1,239											
Iowa	8	5	-	-	-	-	63	61	324	360											
Mo.	12	3	2	4	2	2	100	152	2,674	2,446											
N. Dak.	1	2	-	-	-	3	1	8	15	46											
S. Dak.	2	1	-	-	-	-	20	19	101	80											
Nebr.	5	7	1	-	1	-	29	46	106	326											
Kans.	4	6	-	-	1	2	37	45	503	717											
S. ATLANTIC	51	28	7	7	18	7	706	720	19,653	22,045											
Del.	-	-	N	N	N	N	3	16	210	292											
Md.	5	3	2	-	-	2	47	26	1,874	2,380											
D.C.	-	-	-	-	-	-	13	27	573	694											
Va.	2	1	2	5	4	-	141	99	2,388	2,641											
W. Va.	-	1	-	-	-	-	8	9	193	230											
N.C.	-	-	-	-	9	4	N	N	4,812	4,274											
S.C.	1	2	-	-	-	-	26	19	2,500	2,731											
Ga.	7	9	1	1	-	-	225	211	1,813	3,971											
Fla.	36	12	2	1	5	1	243	313	5,290	4,832											
E.S. CENTRAL	9	11	-	1	4	2	90	86	6,034	6,838											
Ky.	-	4	-	1	3	2	N	N	1,015	703											
Tenn.	6	2	-	-	1	-	39	35	2,185	2,340											
Ala.	3	1	-	-	-	-	51	51	1,126	2,087											
Miss.	-	4	-	-	-	-	-	-	1,708	1,708											
W.S. CENTRAL	5	20	1	3	2	1	60	77	12,405	12,353											
Ark.	1	1	-	1	-	-	21	37	1,265	1,040											
La.	-	1	1	-	2	-	8	13	2,801	3,417											
Okla.	1	3	-	-	-	-	31	27	1,346	1,277											
Tex.	3	15	-	2	-	1	N	N	6,993	6,619											
MOUNTAIN	24	30	7	4	1	-	307	335	3,236	3,270											
Mont.	1	2	-	-	-	-	9	8	33	15											
Idaho	3	6	4	1	-	-	25	49	31	22											
Wyo.	-	-	1	-	-	-	6	3	16	16											
Colo.	3	5	1	1	-	-	108	106	783	854											
N. Mex.	-	5	1	1	-	-	12	18	141	287											
Ariz.	6	4	N	N	N	N	53	66	1,320	1,358											
Utah	4	5	-	-	-	-	74	64	200	108											
Nev.	7	3	-	1	1	-	20	21	712	610											
PACIFIC	34	36	-	1	-	-	680	728	9,866	9,883											
Wash.	6	4	-	-	-	-	50	52	1,007	803											
Oreg.	2	5	-	1	-	-	60	114	435	291											
Calif.	20	23	-	-	-	-	529	518	8,061	8,150											
Alaska	2	1	-	-	-	-	18	21	143	204											
Hawaii	4	3	-	-	-	-	23	23	220	435											
Guam	N	N	-	-	-	-	-	-	-	54											
P.R.	-	-	-	-	-	-	10	9	118	63											
V.I.	-	-	-	-	-	-	-	-	2	41											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


