
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2005 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	416	615	233	359	55	88	581	810	10	62											
NEW ENGLAND	16	36	-	1	6	9	25	12	-	-											
Maine	1	1	N	N	-	-	-	-	-	-											
N.H.	1	4	-	-	-	N	2	1	-	-											
Vt.	2	-	-	-	-	-	-	-	-	-											
Mass.	12	29	-	-	6	9	23	5	-	-											
R.I.	-	2	-	1	-	-	-	1	-	-											
Conn.	-	-	-	-	U	U	-	5	-	-											
MID. ATLANTIC	80	97	26	22	13	7	69	109	1	13											
Upstate N.Y.	30	23	6	6	6	3	6	3	1	1											
N.Y. City	6	26	U	U	U	U	48	69	-	3											
N.J.	13	22	N	N	1	-	12	19	-	8											
Pa.	31	26	20	16	6	4	3	18	-	1											
E.N. CENTRAL	39	150	41	98	15	26	39	81	-	14											
Ohio	17	38	35	81	11	16	15	23	-	-											
Ind.	5	8	6	17	3	3	5	7	-	2											
Ill.	2	42	-	-	1	-	15	38	-	2											
Mich.	15	48	-	N	-	N	3	10	-	10											
Wis.	-	14	N	N	-	7	1	3	-	-											
W.N. CENTRAL	20	29	8	1	3	9	16	24	-	-											
Minn.	-	-	-	-	-	3	1	4	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	11	10	8	1	-	3	13	15	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	3	3	-	-	-	-	-	-	-	-											
Nebr.	3	3	-	-	1	2	1	4	-	-											
Kans.	2	10	N	N	1	1	1	-	-	-											
S. ATLANTIC	102	103	117	173	8	8	181	188	2	9											
Del.	-	-	-	-	-	N	2	1	-	-											
Md.	31	23	-	-	8	6	41	32	-	2											
D.C.	-	-	-	3	-	2	11	6	-	-											
Va.	3	7	N	N	-	N	5	3	1	1											
W. Va.	-	4	-	7	-	-	-	2	-	-											
N.C.	14	11	N	N	U	U	33	13	-	-											
S.C.	-	1	-	11	-	N	9	16	-	2											
Ga.	21	28	42	58	-	N	-	26	-	-											
Fla.	33	29	75	94	-	N	80	89	1	4											
E.S. CENTRAL	6	33	11	19	-	-	38	48	2	2											
Ky.	2	15	2	4	N	N	1	8	-	-											
Tenn.	4	18	9	15	-	N	14	22	1	1											
Ala.	-	-	-	-	-	N	20	13	1	1											
Miss.	-	-	-	-	-	-	3	5	-	-											
W.S. CENTRAL	15	56	14	13	2	19	106	119	4	16											
Ark.	2	2	3	1	-	-	3	9	-	-											
La.	2	1	11	12	1	6	12	20	-	-											
Okla.	11	8	N	N	1	2	8	3	1	2											
Tex.	-	45	N	N	-	11	83	87	3	14											
MOUNTAIN	103	37	9	8	8	10	28	42	1	1											
Mont.	1	-	-	-	-	-	-	-	-	-											
Idaho	-	1	N	N	-	N	-	4	-	-											
Wyo.	1	3	2	3	-	-	-	1	-	-											
Colo.	40	13	N	N	7	10	-	8	-	-											
N. Mex.	8	15	-	3	-	-	6	11	-	1											
Ariz.	49	3	N	N	-	N	17	14	1	-											
Utah	4	2	6	1	1	-	-	2	-	-											
Nev.	-	-	1	1	-	-	5	2	-	-											
PACIFIC	35	74	7	24	-	-	79	187	-	7											
Wash.	N	N	N	N	N	N	14	11	-	-											
Oreg.	N	N	N	N	-	N	-	9	-	-											
Calif.	20	54	N	N	-	N	64	166	-	7											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	15	20	7	24	-	-	1	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	10	10	-	-											
V.I.	-	-	-	-	-	-	-	2	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


