
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2001 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	10	45	-	-	1	8	8	90	-	-	-										
NEW ENGLAND	1	1	-	-	-	5	5	28	-	-	-										
Maine	-	1	-	-	-	-	-	-	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	4	4	7	-	-	-										
Mass.	1	-	-	-	-	1	1	21	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	-	U	-	-	U	-	-	U	-	-										
MID. ATLANTIC	1	4	-	-	-	-	-	4	-	-	-										
Upstate N.Y.	1	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	1	-	-	-	-	-	4	-	-	-										
N.J.	-	1	-	-	-	-	-	-	-	-	-										
Pa.	-	2	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	2	9	-	-	1	1	1	28	-	-	-										
Ohio	1	1	-	-	-	-	-	26	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	4	-	-	-	-	-	1	-	-	-										
Mich.	1	2	-	-	1	1	1	1	-	-	-										
Wis.	-	2	-	-	-	-	-	-	-	-	-										
W.N. CENTRAL	-	6	-	-	-	1	1	-	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	-	-	-	-	-	-	-										
Mo.	-	6	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	1	1	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	U	-	-	U	-	-	U	-	-										
S. ATLANTIC	3	3	-	-	-	-	-	5	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	2	2	-	-	-	-	-	2	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	U	-	-	U	-	-	U	-	-										
N.C.	-	1	-	-	-	-	-	3	-	-	-										
S.C.	-	-	-	-	-	-	-	-	-	-	-										
Ga.	1	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	1	-	-	-	-	-	10	-	-	-										
Ky.	-	1	U	-	-	U	-	8	U	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	-	-	-	-	2	-	-	-										
Miss.	-	-	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	-	6	-	-	-	-	-	-	-	-	-										
Ark.	-	-	-	-	-	-	-	-	-	-	-										
La.	-	5	-	-	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	1	U	-	-	U	-	-	U	-	-										
MOUNTAIN	1	2	-	-	-	1	1	9	-	-	-										
Mont.	-	-	U	-	-	U	-	-	U	-	-										
Idaho	1	1	-	-	-	1	1	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	-	-	3	-	-	-										
N. Mex.	-	-	-	-	N	-	-	4	-	-	-										
Ariz.	-	-	-	-	-	-	-	-	-	-	-										
Utah	-	-	-	-	-	-	-	2	-	-	-										
Nev.	-	-	-	-	-	-	-	-	-	-	-										
PACIFIC	2	13	-	-	-	-	-	6	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	2	2	N	N	N	-	-	3	-	-	-										
Calif.	-	11	-	-	-	-	-	2	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	-	-	-	1	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	1	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


