
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 6, 2002 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	76	22	1	5	1	-	5,816	6,590													
NEW ENGLAND	-	-	-	-	-	-	343	446													
Maine	-	-	-	-	-	-	46	27													
N.H.	-	-	-	-	-	-	15	32													
Vt.	-	-	-	-	-	-	16	20													
Mass.	-	-	-	-	-	-	181	273													
R.I.	-	-	-	-	-	-	5	21													
Conn.	-	-	-	-	-	-	80	73													
MID. ATLANTIC	6	1	-	3	-	-	608	1,038													
Upstate N.Y.	1	-	-	1	-	-	154	172													
N.Y. City	-	-	-	2	-	-	234	223													
N.J.	-	-	-	-	-	-	76	389													
Pa.	5	1	-	-	-	-	144	254													
E.N. CENTRAL	3	2	-	1	-	-	990	906													
Ohio	3	-	-	-	-	-	301	284													
Ind.	-	1	-	-	-	-	50	61													
Ill.	-	1	-	1	-	-	322	256													
Mich.	-	-	-	-	-	-	206	157													
Wis.	-	-	-	-	-	-	111	148													
W.N. CENTRAL	8	3	-	-	-	-	460	387													
Minn.	-	-	-	-	-	-	98	126													
Iowa	-	-	-	-	-	-	67	56													
Mo.	8	3	-	-	-	-	212	97													
N. Dak.	-	-	-	-	-	-	5	1													
S. Dak.	-	-	-	-	-	-	20	23													
Nebr.	-	-	-	-	-	-	-	32													
Kans.	-	-	-	-	-	-	58	52													
S. ATLANTIC	53	12	1	-	-	-	1,658	1,477													
Del.	-	-	-	-	-	-	11	20													
Md.	5	2	1	-	-	-	140	141													
D.C.	-	-	-	-	-	-	19	18													
Va.	1	-	-	-	-	-	143	150													
W. Va.	-	-	-	-	-	-	10	9													
N.C.	31	7	-	-	-	-	233	258													
S.C.	6	1	-	-	-	-	77	146													
Ga.	9	-	-	-	-	-	460	391													
Fla.	1	2	-	-	-	-	565	344													
E.S. CENTRAL	5	3	-	-	-	-	332	349													
Ky.	-	-	-	-	-	-	46	63													
Tenn.	4	2	-	-	-	-	102	93													
Ala.	1	1	-	-	-	-	109	130													
Miss.	-	-	-	-	-	-	75	63													
W.S. CENTRAL	-	-	-	-	-	-	124	686													
Ark.	-	-	-	-	-	-	49	55													
La.	-	-	-	-	-	-	13	147													
Okla.	-	-	-	-	-	-	60	29													
Tex.	-	-	-	-	-	-	2	455													
MOUNTAIN	1	1	-	-	-	-	409	395													
Mont.	-	-	-	-	-	-	10	12													
Idaho	-	1	-	-	-	-	23	18													
Wyo.	-	-	-	-	-	-	11	20													
Colo.	-	-	-	-	-	-	117	106													
N. Mex.	-	-	-	-	-	-	61	51													
Ariz.	-	-	-	-	-	-	100	123													
Utah	-	-	-	-	-	-	38	41													
Nev.	1	-	-	-	-	-	49	24													
PACIFIC	-	-	-	1	1	-	892	906													
Wash.	-	-	-	-	-	-	41	84													
Oreg.	-	-	-	-	-	-	63	20													
Calif.	-	-	-	-	-	-	725	713													
Alaska	-	-	-	-	-	-	15	10													
Hawaii	-	-	-	1	1	-	48	79													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	41	193													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	2	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


