
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2007 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	511	226	1,150	5,436	8,078	13	22	105	468	677	10	19	87	597	708						
NEW ENGLAND	221	36	339	817	1,843	-	1	5	19	38	-	1	3	28	24						
Conn.	214	12	184	567	544	-	0	3	1	10	-	0	1	5	8						
Maine	-	2	38	47	39	-	0	1	3	3	-	0	3	5	2						
Mass.	-	1	145	7	902	-	0	3	14	17	-	0	2	14	11						
N.H.	-	6	70	141	337	-	0	1	1	7	-	0	1	-	1						
R.I.	-	0	93	1	1	-	0	1	-	-	-	0	1	1	-						
Vt.	7	1	16	54	20	-	0	0	-	1	-	0	1	3	2						
MID. ATLANTIC	224	113	560	2,868	3,985	4	5	18	110	164	3	2	8	77	115						
N.J.	9	26	152	578	1,451	-	0	7	-	48	-	0	2	1	12						
N.Y. (Upstate)	142	50	426	899	1,023	3	1	7	30	18	1	1	2	24	26						
N.Y. City	-	1	23	11	117	-	3	9	66	81	-	0	4	21	42						
Pa.	73	44	223	1,380	1,394	1	1	4	14	17	2	1	5	31	35						
E.N. CENTRAL	2	5	137	91	1,120	1	2	10	50	79	4	3	9	80	103						
Ill.	-	0	16	6	67	-	1	6	18	37	-	0	3	21	29						
Ind.	2	0	4	13	9	-	0	2	5	7	2	0	4	16	14						
Mich.	-	1	5	14	15	-	0	2	7	11	-	0	3	14	17						
Ohio	-	0	5	6	22	1	0	2	13	18	2	1	3	23	28						
Wis.	-	3	113	52	1,007	-	0	3	7	6	-	0	3	6	15						
W.N. CENTRAL	15	4	195	132	191	1	0	12	21	26	-	1	5	37	40						
Iowa	-	1	8	34	68	-	0	1	2	1	-	0	3	9	9						
Kans.	-	0	2	7	3	-	0	2	1	3	-	0	1	1	1						
Minn.	12	1	188	75	111	-	0	12	11	14	-	0	3	10	10						
Mo.	3	0	4	13	2	-	0	1	2	4	-	0	3	10	12						
Nebr.	-	0	2	3	6	1	0	1	4	2	-	0	1	2	6						
N. Dak.	-	0	7	-	-	-	0	1	-	1	-	0	3	2	1						
S. Dak.	-	0	0	-	1	-	0	1	1	1	-	0	1	3	1						
S. ATLANTIC	39	47	134	1,389	883	3	5	14	111	176	1	3	11	96	122						
Del.	15	9	27	333	277	-	0	1	3	5	-	0	1	2	4						
D.C.	-	0	7	13	11	-	0	2	3	2	-	0	1	-	-						
Fla.	2	1	3	23	8	-	1	4	22	23	-	1	7	34	48						
Ga.	-	0	1	1	5	1	0	5	12	59	-	0	3	9	10						
Md.	-	23	108	675	501	-	1	4	28	40	-	0	2	16	7						
N.C.	1	0	6	21	15	-	0	4	13	13	1	0	6	13	22						
S.C.	-	0	2	10	5	1	0	2	5	5	-	0	2	10	13						
Va.	21	9	36	303	58	1	1	4	24	28	-	0	2	12	14						
W. Va.	-	0	14	10	3	-	0	1	1	1	-	0	2	-	4						
E.S. CENTRAL	-	1	4	26	9	-	0	3	19	12	-	1	4	31	27						
Ala.	-	0	3	7	3	-	0	2	4	6	-	0	2	6	4						
Ky.	-	0	2	1	-	-	0	1	4	1	-	0	2	6	7						
Miss.	-	0	1	-	1	-	0	1	1	3	-	0	4	7	2						
Tenn.	-	0	3	18	5	-	0	2	10	2	-	0	2	12	14						
W.S. CENTRAL	-	1	5	30	7	1	1	29	37	43	-	2	15	57	67						
Ark.	-	0	0	-	-	-	0	2	-	1	-	0	2	7	6						
La.	-	0	1	2	-	-	0	2	12	3	-	0	4	15	28						
Okla.	-	0	0	-	-	1	0	3	4	3	-	0	4	14	8						
Tex.	-	1	5	28	7	-	1	25	21	36	-	0	11	21	25						
MOUNTAIN	-	1	3	12	7	-	1	6	30	34	1	1	5	47	42						
Ariz.	-	0	1	-	4	-	0	3	5	12	-	0	3	13	11						
Colo.	-	0	1	1	-	-	0	2	11	10	-	0	2	15	14						
Idaho	-	0	2	4	-	-	0	1	-	-	-	0	1	3	1						
Mont.	-	0	1	1	-	-	0	1	2	1	-	0	1	1	3						
Nev.	-	0	2	5	1	-	0	1	2	1	-	0	1	3	4						
N. Mex.	-	0	1	-	2	-	0	1	1	3	-	0	1	2	2						
Utah	-	0	1	1	-	-	0	3	9	7	1	0	2	8	5						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	2	2						
