
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 14, 2006 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	33	45	91	66	94	52	160	210	92	256	614	512	1,768	973	767						
NEW ENGLAND	-	2	12	-	10	6	4	11	7	9	8	46	1,119	36	161						
Conn.	U	0	0	U	U	-	0	7	-	-	U	0	0	U	U						
Maine	N	0	0	N	N	-	0	1	-	-	6	2	19	19	29						
Mass.	-	1	6	-	10	5	2	7	6	9	-	34	86	-	128						
N.H.	-	0	0	-	-	1	0	2	1	-	2	2	1,110	5	-						
R.I.	-	0	7	-	-	-	0	6	-	-	-	0	0	-	-						
Vt.	-	0	2	-	-	-	0	1	-	-	-	1	14	12	4						
MID. ATLANTIC	-	3	10	2	9	7	20	31	14	33	145	110	211	229	36						
N.J.	N	0	0	N	N	-	2	7	-	4	-	0	0	-	-						
N.Y. (Upstate)	-	1	9	-	1	-	2	7	-	-	-	0	0	-	-						
N.Y. City	U	0	0	U	U	6	12	20	12	26	-	0	0	-	-						
Pa.	-	2	9	2	8	1	3	7	2	3	145	110	211	229	36						
E.N. CENTRAL	18	11	31	28	9	12	16	40	15	17	393	124	460	457	296						
Ill.	-	0	2	-	-	8	7	30	8	3	-	2	5	-	1						
Ind.	-	3	16	-	-	-	1	5	-	1	-	0	245	-	-						
Mich.	1	1	7	2	1	1	1	8	1	-	51	81	351	112	205						
Ohio	17	7	20	26	8	3	4	11	6	12	342	27	342	342	63						
