
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 4, 2006 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	21	48	154	50	103	108	273	454	632	799	78	80	151	373	415						
NEW ENGLAND	-	4	14	-	10	-	5	15	17	16	1	3	8	6	15						
Conn.	-	1	4	-	4	-	1	4	1	1	U	0	0	U	U						
Maine	-	0	5	-	-	-	0	1	-	-	-	0	2	1	1						
Mass.	-	2	8	-	6	-	3	9	15	13	-	2	6	3	11						
N.H.	-	0	2	-	-	-	0	4	1	1	-	0	1	1	1						
R.I.	-	0	2	-	-	-	0	6	-	-	-	0	3	-	-						
Vt.	-	0	2	-	-	-	0	4	-	1	1	0	2	1	2						
MID. ATLANTIC	-	6	24	-	9	6	22	65	29	95	11	16	38	67	88						
N.J.	-	1	6	-	2	-	5	14	-	26	-	3	9	-	20						
N.Y. (Upstate)	-	2	13	-	2	6	5	31	18	11	5	4	16	23	26						
N.Y. City	-	0	2	-	1	-	7	22	9	53	-	3	9	8	12						
Pa.	-	2	8	-	4	-	2	48	2	5	6	5	12	36	30						
E.N. CENTRAL	4	8	30	8	26	6	16	78	29	64	18	15	41	76	88						
Ill.	-	1	7	-	7	-	5	23	1	21	-	3	10	9	22						
Ind.	2	1	7	4	-	2	1	56	3	-	11	1	9	13	4						
Mich.	-	1	8	1	5	1	4	14	10	29	1	6	15	24	38						
Ohio	2	2	14	3	9	3	2	11	11	7	6	4	14	30	15						
Wis.	-	2	15	-	5	-	3	9	4	7	-	1	8	-	9						
W.N. CENTRAL	4	7	38	13	18	7	37	64	98	64	2	5	19	22	19						
Iowa	-	1	10	3	5	-	1	9	2	9	N	0	0	N	N						
Kans.	-	1	4	-	1	3	4	20	8	3	1	0	5	13	1						
Minn.	4	2	23	10	2	1	2	6	7	1	-	1	15	-	-						
Mo.	-	2	7	-	5	-	22	45	68	32	-	1	6	4	9						
