
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2009 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	60	52	105	293	404	7	8	23	29	41	94	240	433	834	1,059						
NEW ENGLAND	-	1	48	3	7	-	0	5	-	-	3	5	14	29	22						
Conn.	-	0	48	-	-	-	0	5	-	-	2	0	3	4	-						
Maine	-	0	2	-	2	-	0	1	-	-	-	0	2	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	1	4	11	21	19						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	4	1						
R.I.	-	0	2	-	3	-	0	1	-	-	-	0	5	-	2						
Vt.	-	0	2	3	2	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	3	4	13	11	31	-	0	2	1	1	32	32	52	156	165						
N.J.	-	0	0	-	-	-	0	0	-	-	-	3	9	10	25						
N.Y. (Upstate)	1	1	6	3	4	-	0	1	1	-	1	2	7	4	6						
N.Y. City	-	1	6	-	9	-	0	0	-	-	29	20	36	124	102						
Pa.	2	1	9	8	18	-	0	2	-	1	2	5	12	18	32						
E.N. CENTRAL	5	11	41	49	108	1	2	7	5	16	20	16	239	93	78						
Ill.	-	0	7	-	37	-	0	2	-	7	-	2	230	18	16						
Ind.	-	2	31	-	16	-	0	5	-	1	3	3	10	11	9						
Mich.	1	0	3	3	4	-	0	1	-	1	7	3	18	25	13						
Ohio	4	7	18	46	51	1	1	4	5	7	9	6	15	34	35						
Wis.	-	0	0	-	-	-	0	0	-	-	1	1	3	5	5						
W.N. CENTRAL	1	2	9	9	31	1	0	2	3	1	1	8	14	22	45						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	-						
Kans.	1	1	5	2	12	1	0	1	2	1	1	0	5	1	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	5	10						
Mo.	-	1	5	7	19	-	0	1	1	-	-	4	10	14	34						
