
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending September 29, 2007 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	1	-	-	-	2		
Botulism:										
foodborne	-	14	0	20	19	16	20	28		
infant	-	61	2	97	85	87	76	69		
other(wound & unspecified)	-	19	1	48	31	30	33	21		
Brucellosis	3	93	2	121	120	114	104	125	NC (1 ), TX (1 ), CA (1 )	
Chancroid	1	23	1	33	17	30	54	67	NY (1 )	
Cholera	-	1	0	9	8	5	2	2		
Cyclosporiasis §	1	81	1	136	543	171	75	156	NY (1 )	
Diphtheria	-	-	-	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	22	6	67	80	112	108	164		
eastern equine	-	3	0	8	21	6	14	10		
Powassan	-	-	-	1	1	1	-	1		
St. Louis	-	2	1	10	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	7	344	10	646	786	537	362	511	NY (6 ), NC (1 )	
human monocytic	15	447	11	578	506	338	321	216	NY (1 ), NC (10 ), FL (1 ), TN (1 ), AR (1 ), OK (1 )	
human (other & unspecified)	1	123	2	231	112	59	44	23	MD (1 )	
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype B	-	11	0	29	9	19	32	34		
nonserotype B	-	91	2	175	135	135	117	144		
unknown serotype	-	159	3	179	217	177	227	153		
Hansen disease §	2	40	1	66	87	105	95	96	NV (1 ), CA (1 )	
Hantavirus pulmonary syndrome §	-	19	0	40	26	24	26	19		
Hemolytic uremic syndrome, post-diarrheal §	-	153	6	288	221	200	178	216		
Hepatitis C viral, acute	9	491	20	802	652	713	1,102	1,835	NY (1 ), MI (1 ), MD (1 ), NC (2 ), GA (1 ), FL (1 ), KY (1 ), CA (1 )	
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	3	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	-	73	0	43	45	-	N	N		
Listeriosis	13	470	21	875	896	753	696	665	MI (1 ), NC (6 ), SC (1 ), AR (1 ), OK (1 ), TX (1 ), NV (1 ), CA (1 )	
Measles ¶¶	2	30	0	55	66	37	56	44	TX (2 )	
Meningococcal disease, invasive *** :										
A,C,Y, and W-135	2	200	4	318	297	-	-	-	IN (2 )	
serogroup B	1	101	2	193	156	-	-	-	UT (1 )	
other serogroup	1	18	0	32	27	-	-	-	OK (1 )	
unknown serogroup	6	449	10	651	765	-	-	-	NY (1 ), NC (1 ), FL (1 ), CA (3 )	
Mumps	2	586	15	6,584	314	258	231	270	OH (1 ), CA (1 )	
Novel influenza A infection virus	-	2	-	N	N	N	N	N		
Plague	-	4	0	17	8	3	1	2		
Poliomyelitis, paralytic	-	-	0	-	1	-	-	-		
Poliovirus infection, nonparalytic §	-	-	-	N	N	N	N	N		
Psittacosis §	1	6	0	21	16	12	12	18	FL (1 )	
Q fever §	2	131	2	169	136	70	71	61	MO (1 ), CA (1 )	
Rabies, human	-	-	0	3	2	7	2	3		
Rubella †††	1	11	0	11	11	10	7	18	MO (1 )	
Rubella, congenital syndrome	-	-	-	1	1	-	1	1		
SARS CoV §, §§§	-	-	-	-	-	-	8	N		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	77	1	125	129	132	161	118		
Syphilis, congenital (age &lt;1 yr)	-	305	8	380	329	353	413	412		
Tetanus	-	13	0	41	27	34	20	25		
Toxic-shock syndrome (staphylococcal) §	5	61	2	101	90	95	133	109	NH (1 ), NC (2 ), CA (2 )	
Trichinellosis	-	5	0	15	16	5	6	14		
Tularemia	1	97	3	95	154	134	129	90	AK (1 )	
Typhoid fever	4	234	9	353	324	322	356	321	NY (1 ), MD (1 ), CA (2 )	
Vancomycin-intermediate Staphylococcus aureus §	-	14	0	6	2	-	N	N		
Vancomycin-resistant Staphylococcus aureus §	-	-	-	1	3	1	N	N		
Vibriosis (non-cholera Vibrio species infections) §	9	234	2	N	N	N	N	N	NY (1 ), OH (1 ), FL (4 ), TN (1 ), CA (2 )	
Yellow fever	-	-	-	-	-	-	-	1		

-: No reported cases
N: Not notifiable
Cum: Cumulative year-to-date counts.

* Incidence data for reporting year 2007 are provisional, whereas data for 
2002, 2003, 2004, 2005, and 2006 are finalized.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatic mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and non-neuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** Data for H. influenzae (all ages, all serotypes) are available in Table II.

†† Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV/AIDS, 
Viral Hepatitis, STD, and TB Prevention. Implementation of HIV reporting influences the 
number of cases reported. Updates of pediatric HIV data have been temporarily suspended until upgrading 
of the national HIV/ AIDS surveillance data management system is completed. Data for HIV/AIDS usually are 
available quarterly in Table IV.

§§ Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

