
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 11, 1999 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	40,933	42,308	558,680	558,222	2,265	3,566	3,319	2,832	2,225	2,118											
NEW ENGLAND	2,090	1,664	19,769	18,990	158	147	393	324	341	274											
Maine	75	28	904	963	30	31	39	36	-	-											
N.H.	45	34	903	914	19	16	34	46	33	45											
Vt.	16	18	438	389	36	26	32	21	20	18											
Mass.	1,338	844	8,616	7,862	52	67	170	144	183	154											
R.I.	96	119	2,159	2,171	6	7	27	13	26	1											
Conn.	520	621	6,749	6,691	15	U	91	64	79	56											
MID. ATLANTIC	10,473	11,353	55,879	58,213	411	559	308	294	92	86											
Upstate N.Y.	1,196	1,322	N	N	169	328	246	213	-	-											
N.Y. City	5,571	6,520	21,963	24,764	116	206	11	14	17	13											
N.J.	1,932	2,007	10,095	11,130	36	25	51	67	46	52											
Pa.	1,774	1,504	23,821	22,319	90	N	N	N	29	21											
E.N. CENTRAL	2,801	3,061	81,247	94,937	564	720	687	448	484	367											
Ohio	448	645	26,294	25,697	66	71	246	123	199	76											
Ind.	320	473	10,586	10,458	38	59	107	101	64	54											
Ill.	1,345	1,188	24,169	25,116	67	84	221	110	81	80											
Mich.	555	577	20,198	20,469	48	38	113	114	76	69											
Wis.	133	178	U	13,197	345	468	N	N	64	88											
W.N. CENTRAL	940	827	33,074	33,165	202	334	586	470	406	398											
Minn.	178	163	6,441	6,660	78	142	229	195	178	209											
Iowa	77	62	4,649	4,245	55	65	115	91	73	59											
Mo.	449	400	12,427	11,885	29	26	60	51	64	63											
N. Dak.	6	5	707	977	18	30	17	12	14	15											
S. Dak.	15	15	1,496	1,477	7	25	47	35	62	38											
Nebr.	65	66	3,128	2,657	14	35	97	50	-	-											
Kans.	150	116	4,226	5,264	1	11	21	36	15	14											
S. ATLANTIC	11,305	11,023	119,300	108,094	373	341	341	245	163	168											
Del.	159	152	2,604	2,461	-	3	6	-	3	2											
Md.	1,344	1,482	10,616	6,888	17	19	42	42	4	14											
D.C.	637	808	N	N	8	25	1	1	U	U											
Va.	782	908	13,268	12,983	27	20	73	N	59	52											
W. Va.	64	77	1,240	2,293	3	2	14	13	11	10											
N.C.	739	753	20,705	20,644	33	N	74	56	52	47											
S.C.	919	720	11,346	16,770	-	-	20	15	14	12											
Ga.	1,581	1,173	30,893	22,576	132	127	36	76	-	-											
Fla.	5,080	4,950	28,628	23,479	153	145	75	42	20	31											
E.S. CENTRAL	1,796	1,681	42,694	38,802	35	25	132	118	58	64											
Ky.	255	262	7,014	6,083	7	10	46	35	-	-											
Tenn.	706	621	13,081	13,021	11	9	54	53	38	40											
Ala.	449	455	12,004	9,704	12	N	26	24	16	20											
Miss.	386	343	10,595	9,994	5	6	6	6	4	4											
W.S. CENTRAL	4,177	5,129	79,259	84,486	84	909	128	102	124	106											
Ark.	188	189	5,585	3,871	2	6	15	11	8	10											
La.	813	874	11,220	14,301	22	16	9	5	14	7											
Okla.	123	274	7,763	8,878	12	N	31	24	27	9											
Tex.	3,053	3,792	54,691	57,436	48	887	73	62	75	80											
MOUNTAIN	1,608	1,478	29,725	31,557	98	122	320	360	224	246											
Mont.	13	28	1,496	1,205	13	10	25	16	-	5											
Idaho	22	28	1,631	1,917	8	17	65	41	43	25											
Wyo.	11	3	741	665	1	2	15	53	14	55											
Colo.	290	286	5,417	7,963	14	19	107	89	88	69											
N. Mex.	82	203	3,870	3,699	42	47	13	19	6	20											
Ariz.	819	588	11,767	10,890	12	18	37	43	23	26											
Utah	142	128	2,021	2,053	N	N	38	75	48	22											
Nev.	229	214	2,782	3,165	8	9	20	24	2	24											
PACIFIC	5,743	6,092	97,733	89,978	340	409	424	471	333	409											
Wash.	337	386	11,370	10,356	N	N	167	109	159	130											
Oreg.	208	166	5,698	5,376	93	67	74	107	68	100											
Calif.	5,089	5,364	76,276	69,991	247	338	171	248	94	163											
Alaska	15	17	1,770	1,791	-	1	1	7	1	-											
Hawaii	94	159	2,619	2,464	-	3	11	-	11	16											
Guam	10	1	299	404	-	-	N	N	U	U											
P.R.	1,180	1,601	U	U	-	N	9	5	U	U											
V.I.	35	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


