
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 30, 2003 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	23,287	26,166	13,086	11,984	3,952	3,405	1,548	1,756	312	231											
NEW ENGLAND	1,345	1,412	198	217	323	262	40	81	6	2											
Maine	95	94	6	3	22	20	-	-	-	-											
N.H.	89	85	5	8	20	28	-	-	N	N											
Vt.	45	49	6	-	17	9	6	4	3	1											
Mass.	777	808	133	143	153	90	N	N	N	N											
R.I.	73	100	8	8	9	14	10	11	3	1											
Conn.	266	276	40	55	102	101	24	66	U	U											
MID. ATLANTIC	2,685	3,519	1,471	1,081	722	557	95	83	72	58											
Upstate N.Y.	651	919	249	178	291	225	53	72	55	48											
N.Y. City	728	912	243	312	92	128	U	U	U	U											
N.J.	326	728	198	400	128	119	N	N	N	N											
Pa.	980	960	781	191	211	85	42	11	17	10											
E.N. CENTRAL	3,396	3,793	1,155	1,386	864	738	327	157	130	86											
Ohio	968	881	245	441	251	169	215	30	76	1											
Ind.	391	343	103	64	91	41	112	125	34	43											
Ill.	1,029	1,319	540	641	179	212	-	2	-	-											
Mich.	525	627	184	115	295	232	N	N	N	N											
Wis.	483	623	83	125	48	84	N	N	20	42											
W.N. CENTRAL	1,646	1,614	542	755	256	189	126	331	44	40											
Minn.	367	381	64	152	127	96	-	220	38	36											
Iowa	248	264	43	93	N	N	N	N	N	N											
Mo.	641	532	281	116	54	38	9	5	2	1											
N. Dak.	28	24	3	16	11	-	3	1	4	3											
S. Dak.	70	76	11	151	18	11	1	1	-	-											
Nebr.	99	115	89	161	21	16	-	25	N	N											
Kans.	193	222	51	66	25	28	113	79	N	N											
S. ATLANTIC	6,198	6,325	5,127	3,782	701	558	800	811	15	23											
Del.	54	57	146	57	6	2	1	3	N	N											
Md.	511	609	448	761	211	88	-	-	-	18											
D.C.	26	50	48	42	11	6	2	-	5	3											
Va.	667	632	296	613	88	58	N	N	N	N											
W. Va.	80	90	-	7	30	16	56	34	10	2											
N.C.	770	844	603	234	80	103	N	N	U	U											
S.C.	375	413	302	78	32	29	112	141	N	N											
Ga.	1,158	1,167	1,312	857	84	106	189	204	N	N											
Fla.	2,557	2,463	1,972	1,133	159	150	440	429	N	N											
E.S. CENTRAL	1,547	1,895	608	907	154	79	104	110	-	-											
Ky.	267	218	69	93	37	14	13	13	N	N											
Tenn.	485	487	227	56	117	65	91	97	N	N											
Ala.	338	496	181	477	-	-	-	-	N	N											
Miss.	457	694	131	281	-	-	-	-	-	-											
W.S. CENTRAL	1,894	2,742	1,745	1,814	140	225	33	148	41	19											
Ark.	411	579	69	143	5	6	8	6	-	-											
La.	258	489	144	312	1	1	25	142	10	6											
Okla.	284	302	580	317	64	35	N	N	26	2											
Tex.	941	1,372	952	1,042	70	183	N	N	5	11											
MOUNTAIN	1,379	1,442	673	454	349	410	20	35	4	3											
Mont.	68	64	2	3	2	-	-	-	-	-											
Idaho	122	98	23	3	15	6	N	N	N	N											
Wyo.	67	41	5	6	2	7	4	10	-	-											
Colo.	307	422	118	101	98	86	-	-	-	-											
N. Mex.	129	187	122	87	87	78	16	25	-	-											
Ariz.	439	370	334	200	135	206	-	-	N	N											
Utah	146	115	37	21	9	27	-	-	4	3											
Nev.	101	145	32	33	1	-	-	-	-	-											
PACIFIC	3,197	3,424	1,567	1,588	443	387	3	-	-	-											
Wash.	349	320	106	101	38	46	-	-	N	N											
Oreg.	261	239	167	70	N	N	N	N	N	N											
Calif.	2,398	2,640	1,257	1,377	326	294	N	N	N	N											
Alaska	54	43	6	3	-	-	-	-	N	N											
Hawaii	135	182	31	37	79	47	3	-	-	-											
Guam	-	30	-	22	-	-	-	4	-	-											
P.R.	159	316	2	24	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


