
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 29, 2007 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	290	301	1,513	11,638	13,114	3,476	6,626	8,941	247,627	265,491	18	46	184	1,678	1,720						
NEW ENGLAND	8	25	53	930	1,084	75	109	259	4,059	4,044	-	3	19	131	134						
Conn.	-	5	16	251	224	-	45	204	1,503	1,605	-	0	7	40	38						
Maine	7	4	10	146	128	-	2	8	94	96	-	0	2	9	16						
Mass.	-	9	20	356	487	56	51	96	1,988	1,777	-	2	6	58	59						
N.H.	-	0	3	19	20	6	3	8	118	148	-	0	2	15	9						
R.I.	-	0	14	36	92	13	8	18	311	366	-	0	10	7	4						
Vt.	1	3	12	122	133	-	1	5	45	52	-	0	1	2	8						
MID. ATLANTIC	62	56	127	2,043	2,615	382	718	1,537	27,604	24,640	-	10	27	355	344						
N.J.	-	5	11	142	377	83	117	159	4,505	3,988	-	1	5	50	59						
N.Y. (Upstate)	57	24	108	827	890	183	112	1,035	5,125	4,679	-	3	15	103	106						
N.Y. City	5	15	24	585	741	10	203	360	7,547	7,506	-	2	6	76	64						
Pa.	-	14	34	489	607	106	240	586	10,427	8,467	-	3	10	126	115						
E.N. CENTRAL	39	46	99	1,657	2,117	495	1,225	2,585	49,667	52,899	2	6	15	202	294						
Ill.	-	11	21	410	537	162	347	498	13,050	15,172	-	1	6	47	88						
Ind.	N	0	0	N	N	155	163	307	6,650	6,628	1	1	7	45	63						
Mich.	3	12	38	421	538	107	290	747	10,818	10,957	-	0	5	21	22						
Ohio	26	15	37	596	599	26	318	1,564	14,221	14,916	1	2	5	80	65						
Wis.	10	7	20	230	443	45	129	181	4,928	5,226	-	0	4	9	56						
W.N. CENTRAL	21	20	553	840	1,450	203	372	512	13,849	14,556	-	3	24	103	113						
Iowa	3	5	20	210	229	34	39	60	1,413	1,388	-	0	1	1	1						
Kans.	-	3	11	119	156	59	44	86	1,767	1,686	-	0	2	9	16						
Minn.	-	0	514	12	475	-	60	87	1,976	2,439	-	1	17	44	57						
Mo.	10	7	22	329	409	103	198	266	7,546	7,616	-	1	5	34	28						
Nebr.	5	2	8	91	93	-	26	57	885	1,044	-	0	2	13	7						
N. Dak.	2	0	16	15	14	-	2	7	65	100	-	0	2	2	4						
S. Dak.	1	1	6	64	74	7	6	11	197	283	-	0	0	-	-						
S. ATLANTIC	70	57	106	2,068	1,973	876	1,624	3,209	58,067	65,210	14	11	34	446	426						
Del.	2	1	3	29	33	18	27	43	987	1,105	-	0	3	6	1						
D.C.	-	0	7	34	52	36	47	72	1,768	1,304	-	0	2	3	4						
Fla.	42	24	47	956	781	467	472	717	17,792	18,185	3	3	8	123	132						
Ga.	8	10	33	431	482	-	296	2,068	7,454	13,264	6	2	7	90	88						
Md.	13	4	11	177	172	64	122	227	4,644	5,382	1	2	6	64	61						
N.C.	-	0	0	-	-	-	306	675	10,080	12,999	1	0	9	45	46						
S.C.	-	2	8	71	77	149	206	1,361	10,181	7,241	-	1	4	38	29						
Va.	4	10	28	334	359	134	122	222	4,491	5,037	-	1	22	53	49						
W. Va.	1	0	21	36	17	8	18	44	670	693	3	0	6	24	16						
E.S. CENTRAL	9	10	23	387	321	254	559	752	20,438	23,486	1	2	9	96	88						
Ala.	-	4	16	175	151	-	154	242	5,122	8,210	-	0	3	20	18						
Ky.	N	0	0	N	N	63	52	268	2,423	2,294	-	0	1	2	5						
Miss.	N	0	0	N	N	-	146	310	5,455	5,659	-	0	1	7	11						
Tenn.	9	5	16	212	170	191	193	261	7,438	7,323	1	1	6	67	54						
W.S. CENTRAL	5	7	55	263	241	712	983	1,175	37,559	37,978	-	2	34	81	69						
Ark.	1	2	13	87	86	99	78	120	2,856	3,192	-	0	2	8	8						
La.	-	1	9	71	63	109	222	384	8,557	8,122	-	0	2	6	17						
Okla.	4	3	42	105	92	70	102	235	3,859	3,382	-	1	29	61	37						
Tex.	N	0	0	N	N	434	573	733	22,287	23,282	-	0	3	6	7						
MOUNTAIN	18	29	63	1,086	1,254	88	252	454	9,099	11,349	1	4	11	174	167						
Ariz.	-	2	9	87	122	16	105	220	3,400	4,016	1	1	6	56	72						
Colo.	-	9	26	356	418	-	55	93	1,842	2,785	-	1	4	43	41						
Idaho	1	3	12	128	138	5	3	20	178	117	-	0	1	4	3						
Mont.	4	2	8	79	77	-	1	8	50	154	-	0	1	2	-						
Nev.	5	2	8	86	93	67	46	135	1,744	2,174	-	0	2	9	10						
N. Mex.	-	2	6	74	59	-	30	58	1,255	1,367	-	1	3	29	24						
Utah	8	6	27	246	318	-	17	34	575	637	-	0	3	28	14						
Wyo.	-	1	4	30	29	-	2	5	55	99	-	0	1	3	3						
PACIFIC	58	60	558	2,364	2,059	391	722	885	27,285	31,329	-	2	16	90	85						
Alaska	-	1	17	53	74	8	10	27	365	458	-	0	2	10	10						
