
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 10, 2004 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	6,109	10,654	2,530	7,067	1,460	2,201	823	1,263	118	143											
NEW ENGLAND	293	311	57	87	60	191	7	35	3	1											
Maine	16	16	1	3	3	11	-	-	-	-											
N.H.	17	22	3	-	8	13	-	-	N	N											
Vt.	13	5	1	3	1	8	3	4	1	1											
Mass.	174	187	37	57	46	84	N	N	N	N											
R.I.	13	17	1	2	2	1	4	-	2	-											
Conn.	60	64	14	22	-	74	-	31	U	U											
MID. ATLANTIC	782	841	303	438	213	343	48	42	28	25											
Upstate N.Y.	178	140	138	66	82	115	21	21	21	17											
N.Y. City	234	271	79	114	27	51	U	U	U	U											
N.J.	139	153	48	110	33	82	N	N	N	N											
Pa.	231	277	38	148	71	95	27	21	7	8											
E.N. CENTRAL	850	953	212	377	244	484	183	147	42	62											
Ohio	244	276	47	71	85	104	146	103	29	36											
Ind.	75	54	40	24	24	28	37	44	10	5											
Ill.	216	348	71	189	25	138	-	-	-	-											
Mich.	170	134	32	61	101	139	N	N	N	N											
Wis.	145	141	22	32	9	75	N	N	3	21											
W.N. CENTRAL	398	365	91	180	115	131	75	74	12	16											
Minn.	88	95	11	24	57	55	-	-	9	13											
Iowa	75	82	26	9	N	N	N	N	N	N											
Mo.	118	92	26	65	20	27	3	3	3	1											
N. Dak.	12	7	1	3	4	7	-	3	-	2											
S. Dak.	18	18	4	8	7	13	1	-	-	-											
Nebr.	32	27	4	48	7	15	-	-	N	N											
Kans.	55	44	19	23	20	14	71	68	N	N											
S. ATLANTIC	1,530	5,583	828	3,809	364	493	426	868	3	4											
Del.	8	21	2	89	1	4	3	-	N	N											
Md.	111	161	30	159	69	100	-	2	-	-											
D.C.	8	7	13	15	2	3	1	-	3	-											
Va.	163	136	29	67	15	28	N	N	N	N											
W. Va.	29	15	-	-	9	11	42	16	-	4											
N.C.	205	277	116	210	37	31	N	N	U	U											
S.C.	83	84	118	55	21	9	31	55	N	N											
Ga.	308	213	169	365	140	76	148	184	N	N											
Fla.	615	4,669	351	2,849	70	231	201	611	N	N											
E.S. CENTRAL	338	386	152	240	68	61	50	40	-	-											
Ky.	61	72	22	35	24	12	12	3	N	N											
Tenn.	98	137	57	78	44	49	38	37	N	N											
Ala.	122	115	54	86	-	-	-	-	N	N											
Miss.	57	62	19	41	-	-	-	-	-	-											
W.S. CENTRAL	364	565	370	1,013	49	163	21	44	26	12											
Ark.	55	68	14	14	3	2	3	13	4	4											
La.	33	92	27	107	-	1	18	31	3	4											
Okla.	53	48	95	172	19	29	N	N	11	4											
Tex.	223	357	234	720	27	131	N	N	8	-											
MOUNTAIN	516	457	199	257	187	177	13	12	4	23											
Mont.	25	30	3	1	-	-	-	-	-	-											
Idaho	41	55	1	5	3	10	N	N	N	N											
Wyo.	13	5	1	1	4	-	4	2	-	-											
Colo.	133	124	42	42	56	53	-	-	2	21											
N. Mex.	33	36	32	46	27	47	5	10	-	-											
Ariz.	171	136	93	142	84	63	-	-	N	N											
Utah	54	41	11	9	12	4	2	-	2	2											
Nev.	46	30	16	11	1	-	2	-	-	-											
PACIFIC	1,038	1,193	318	666	160	158	-	1	-	-											
Wash.	72	97	19	49	20	-	-	-	N	N											
Oreg.	65	104	16	21	N	N	N	N	N	N											
Calif.	802	929	269	583	110	130	N	N	N	N											
Alaska	27	23	2	4	1	-	-	-	N	N											
Hawaii	72	40	12	9	29	28	-	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	30	123	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


