
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2013 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	71	265	401	795	1,577	-	4	12	11	11	3	52	229	34	100						
NEW ENGLAND	1	4	13	23	16	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	3	6	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	-	-	-	0	0	-	-	-	0	1	-	-						
Mass.	1	2	10	17	10	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	3	-	-						
Vt.	-	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	6	39	73	88	406	-	0	2	1	3	-	1	5	2	9						
N.J.	-	9	35	-	256	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	3	12	37	38	46	-	0	1	-	-	-	0	3	-	-						
N.Y. City	3	9	21	41	88	-	0	0	-	-	-	0	3	-	2						
Pa.	-	2	6	9	16	-	0	2	1	3	-	1	4	2	7						
E.N. CENTRAL	28	39	118	261	194	-	0	2	-	1	-	4	17	4	11						
Ill.	-	5	16	2	17	-	0	1	-	-	-	2	12	-	4						
Ind.	-	1	17	7	11	-	0	1	-	1	-	1	5	3	2						
Mich.	1	4	14	25	41	-	0	0	-	-	-	0	1	-	-						
Ohio	27	28	103	220	117	-	0	0	-	-	-	0	3	1	3						
Wis.	-	2	18	7	8	-	0	0	-	-	-	0	3	-	2						
W.N. CENTRAL	-	8	32	26	53	-	0	6	-	-	-	6	34	-	4						
Iowa	-	1	11	6	3	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	6	3	26	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	5	20	-	0	5	-	-	-	6	34	-	4						
Nebr.	-	1	22	9	3	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	3	1	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	9	53	102	123	297	-	2	9	10	4	2	13	147	16	29						
Del.	-	0	4	1	-	-	0	0	-	-	-	0	2	2	2						
D.C.	-	0	3	-	4	-	0	0	-	-	-	0	1	-	-						
Fla.	4	31	66	43	153	-	0	1	-	-	-	0	3	1	2						
Ga.	5	12	21	50	90	-	1	5	9	3	-	0	0	-	-						
Md.	-	5	16	9	23	-	0	0	-	-	1	0	3	4	3						
N.C.	-	2	10	8	14	-	0	4	-	-	-	0	133	-	5						
S.C.	-	1	3	5	3	-	0	1	1	1	-	1	6	2	1						
Va.	-	1	6	6	10	-	0	2	-	-	1	4	35	7	16						
W. Va.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	1	20	39	40	218	-	0	2	-	-	1	12	57	12	14						
Ala.	-	5	20	15	50	-	0	1	-	-	-	3	13	2	5						
Ky.	-	5	21	12	96	-	0	1	-	-	-	1	7	2	-						
Miss.	-	4	13	7	47	-	0	2	-	-	-	0	4	-	-						
Tenn.	1	3	9	6	25	-	0	1	-	-	1	10	49	8	9						
W.S. CENTRAL	21	46	82	137	246	-	0	1	-	-	-	11	73	-	16						
Ark.	1	1	7	9	9	-	0	1	-	-	-	8	65	-	11						
La.	1	4	10	14	32	-	0	0	-	-	-	0	2	-	1						
Okla.	4	7	27	22	37	-	0	1	-	-	-	0	26	-	-						
Tex.	15	32	80	92	168	-	0	1	-	-	-	1	5	-	4						
MOUNTAIN	2	11	32	27	44	-	0	1	-	3	-	0	5	-	14						
Ariz.	-	6	15	12	24	-	0	1	-	3	-	0	2	-	10						
Colo.	1	2	19	3	3	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	2	-	2	-	0	0	-	-	-	0	1	-	2						
Mont.	-	0	2	-	3	-	0	0	-	-	-	0	1	-	-						
