
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2007 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	289	815	1,339	4,906	5,813	20	74	172	261	393	141	257	516	1,837	2,014						
NEW ENGLAND	-	18	82	106	714	-	2	16	7	100	-	2	14	11	109						
Conn.	-	0	56	56	503	-	0	1	1	84	-	0	8	8	67						
Maine	-	2	13	21	12	-	0	8	4	1	-	0	2	2	-						
Mass.	-	4	53	-	172	-	0	9	-	11	-	0	11	-	35						
N.H.	-	3	25	13	17	-	0	3	2	2	-	0	2	1	3						
R.I.	-	1	10	9	8	-	0	2	-	1	-	0	3	-	3						
Vt.	-	1	6	7	2	-	0	4	-	1	-	0	2	-	1						
MID. ATLANTIC	30	90	191	682	640	3	8	62	32	32	1	15	47	78	179						
N.J.	-	15	49	49	122	-	1	15	1	9	-	3	35	4	61						
N.Y. (Upstate)	20	27	93	208	109	2	3	14	15	7	1	4	43	20	50						
N.Y. City	1	24	50	163	185	-	0	4	2	5	-	5	14	44	51						
Pa.	9	30	67	262	224	1	2	47	14	11	-	1	6	10	17						
E.N. CENTRAL	30	105	197	464	782	2	10	59	42	58	10	23	67	86	194						
Ill.	-	27	60	26	216	-	1	7	2	9	-	9	49	10	67						
Ind.	9	15	55	73	71	-	1	8	1	6	-	2	17	10	20						
Mich.	2	18	35	102	150	-	1	6	8	15	-	2	5	6	52						
Ohio	19	23	56	182	212	2	3	18	29	11	10	3	14	46	33						
Wis.	-	17	27	81	133	-	2	39	2	17	-	3	10	14	22						
W.N. CENTRAL	23	48	109	379	347	3	11	45	33	53	32	37	77	354	200						
Iowa	-	8	26	49	53	-	1	38	-	9	-	2	14	8	5						
