
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 19, 2007 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	53	91	219	2,071	2,653	21	27	103	606	601											
NEW ENGLAND	-	5	21	72	207	-	2	11	12	71											
Conn.	-	0	17	35	53	-	0	6	-	19											
Maine	-	0	2	8	9	-	0	2	1	-											
Mass.	-	2	10	-	130	-	0	6	-	51											
N.H.	-	1	9	18	5	-	0	4	6	1											
R.I.	-	0	6	-	4	-	0	3	3	-											
Vt.	-	0	2	11	6	-	0	1	2	-											
MID. ATLANTIC	7	16	39	403	505	2	3	19	53	87											
N.J.	-	2	6	28	90	-	0	4	-	30											
N.Y. (Upstate)	3	5	26	149	152	2	2	14	53	49											
N.Y. City	-	3	10	90	94	-	0	3	-	8											
Pa.	4	6	11	136	169	N	0	0	N	N											
E.N. CENTRAL	16	15	31	364	569	1	6	14	94	154											
Ill.	-	4	10	71	183	-	1	6	9	38											
Ind.	5	2	12	53	63	-	0	10	10	20											
Mich.	1	3	10	89	116	1	1	4	38	40											
Ohio	10	4	14	132	140	-	1	7	35	31											
Wis.	-	1	6	19	67	-	0	2	2	25											
W.N. CENTRAL	7	5	32	182	176	4	2	10	54	51											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	1	3	23	36	-	0	3	1	11											
Minn.	4	0	29	86	78	3	1	6	35	24											
Mo.	1	2	6	49	32	-	0	3	13	10											
Nebr.	1	0	2	11	17	1	0	2	4	4											
N. Dak.	-	0	2	9	6	-	0	1	1	2											
S. Dak.	-	0	2	4	7	-	0	0	-	-											
S. ATLANTIC	13	20	44	491	502	3	2	11	119	30											
Del.	-	0	2	3	5	-	0	0	-	-											
D.C.	-	0	3	7	7	-	0	1	-	-											
Fla.	8	5	16	120	120	1	0	5	31	-											
Ga.	-	5	11	94	129	-	0	5	31	-											
Md.	3	4	8	89	67	2	1	6	36	23											
N.C.	-	0	26	56	61	-	0	0	-	-											
S.C.	-	1	7	45	40	-	0	3	11	-											
Va.	1	2	11	67	64	-	0	3	8	-											
W. Va.	1	0	5	10	9	-	0	4	2	7											
E.S. CENTRAL	2	4	11	88	112	4	0	6	42	9											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	4	22	28	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	9											
Tenn.	1	3	7	66	84	4	0	6	40	-											
W.S. CENTRAL	1	6	61	138	186	1	4	39	113	84											
Ark.	-	0	2	12	16	-	0	2	7	13											
La.	-	0	2	4	2	-	0	4	24	2											
Okla.	-	2	5	41	55	1	1	12	28	19											
Tex.	1	3	56	81	113	-	2	24	54	50											
MOUNTAIN	6	11	22	283	357	4	4	12	103	112											
Ariz.	1	5	11	110	193	-	2	7	59	66											
Colo.	4	3	9	86	57	4	1	4	29	27											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	1	-	0	1	1	-											
N. Mex.	-	1	6	25	66	-	0	4	12	18											
Utah	1	1	7	51	32	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	1	3	9	50	39	2	0	4	16	3											
Alaska	1	0	2	13	N	2	0	2	14	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	37	39	-	0	2	2	3											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


