
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending March 3, 2012 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	128	258	379	1,543	1,393	4	3	14	18	9	7	31	138	74	51						
NEW ENGLAND	-	4	21	13	30	-	0	1	-	-	-	0	1	-	1						
Conn.	-	1	4	5	6	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	-	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	20	8	22	-	0	0	-	-	-	0	1	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	1						
Vt.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	19	27	86	245	98	-	0	2	3	-	-	1	8	8	3						
N.J.	-	6	39	49	22	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	15	7	41	96	17	-	0	1	-	-	-	0	3	1	-						
N.Y. City	4	8	28	86	41	-	0	0	-	-	-	0	3	2	2						
Pa.	-	2	13	14	18	-	0	2	3	-	-	0	3	5	1						
E.N. CENTRAL	15	15	41	192	114	-	0	2	1	-	-	2	10	4	4						
Ill.	-	4	16	12	38	-	0	1	-	-	-	1	4	1	3						
Ind.	-	1	6	5	11	-	0	1	1	-	-	1	5	1	-						
Mich.	1	4	11	33	24	-	0	1	-	-	-	0	1	-	-						
Ohio	14	6	27	142	41	-	0	2	-	-	-	0	2	2	1						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	1	5	18	52	72	-	0	4	-	-	1	4	24	5	8						
Iowa	-	0	3	4	4	-	0	0	-	-	-	0	2	-	1						
Kans.	-	1	8	28	17	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	1	3	14	17	48	-	0	2	-	-	1	4	22	5	7						
