
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2007 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	66	255	488	130	468	17	123	239	38	95	-	35	118	2	77						
NEW ENGLAND	-	22	53	-	71	8	12	26	12	7	-	0	1	-	-						
Conn.	-	1	9	-	7	5	3	14	9	2	-	0	0	-	-						
Maine	-	2	12	-	5	-	2	8	-	-	N	0	0	N	N						
Mass.	-	12	28	-	55	-	3	17	-	3	-	0	1	-	-						
N.H.	-	2	27	-	-	3	1	5	3	-	-	0	1	-	-						
R.I.	-	0	11	-	-	-	0	3	-	-	-	0	1	-	-						
Vt.	-	2	14	-	4	-	1	5	-	2	-	0	0	-	-						
MID. ATLANTIC	19	36	111	29	48	-	27	71	3	25	-	1	6	-	1						
N.J.	-	4	13	-	20	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	19	16	108	29	3	-	10	24	-	8	-	0	2	-	-						
N.Y. City	-	1	8	-	3	-	1	5	3	-	-	0	3	-	-						
Pa.	-	13	26	-	22	-	16	56	-	17	-	1	3	-	1						
E.N. CENTRAL	19	41	77	44	88	-	2	18	-	-	-	1	6	-	1						
Ill.	-	9	17	-	37	-	0	7	-	-	-	0	2	-	1						
Ind.	-	3	19	-	-	-	0	2	-	-	-	0	1	-	-						
Mich.	2	12	39	5	6	-	0	5	-	-	-	0	1	-	-						
Ohio	17	12	25	39	29	-	0	9	-	-	-	0	4	-	-						
Wis.	-	3	10	-	16	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	5	23	71	10	79	-	6	20	-	3	-	2	14	-	-						
Iowa	-	5	15	-	26	-	1	7	-	1	-	0	1	-	-						
Kans.	4	5	16	8	24	-	1	5	-	1	-	0	1	-	-						
Minn.	-	0	56	-	-	-	0	6	-	-	-	0	2	-	-						
