
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 8, 1999 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	321	405	1,330	1,518	341	397	2,033	2,469	1,699	2,760	1,756										
NEW ENGLAND	20	22	203	344	14	18	26	28	114	133	290										
Maine	2	1	-	2	1	-	-	1	6	3	54										
N.H.	2	2	-	7	-	3	-	1	-	2	15										
Vt.	3	1	-	2	1	-	1	2	-	1	51										
Mass.	5	8	122	82	4	13	16	19	59	69	59										
R.I.	2	4	10	24	-	2	1	-	16	16	35										
Conn.	6	6	71	227	8	-	8	5	33	42	76										
MID. ATLANTIC	75	90	825	959	84	115	88	101	626	690	355										
Upstate N.Y.	24	24	331	469	26	27	10	12	85	95	243										
N.Y. City	5	22	5	24	22	59	41	19	394	419	U										
N.J.	5	4	118	118	24	17	11	36	147	176	69										
Pa.	41	40	371	348	12	12	26	34	U	U	43										
E.N. CENTRAL	69	151	26	24	35	38	353	360	102	131	18										
Ohio	28	53	19	17	8	2	31	60	U	U	5										
Ind.	5	28	5	4	4	1	32	57	U	U	-										
Ill.	10	20	1	1	13	19	238	144	U	U	-										
Mich.	25	23	1	2	8	14	49	72	72	91	13										
Wis.	1	27	U	U	2	2	3	27	30	40	-										
W.N. CENTRAL	14	25	17	14	14	21	9	65	159	123	186										
Minn.	-	3	8	3	2	8	4	5	68	41	36										
Iowa	9	4	2	8	4	3	1	-	14	2	42										
Mo.	4	8	-	2	7	7	-	47	57	50	6										
N. Dak.	-	-	1	-	-	1	-	-	1	3	48										
S. Dak.	1	-	-	-	-	-	-	1	3	7	25										
Nebr.	-	8	-	-	-	-	1	4	6	4	1										
Kans.	-	2	6	1	1	2	3	8	10	16	28										
S. ATLANTIC	38	43	157	126	93	82	705	976	295	516	667										
Del.	2	6	2	3	-	1	1	9	-	8	3										
Md.	5	9	116	103	26	31	147	261	U	U	138										
D.C.	-	3	1	4	7	5	14	30	15	39	-										
Va.	8	4	7	4	19	9	55	71	44	89	165										
W. Va.	N	N	4	4	1	-	2	-	15	20	39										
N.C.	6	4	20	1	7	7	189	274	137	255	141										
S.C.	6	4	2	1	-	3	91	120	84	105	56										
Ga.	-	-	-	2	7	13	101	110	U	U	61										
Fla.	11	12	5	4	26	13	105	101	U	U	64										
E.S. CENTRAL	51	15	32	15	7	11	403	408	108	219	90										
Ky.	44	8	16	2	2	1	43	43	U	U	19										
Tenn.	5	3	7	7	3	5	205	203	U	U	30										
Ala.	2	1	6	6	2	3	105	83	102	129	41										
Miss.	-	3	3	-	-	2	50	79	6	90	-										
W.S. CENTRAL	1	9	2	4	8	11	330	317	77	717	31										
Ark.	-	-	-	3	-	1	27	49	42	38	-										
La.	1	-	-	-	6	3	90	102	U	U	-										
Okla.	-	3	2	-	1	1	72	16	35	39	31										
Tex.	-	6	-	1	1	6	141	150	-	640	-										
MOUNTAIN	19	20	3	1	14	20	47	90	55	78	59										
Mont.	-	1	-	-	2	-	-	-	5	2	21										
Idaho	-	-	-	-	1	1	-	-	-	4	-										
Wyo.	-	1	1	-	-	-	-	-	1	1	23										
Colo.	2	4	-	-	5	6	1	4	U	U	1										
N. Mex.	1	2	1	-	2	6	-	10	21	21	-										
Ariz.	2	3	-	-	4	4	43	68	U	U	14										
Utah	8	8	1	-	-	1	1	3	13	21	-										
Nev.	6	1	-	1	-	2	2	5	15	29	-										
PACIFIC	34	30	65	31	72	81	72	124	163	153	60										
Wash.	7	3	1	1	5	6	16	6	88	77	-										
Oreg.	1	-	1	3	7	7	-	-	U	U	-										
Calif.	25	27	63	27	55	67	54	118	U	U	55										
Alaska	1	-	-	-	-	-	1	-	22	16	5										
Hawaii	-	-	-	-	5	1	1	-	53	60	-										
Guam	-	1	-	-	-	1	-	-	-	37	-										
P.R.	-	-	-	-	-	-	73	81	-	46	27										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	98	-	54	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


