
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2011 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	114	275	452	471	939	1	2	11	7	5	4	24	91	15	21						
NEW ENGLAND	-	4	17	3	83	-	0	0	-	-	-	0	1	-	-						
Conn.	-	0	1	1	63	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	16	-	16	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	2	-	2	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	2	-	1	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	1	1	-	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	7	30	68	34	158	-	0	1	-	-	-	1	4	1	-						
N.J.	-	5	16	3	20	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	5	3	15	10	9	-	0	1	-	-	-	0	3	-	-						
N.Y. City	1	5	14	12	26	-	0	1	-	-	-	0	4	1	-						
Pa.	1	11	55	9	103	-	0	1	-	-	-	0	3	-	-						
E.N. CENTRAL	4	25	238	29	111	-	0	1	-	-	-	1	10	1	1						
Ill.	-	8	228	-	47	-	0	1	-	-	-	0	5	-	-						
Ind.	-	1	4	-	2	-	0	1	-	-	-	0	5	-	1						
Mich.	1	5	10	8	9	-	0	0	-	-	-	0	1	-	-						
Ohio	3	5	18	21	32	-	0	0	-	-	-	0	2	1	-						
Wis.	-	4	21	-	21	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	7	32	81	44	233	-	0	4	-	-	-	4	21	-	-						
Iowa	-	1	4	2	7	-	0	0	-	-	-	0	1	-	-						
Kans.	2	5	13	10	12	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	3	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	5	22	66	30	213	-	0	4	-	-	-	4	20	-	-						
Nebr.	-	1	10	1	1	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	1	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	63	51	134	179	132	1	1	9	3	4	4	7	60	4	19						
Del.	-	0	4	-	12	-	0	1	-	-	-	0	3	-	-						
D.C.	-	0	4	-	2	-	0	1	-	-	-	0	0	-	-						
Fla.	42	24	53	135	37	-	0	1	1	-	1	0	2	1	-						
Ga.	13	14	39	29	54	-	0	6	-	4	-	0	0	-	-						
Md.	2	2	8	5	8	-	0	1	1	-	-	0	5	-	1						
N.C.	5	3	36	7	10	1	0	3	1	-	3	2	48	3	17						
S.C.	1	1	5	1	6	-	0	1	-	-	-	0	3	-	1						
Va.	-	3	8	2	3	-	0	2	-	-	-	2	12	-	-						
W. Va.	-	0	66	-	-	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	3	14	40	26	33	-	0	3	-	-	-	5	29	2	-						
Ala.	2	4	14	14	8	-	0	1	-	-	-	1	8	1	-						
Ky.	1	3	28	2	13	-	0	2	-	-	-	0	0	-	-						
Miss.	-	1	4	1	2	-	0	0	-	-	-	0	3	-	-						
Tenn.	-	5	14	9	10	-	0	2	-	-	-	4	20	1	-						
W.S. CENTRAL	15	52	113	60	65	-	0	3	-	-	-	1	18	-	-						
Ark.	-	1	6	1	5	-	0	2	-	-	-	0	17	-	-						
La.	-	5	13	5	5	-	0	0	-	-	-	0	1	-	-						
Okla.	1	5	13	4	7	-	0	3	-	-	-	0	6	-	-						
Tex.	14	43	92	50	48	-	0	1	-	-	-	0	3	-	-						
MOUNTAIN	5	15	32	38	59	-	0	5	4	-	-	0	3	7	1						
Ariz.	2	8	18	16	36	-	0	5	4	-	-	0	3	7	-						
Colo.	3	2	8	13	10	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	3	2	1	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	1	1	1	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	6	1	2	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	3	10	5	7	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	-	2	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	10	22	67	58	65	-	0	2	-	1	-	0	0	-	-						
Alaska	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
Calif.	10	17	54	56	58	-	0	2	-	1	-	0	0	-	-						
Hawaii	-	1	4	-	3	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	2	3	-	0	1	-	-	-	0	0	-	-						
Wash.	-	1	17	-	1	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	1	1	1	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


