
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 30, 2005 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	10,042	12,083	274,785	297,669	1,334	1,701	542	799													
NEW ENGLAND	406	370	8,310	9,855	-	-	30	45													
Maine	3	5	721	637	N	N	3	8													
N.H.	2	19	548	554	-	-	4	12													
Vt.	1	10	330	384	-	-	8	5													
Mass.	211	119	4,769	4,453	-	-	10	13													
R.I.	34	44	1,096	1,160	-	-	1	1													
Conn.	155	173	846	2,667	N	N	4	6													
MID. ATLANTIC	1,995	2,409	32,236	37,340	-	-	77	134													
Upstate N.Y.	188	186	7,007	6,950	N	N	19	26													
N.Y. City	1,137	1,134	9,830	11,976	-	-	19	42													
N.J.	357	524	3,518	6,049	N	N	6	9													
Pa.	313	565	11,881	12,365	N	N	33	57													
E.N. CENTRAL	915	1,209	44,084	54,174	2	5	101	207													
Ohio	136	231	12,026	13,792	N	N	40	48													
Ind.	119	164	6,072	5,955	N	N	8	27													
Ill.	482	605	12,378	15,507	-	-	-	32													
Mich.	135	141	7,564	13,021	2	5	16	46													
Wis.	43	68	6,044	5,899	N	N	37	54													
W.N. CENTRAL	227	302	16,371	18,312	3	4	78	84													
Minn.	69	67	2,610	3,676	3	N	20	36													
Iowa	18	19	1,763	2,247	N	N	16	12													
Mo.	99	125	7,255	6,821	-	3	28	15													
N. Dak.	5	12	254	593	N	N	-	-													
S. Dak.	5	5	931	843	-	-	5	9													
Nebr.	2	20	1,459	1,716	-	1	1	3													
Kans.	29	54	2,099	2,416	N	N	8	9													
S. ATLANTIC	3,395	4,148	52,729	56,370	-	-	125	155													
Del.	51	55	1,090	981	N	N	-	-													
Md.	406	475	5,705	6,323	-	-	5	8													
D.C.	176	149	1,283	1,202	-	-	1	3													
Va.	177	208	6,979	7,398	-	-	10	19													
W. Va.	19	29	744	937	N	N	4	2													
N.C.	298	238	11,501	9,037	N	N	15	31													
S.C.	133	268	6,964	6,066	-	-	7	7													
Ga.	503	691	4,734	10,894	-	-	37	44													
Fla.	1,632	2,035	13,729	13,532	N	N	46	41													
E.S. CENTRAL	581	554	18,465	17,313	-	3	10	37													
Ky.	70	68	3,957	1,836	N	N	3	9													
Tenn.	232	207	6,939	7,442	N	N	2	12													
Ala.	168	167	1,859	4,103	-	-	4	9													
Miss.	111	112	5,710	3,932	-	3	1	7													
W.S. CENTRAL	1,021	1,705	36,124	37,563	-	2	14	25													
Ark.	69	88	2,836	2,669	-	1	-	7													
La.	170	337	5,951	8,209	-	1	2	-													
Okla.	72	68	3,447	3,430	N	N	7	7													
Tex.	710	1,212	23,890	23,255	N	N	5	11													
MOUNTAIN	398	486	17,049	16,297	859	1,112	32	33													
Mont.	3	-	679	614	N	N	4	3													
Idaho	3	3	731	1,009	N	N	1	4													
Wyo.	-	5	368	357	-	-	2	2													
Colo.	83	97	4,360	3,946	N	N	11	16													
N. Mex.	42	51	748	2,715	2	9	2	1													
Ariz.	166	198	6,926	5,078	828	1,074	3	5													
Utah	20	29	1,351	1,054	2	10	4	1													
Nev.	81	103	1,886	1,524	27	19	5	1													
PACIFIC	1,104	900	49,417	50,445	470	575	75	79													
Wash.	106	166	6,344	5,640	N	N	5	-													
Oreg.	66	90	2,816	2,663	-	-	13	8													
Calif.	897	593	37,442	38,898	470	575	57	70													
Alaska	7	10	1,260	1,307	-	-	-	-													
Hawaii	28	41	1,555	1,937	-	-	-	1													
Guam	1	-	-	303	-	-	-	-													
P.R.	259	208	1,342	753	N	N	N	N													
V.I.	7	4	32	134	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


