
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 1997 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	911	921	5	119	140	38	947	548	3	8	35										
NEW ENGLAND	55	38	-	5	-	6	260	129	-	-	2										
Maine	7	6	-	-	-	-	6	3	-	-	-										
N.H.	5	1	-	-	-	-	35	13	-	-	-										
Vt.	2	1	-	-	-	5	97	6	-	-	-										
Mass.	33	13	-	-	-	1	112	104	-	-	-										
R.I.	2	5	-	4	-	-	9	-	-	-	-										
Conn.	6	12	-	1	-	-	1	3	-	-	2										
MID. ATLANTIC	76	88	1	11	20	-	50	60	-	2	4										
Upstate N.Y.	21	18	1	1	6	-	25	31	-	1	2										
N.Y. City	14	16	-	-	3	-	5	11	-	1	1										
N.J.	19	19	-	-	2	-	-	3	-	-	1										
Pa.	22	35	-	10	9	-	20	15	-	-	-										
E.N. CENTRAL	76	127	-	14	40	4	101	107	-	2	1										
Ohio	49	47	-	3	16	2	47	46	-	-	-										
Ind.	11	11	-	3	5	-	8	7	-	-	-										
Ill.	-	39	-	5	8	-	15	20	-	-	1										
Mich.	8	9	-	3	11	2	19	9	-	-	-										
Wis.	8	21	U	-	-	U	12	25	U	2	-										
W.N. CENTRAL	69	82	-	5	2	-	46	8	-	-	-										
Minn.	2	3	-	3	-	-	31	1	-	-	-										
Iowa	18	12	-	2	-	-	11	2	-	-	-										
Mo.	33	42	-	-	-	-	-	3	-	-	-										
N. Dak.	-	2	-	-	2	-	1	-	-	-	-										
S. Dak.	3	3	-	-	-	-	1	-	-	-	-										
Nebr.	4	8	-	-	-	-	2	1	-	-	-										
Kans.	9	12	-	-	-	-	-	1	-	-	-										
S. ATLANTIC	190	127	1	20	16	13	95	41	1	1	-										
Del.	3	2	-	-	-	-	-	7	-	-	-										
Md.	23	16	-	2	8	5	42	23	-	-	-										
D.C.	1	2	-	-	-	-	2	-	-	-	-										
Va.	10	14	-	1	3	-	13	-	-	-	-										
W. Va.	2	4	-	-	-	-	3	-	-	-	-										
N.C.	36	24	-	5	-	2	15	-	-	-	-										
S.C.	32	17	-	1	3	-	3	-	1	1	-										
Ga.	31	39	-	2	1	-	3	2	-	-	-										
Fla.	52	9	1	9	1	6	14	9	-	-	-										
E.S. CENTRAL	74	82	1	10	6	2	23	14	-	-	-										
Ky.	14	9	-	-	-	-	1	6	-	-	-										
Tenn.	29	24	-	3	1	2	9	5	-	-	-										
Ala.	23	25	1	4	3	-	7	1	-	-	-										
Miss.	8	24	-	3	2	-	6	2	-	-	N										
W.S. CENTRAL	80	102	2	14	5	1	11	6	-	-	-										
Ark.	19	12	-	-	-	-	3	2	-	-	-										
La.	20	19	2	4	5	1	3	2	-	-	-										
Okla.	11	6	-	-	-	-	-	1	-	-	-										
Tex.	30	65	-	10	-	-	5	1	-	-	-										
MOUNTAIN	61	58	-	4	7	8	178	68	-	-	-										
Mont.	4	1	-	-	-	-	3	3	-	-	-										
Idaho	4	7	-	1	-	2	105	13	-	-	-										
Wyo.	-	3	-	-	-	-	3	-	-	-	-										
Colo.	13	7	-	2	-	3	50	12	-	-	-										
N. Mex.	12	12	N	N	N	2	9	17	-	-	-										
Ariz.	15	17	-	-	1	1	8	3	-	-	-										
Utah	9	4	-	1	-	-	-	1	-	-	-										
Nev.	4	7	-	-	6	-	-	19	-	-	-										
PACIFIC	230	217	-	36	44	4	183	115	2	3	28										
Wash.	25	21	-	3	4	4	62	26	-	-	1										
Oreg.	54	37	-	-	-	-	6	18	-	-	-										
Calif.	150	154	-	27	33	-	110	66	-	1	25										
Alaska	-	3	-	1	1	-	1	-	-	-	-										
Hawaii	1	2	-	5	6	-	4	5	2	2	2										
Guam	-	1	U	-	2	U	-	-	U	-	-										
P.R.	2	1	U	-	1	U	-	-	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


