
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 25, 2000 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	6,288	9,714	111,781	150,870	260	310	293	265	181	212											
NEW ENGLAND	511	520	4,586	4,787	12	15	26	39	23	35											
Maine	6	5	274	153	3	1	2	3	2	-											
N.H.	5	19	229	242	-	1	4	2	4	2											
Vt.	1	4	131	107	6	1	1	3	2	-											
Mass.	370	355	1,881	2,060	1	9	7	18	6	17											
R.I.	17	20	525	510	2	-	-	1	-	1											
Conn.	112	117	1,546	1,715	-	3	12	12	9	15											
MID. ATLANTIC	1,592	2,334	4,398	18,133	23	59	27	14	38	2											
Upstate N.Y.	65	354	N	N	16	20	27	10	32	-											
N.Y. City	986	1,193	-	8,749	4	30	-	1	-	1											
N.J.	387	507	1,034	2,988	-	3	-	3	1	1											
Pa.	154	280	3,364	6,396	3	6	N	N	5	-											
E.N. CENTRAL	590	791	19,623	23,481	41	61	37	49	8	34											
Ohio	92	106	5,170	7,566	13	8	11	20	3	9											
Ind.	56	124	2,726	2,604	3	5	5	10	1	7											
Ill.	353	401	5,386	6,281	-	6	11	9	-	6											
Mich.	67	125	4,728	4,398	7	8	10	10	2	6											
Wis.	22	35	1,613	2,632	18	34	N	N	2	6											
W.N. CENTRAL	151	197	5,478	8,494	18	21	70	59	40	55											
Minn.	32	40	1,397	1,787	4	10	18	11	17	13											
Iowa	10	13	683	606	3	1	11	6	4	2											
Mo.	70	87	902	3,177	7	4	32	4	11	3											
N. Dak.	-	3	-	203	1	-	2	2	2	1											
S. Dak.	2	3	398	477	1	2	1	1	1	1											
Nebr.	7	10	743	854	2	2	2	21	2	35											
Kans.	30	41	1,355	1,390	-	2	4	14	3	-											
S. ATLANTIC	1,531	2,798	22,070	30,932	44	46	28	26	16	13											
Del.	26	40	690	694	-	-	-	1	-	-											
Md.	153	338	1,423	3,046	5	4	5	1	1	-											
D.C.	112	70	697	N	-	3	-	-	U	U											
Va.	115	129	3,140	3,481	1	1	6	6	5	2											
W. Va.	6	18	450	505	-	-	2	-	1	1											
N.C.	75	197	4,470	5,061	3	1	6	7	2	5											
S.C.	156	191	669	5,071	-	-	-	1	-	1											
Ga.	183	209	4,268	6,207	27	32	3	1	3	U											
Fla.	705	1,606	6,263	6,867	8	5	6	9	4	4											
E.S. CENTRAL	281	489	11,071	11,081	8	3	14	20	11	11											
Ky.	37	70	1,831	1,810	-	1	6	5	3	4											
Tenn.	105	210	2,956	3,418	1	1	5	8	8	3											
Ala.	92	109	4,031	3,289	7	1	1	4	-	3											
Miss.	47	100	2,253	2,564	-	-	2	3	-	1											
W.S. CENTRAL	542	1,163	19,459	19,852	8	21	11	9	18	16											
Ark.	20	45	1,080	1,325	1	-	4	2	1	2											
La.	92	108	3,887	2,391	-	13	-	3	9	3											
Okla.	16	36	1,559	1,937	1	1	4	3	3	2											
Tex.	414	974	12,933	14,199	6	7	3	1	5	9											
MOUNTAIN	213	282	4,982	7,964	18	23	27	15	11	12											
Mont.	3	4	-	271	1	1	8	-	-	-											
Idaho	3	5	64	432	1	2	4	-	-	2											
Wyo.	1	2	185	190	1	-	2	1	2	1											
Colo.	52	74	814	1,797	5	3	8	5	5	2											
N. Mex.	26	13	436	1,080	1	10	-	1	-	-											
Ariz.	56	87	2,287	3,073	2	7	3	3	3	1											
Utah	28	37	573	412	7	N	1	5	1	5											
Nev.	44	60	623	709	-	-	1	-	-	1											
PACIFIC	877	1,140	20,114	26,146	88	61	53	34	16	34											
Wash.	102	58	2,841	2,820	N	N	5	4	7	14											
Oreg.	22	32	1,162	1,345	2	3	7	12	6	10											
Calif.	727	1,023	14,927	20,777	86	58	38	18	-	10											
Alaska	-	6	551	457	-	-	-	-	-	-											
Hawaii	26	21	633	747	-	-	3	-	3	-											
Guam	9	1	-	103	-	-	N	N	U	U											
P.R.	153	324	142	U	-	-	-	1	U	U											
V.I.	6	3	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


