
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 8, 2004 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	8,078	8,888	3,103	6,637	1,907	2,652	1,046	1,032	182	229											
NEW ENGLAND	357	435	67	102	79	259	12	43	4	1											
Maine	22	24	1	4	3	13	-	-	-	-											
N.H.	24	30	3	2	9	15	-	-	N	N											
Vt.	17	12	1	3	4	11	6	5	1	1											
Mass.	209	247	45	66	58	118	N	N	N	N											
R.I.	25	25	3	3	5	1	6	-	3	-											
Conn.	60	97	14	24	-	101	-	38	U	U											
MID. ATLANTIC	1,044	1,119	375	548	290	442	70	57	42	40											
Upstate N.Y.	262	210	166	98	111	160	33	25	30	28											
N.Y. City	285	345	104	142	38	62	U	U	U	U											
N.J.	171	188	61	132	45	96	N	N	N	N											
Pa.	326	376	44	176	96	124	37	32	12	12											
E.N. CENTRAL	1,149	1,252	248	524	323	673	231	215	61	85											
Ohio	309	367	57	91	118	147	176	144	39	50											
Ind.	107	105	44	37	35	55	55	71	15	11											
Ill.	308	425	86	279	32	189	-	-	-	-											
Mich.	222	169	34	76	126	191	N	N	N	N											
Wis.	203	186	27	41	12	91	N	N	7	24											
W.N. CENTRAL	578	480	113	226	154	167	96	91	21	18											
Minn.	144	136	16	30	73	79	-	-	18	15											
Iowa	108	98	29	18	N	N	N	N	N	N											
Mo.	163	123	32	80	35	34	5	6	3	1											
N. Dak.	13	12	1	3	6	8	-	3	-	2											
S. Dak.	23	22	6	8	8	14	1	-	-	-											
Nebr.	45	37	7	60	8	17	-	-	N	N											
Kans.	82	52	22	27	24	15	90	82	N	N											
S. ATLANTIC	1,946	2,075	993	2,124	461	414	521	498	4	5											
Del.	24	27	6	110	4	4	6	-	N	N											
Md.	154	207	34	190	85	121	-	4	-	-											
D.C.	13	11	19	21	3	3	3	-	3	-											
Va.	208	187	30	88	28	36	N	N	N	N											
W. Va.	35	18	-	-	12	16	46	27	1	5											
N.C.	234	319	126	226	48	36	N	N	U	U											
S.C.	102	123	132	94	23	15	31	75	N	N											
Ga.	382	284	233	456	167	91	175	131	N	N											
Fla.	794	899	413	939	91	92	260	261	N	N											
E.S. CENTRAL	417	513	168	346	88	84	57	66	-	-											
Ky.	83	91	26	43	30	21	16	6	N	N											
Tenn.	122	174	65	120	58	63	41	60	N	N											
Ala.	131	152	56	116	-	-	-	-	N	N											
Miss.	81	96	21	67	-	-	-	-	-	-											
W.S. CENTRAL	548	894	507	1,667	90	129	25	45	44	52											
Ark.	78	92	15	20	4	3	5	15	4	4											
La.	36	158	34	177	-	1	20	30	6	12											
Okla.	77	70	127	226	25	34	N	N	21	20											
Tex.	357	574	331	1,244	61	91	N	N	13	16											
MOUNTAIN	691	575	246	300	237	222	14	15	6	28											
Mont.	50	33	3	1	-	1	-	-	-	-											
Idaho	49	61	5	7	4	10	N	N	N	N											
Wyo.	20	9	1	1	5	-	4	2	-	-											
Colo.	169	163	52	50	75	65	-	-	4	26											
N. Mex.	56	50	36	62	36	53	5	13	-	-											
Ariz.	229	161	118	149	101	88	-	-	N	N											
Utah	67	58	13	15	15	4	3	-	2	2											
Nev.	51	40	18	15	1	1	2	-	-	-											
PACIFIC	1,348	1,545	386	800	185	262	20	2	-	-											
Wash.	108	151	25	71	24	26	-	-	N	N											
Oreg.	99	141	18	24	N	N	N	N	N	N											
Calif.	1,019	1,164	327	691	129	195	N	N	N	N											
Alaska	31	32	3	4	-	-	-	-	N	N											
Hawaii	91	57	13	10	32	41	20	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	40	207	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


