
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 18, 1999 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	829	805	10,788	16,075	4,639	6,946	-	37	-	19	56	58									
NEW ENGLAND	61	52	171	215	72	152	-	6	-	4	10	3									
Maine	5	2	5	16	1	2	-	-	-	-	-	-									
N.H.	14	8	11	9	10	13	-	-	-	1	1	-									
Vt.	5	5	8	13	2	6	-	-	-	-	-	1									
Mass.	23	33	58	90	32	56	-	5	-	2	7	2									
R.I.	1	3	14	13	27	49	-	-	-	-	-	-									
Conn.	13	1	75	74	-	26	-	1	-	1	2	-									
MID. ATLANTIC	130	129	672	1,241	497	908	-	-	-	2	2	14									
Upstate N.Y.	63	43	185	257	142	173	-	-	-	2	2	2									
N.Y. City	28	36	181	427	153	316	-	-	-	-	-	-									
N.J.	38	43	57	253	40	165	-	-	-	-	-	8									
Pa.	1	7	249	304	162	254	-	-	-	-	-	4									
E.N. CENTRAL	128	139	2,001	2,537	456	1,034	-	1	-	1	2	15									
Ohio	47	42	473	243	70	57	U	-	U	-	-	1									
Ind.	20	35	78	114	35	80	-	1	-	-	1	3									
Ill.	51	49	405	583	1	180	-	-	-	-	-	-									
Mich.	10	7	1,019	1,441	349	335	-	-	-	1	1	10									
Wis.	-	6	26	156	1	382	-	-	-	-	-	1									
W.N. CENTRAL	72	73	576	1,113	228	294	-	-	-	-	-	-									
Minn.	35	57	58	95	37	33	-	-	-	-	-	-									
Iowa	7	2	108	373	27	45	-	-	-	-	-	-									
Mo.	21	8	319	518	125	178	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	2	-	-	-	-	-	-									
Nebr.	3	-	41	22	11	12	-	-	-	-	-	-									
Kans.	4	6	40	81	27	20	-	-	-	-	-	-									
S. ATLANTIC	193	146	1,432	1,360	889	731	-	1	-	4	5	8									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	50	44	264	301	129	108	-	-	-	-	-	1									
D.C.	4	-	53	44	19	10	-	-	-	-	-	-									
Va.	14	15	113	160	67	75	-	1	-	2	3	2									
W. Va.	6	5	28	4	20	5	-	-	-	-	-	-									
N.C.	28	23	110	90	182	158	-	-	-	-	-	-									
S.C.	5	3	31	23	58	27	-	-	-	-	-	-									
Ga.	51	32	347	401	122	124	-	-	-	-	-	2									
Fla.	35	24	484	334	292	224	-	-	-	2	2	2									
E.S. CENTRAL	51	43	286	295	326	346	-	-	-	-	-	2									
Ky.	6	7	51	24	31	36	-	-	-	-	-	-									
Tenn.	28	24	142	173	172	192	-	-	-	-	-	1									
Ala.	15	10	44	53	65	48	-	-	-	-	-	1									
Miss.	2	2	49	45	58	70	-	-	-	-	-	-									
W.S. CENTRAL	42	41	2,039	2,817	664	1,568	-	5	-	3	8	-									
Ark.	2	-	42	69	35	79	-	-	-	-	-	-									
La.	7	19	73	57	77	74	U	-	U	-	-	-									
Okla.	29	20	351	417	99	69	-	-	-	-	-	-									
Tex.	4	2	1,573	2,274	453	1,346	-	5	-	3	8	-									
MOUNTAIN	70	90	973	2,470	442	611	-	3	-	-	3	-									
Mont.	1	-	17	74	17	5	-	-	-	-	-	-									
Idaho	1	-	33	196	22	27	-	-	-	-	-	-									
Wyo.	1	1	6	32	12	4	-	-	-	-	-	-									
Colo.	10	19	172	223	68	78	-	-	-	-	-	-									
N. Mex.	18	5	38	109	143	235	-	-	-	-	-	-									
Ariz.	30	44	570	1,513	114	139	-	1	-	-	1	-									
Utah	7	3	37	151	26	56	-	2	-	-	2	-									
Nev.	2	18	100	172	40	67	-	-	-	-	-	-									
PACIFIC	82	92	2,638	4,027	1,065	1,302	-	21	-	5	26	16									
Wash.	3	6	228	797	50	69	-	-	-	-	-	1									
Oreg.	31	36	190	310	58	138	-	9	-	-	9	-									
Calif.	38	40	2,203	2,862	935	1,075	-	12	-	4	16	7									
Alaska	5	3	6	15	12	10	-	-	-	-	-	8									
Hawaii	5	7	11	43	10	10	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	50	102	189	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


