
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending September 26, 2009 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	101	275	1,697	9,578	6,865	44	69	139	2,739	3,226	19	29	179	1,125	1,792						
NEW ENGLAND	8	15	27	483	756	-	7	14	236	304	-	0	2	9	4						
Conn.	-	0	4	31	43	-	2	10	101	152	-	0	0	-	-						
Maine	-	1	10	68	27	-	1	5	40	38	-	0	2	4	1						
Mass.	1	8	21	289	589	-	0	0	-	-	-	0	1	4	1						
N.H.	-	1	7	58	23	-	0	7	24	31	-	0	0	-	1						
R.I.	7	0	5	29	63	-	0	3	33	27	-	0	2	-	1						
Vt.	-	0	1	8	11	-	1	4	38	56	-	0	1	1	-						
MID. ATLANTIC	6	22	64	811	808	22	14	26	469	703	1	1	29	57	107						
N.J.	-	4	12	134	166	-	0	0	-	-	-	0	2	-	73						
N.Y. (Upstate)	2	5	41	158	312	22	8	20	350	380	1	0	29	11	12						
N.Y. City	-	0	21	53	50	-	0	2	1	14	-	0	4	25	11						
Pa.	4	12	33	466	280	-	4	17	118	309	-	0	2	21	11						
E.N. CENTRAL	46	55	238	1,994	1,116	2	3	19	204	215	-	1	6	69	133						
Ill.	-	11	45	284	243	1	1	9	81	87	-	1	6	40	98						
Ind.	-	4	158	181	45	-	0	6	21	7	-	0	3	10	6						
Mich.	5	11	32	553	182	1	1	6	59	67	-	0	2	5	3						
Ohio	40	21	57	869	532	-	0	5	43	54	-	0	4	14	26						
Wis.	1	3	12	107	114	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	8	35	872	1,333	561	1	5	17	217	239	3	4	26	268	384						
Iowa	-	5	21	139	90	-	0	5	24	17	-	0	2	4	8						
Kans.	-	4	12	142	44	-	1	6	60	52	-	0	1	2	-						
Minn.	-	0	808	165	159	1	0	11	46	44	-	0	1	2	-						
Mo.	6	20	51	734	180	-	1	5	56	52	3	4	25	249	357						
Nebr.	2	4	32	112	64	-	0	1	-	32	-	0	2	11	16						
N. Dak.	-	0	24	17	1	-	0	9	4	24	-	0	1	-	-						
S. Dak.	-	0	10	24	23	-	0	4	27	18	-	0	0	-	3						
S. ATLANTIC	13	29	71	1,216	681	3	25	111	1,223	1,308	11	13	40	393	631						
Del.	-	0	2	10	12	-	0	0	-	-	-	0	3	16	27						
D.C.	-	0	2	2	4	-	0	0	-	-	-	0	0	-	6						
Fla.	6	9	32	432	208	-	0	95	136	138	1	0	2	6	10						
Ga.	-	3	11	140	66	-	0	72	334	295	-	0	7	40	71						
Md.	-	2	8	78	102	-	6	14	264	335	-	1	3	27	72						
N.C.	-	0	65	213	79	N	2	4	N	N	10	6	36	237	291						
S.C.	2	4	17	179	92	-	0	0	-	-	-	0	9	16	34						
Va.	5	3	24	138	110	-	10	23	399	471	-	1	9	47	112						
W. Va.	-	0	5	24	8	3	2	6	90	69	-	0	1	4	8						
E.S. CENTRAL	3	15	33	579	236	1	2	7	72	145	-	4	15	197	268						
Ala.	1	4	19	221	32	-	0	0	-	-	-	1	6	49	71						
Ky.	-	6	15	178	60	1	1	4	38	35	-	0	1	1	1						
Miss.	-	1	4	42	79	-	0	1	-	4	-	0	1	7	10						
Tenn.	2	3	14	138	65	-	0	4	34	106	-	3	14	140	186						
W.S. CENTRAL	1	56	389	1,873	1,100	10	0	13	55	77	4	1	161	110	226						
Ark.	1	4	38	177	71	10	0	5	33	43	-	0	61	47	44						
La.	-	2	8	90	65	-	0	0	-	-	-	0	1	2	5						
Okla.	-	0	45	37	32	-	0	13	21	32	4	0	98	48	142						
Tex.	-	44	304	1,569	932	-	0	1	1	2	-	0	6	13	35						
MOUNTAIN	3	18	31	670	639	1	2	9	72	78	-	1	3	20	36						
Ariz.	-	3	10	165	179	N	0	0	N	N	-	0	2	4	10						
Colo.	-	4	12	201	118	-	0	0	-	-	-	0	1	1	1						
Idaho	-	1	5	60	24	-	0	0	-	11	-	0	1	1	1						
Mont.	-	0	6	28	76	-	0	4	24	8	-	0	2	8	3						
Nev.	3	0	3	14	26	1	0	1	6	11	-	0	1	1	2						
N. Mex.	-	1	10	41	35	-	0	2	18	24	-	0	1	1	4						
Utah	-	4	19	153	167	-	0	6	7	7	-	0	1	1	5						
Wyo.	-	0	5	8	14	-	0	4	17	17	-	0	1	3	10						
PACIFIC	13	18	67	619	968	4	5	12	191	157	-	0	1	2	3						
Alaska	-	1	21	34	130	-	0	2	11	13	N	0	0	N	N						
Calif.	-	4	19	143	399	4	4	12	165	136	-	0	1	2	-						
Hawaii	-	0	3	23	10	-	0	0	-	-	N	0	0	N	N						
Oreg.	3	3	16	200	135	-	0	3	15	8	-	0	0	-	3						
Wash.	10	6	58	219	294	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	2	0	3	30	49	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


