
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2013 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2013
Legionellosis cummulative for 2012
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2013
Lyme disease cummulative for 2012
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2013
Malaria cummulative for 2012

tab delimited data:
test
UNITED STATES	16	57	137	169	266	28	424	1,453	497	1,586	10	22	44	72	126						
NEW ENGLAND	-	5	19	7	11	1	113	606	34	473	-	1	5	2	8						
Conn.	-	1	7	1	1	-	39	182	3	154	-	0	2	-	-						
Maine	-	0	3	1	-	-	16	69	16	42	-	0	1	-	-						
Mass.	-	2	11	-	7	-	46	340	1	195	-	0	4	-	7						
N.H.	-	0	2	-	1	-	8	53	2	59	-	0	2	2	-						
R.I.	-	0	4	3	2	-	0	26	-	1	-	0	1	-	-						
Vt.	-	0	2	2	-	1	8	29	12	22	-	0	1	-	1						
MID. ATLANTIC	3	15	43	24	65	19	200	658	287	781	1	5	14	9	17						
N.J.	-	2	12	1	13	-	51	166	67	282	-	0	0	-	-						
N.Y. (Upstate)	-	6	15	-	13	13	41	219	40	72	-	0	4	-	2						
N.Y. City	-	2	13	9	14	-	1	12	-	1	-	3	11	8	12						
Pa.	3	4	19	14	25	6	95	406	180	426	1	1	4	1	3						
E.N. CENTRAL	5	11	38	36	54	3	21	168	14	87	2	2	8	7	14						
Ill.	-	3	23	3	11	-	2	18	-	6	-	0	6	-	4						
Ind.	-	2	5	6	8	-	1	6	-	3	-	0	2	-	3						
Mich.	-	1	6	-	9	1	2	9	1	2	-	0	5	3	2						
Ohio	5	5	17	27	26	2	1	6	6	4	2	1	3	3	4						
Wis.	-	0	2	-	-	-	16	138	7	72	-	0	2	1	1						
W.N. CENTRAL	-	3	10	4	15	-	2	27	1	5	-	0	5	3	5						
Iowa	-	0	2	-	-	-	1	16	-	1	-	0	1	-	1						
Kans.	-	0	1	1	-	-	0	3	-	-	-	0	2	-	1						
Minn.	-	1	4	-	4	-	1	9	-	4	-	0	0	-	-						
Mo.	-	1	8	-	10	-	0	2	1	-	-	0	2	1	3						
Nebr.	-	0	2	3	-	-	0	2	-	-	-	0	1	1	-						
N. Dak.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	2	1	-						
S. ATLANTIC	6	10	25	43	57	5	61	179	150	214	6	7	16	44	43						
Del.	-	0	2	-	3	-	10	30	26	55	-	0	1	-	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	0	-	2						
Fla.	4	4	11	25	26	1	2	6	7	13	2	1	3	10	13						
Ga.	-	1	3	3	5	-	0	4	3	2	-	1	5	3	1						
Md.	1	2	6	8	8	3	28	98	103	82	2	2	8	25	12						
N.C.	-	1	8	3	5	-	0	29	-	1	-	0	8	-	2						
S.C.	-	0	3	1	2	-	1	3	-	5	-	0	2	-	2						
Va.	1	1	4	3	8	1	16	65	10	47	2	1	4	6	10						
W. Va.	-	0	2	-	-	-	1	10	1	9	-	0	0	-	-						
