
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2001 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	2,792	2,720	52,163	70,192	82	102	76	157	44	125											
NEW ENGLAND	91	283	1,721	2,627	5	3	10	12	3	15											
Maine	3	3	-	157	-	1	-	1	-	1											
N.H.	5	4	102	119	-	-	3	3	1	3											
Vt.	5	-	79	64	2	1	-	1	-	2											
Mass.	51	228	1,045	1,117	-	1	7	3	2	3											
R.I.	11	6	369	279	1	-	-	-	-	-											
Conn.	16	42	126	891	2	-	-	4	-	6											
MID. ATLANTIC	555	796	2,000	6,605	5	9	9	23	4	34											
Upstate N.Y.	4	21	N	N	3	4	9	21	4	28											
N.Y. City	360	495	633	2,765	2	4	-	1	-	-											
N.J.	157	195	225	1,450	-	-	-	1	-	2											
Pa.	34	85	1,142	2,390	-	1	N	N	-	4											
E.N. CENTRAL	224	141	7,801	13,064	26	26	16	26	11	5											
Ohio	46	24	200	3,582	12	5	10	4	6	2											
Ind.	26	26	1,428	1,419	7	3	3	1	-	1											
Ill.	121	63	1,993	3,902	-	4	3	11	3	-											
Mich.	23	19	3,327	2,329	7	3	-	6	-	1											
Wis.	8	9	853	1,832	-	11	-	4	2	1											
W.N. CENTRAL	44	47	2,165	4,135	3	1	11	30	7	26											
Minn.	12	11	562	953	-	-	3	3	2	11											
Iowa	9	7	202	189	1	-	-	3	-	3											
Mo.	7	15	352	1,613	-	-	6	19	2	7											
N. Dak.	-	-	-	95	-	1	-	1	-	1											
S. Dak.	-	1	226	174	-	-	1	-	1	-											
Nebr.	6	4	124	372	2	-	-	2	-	3											
Kans.	10	9	699	739	-	-	1	2	2	1											
S. ATLANTIC	734	578	10,677	12,621	13	10	9	14	2	14											
Del.	15	15	331	338	-	-	-	-	-	-											
Md.	41	92	1,282	1,182	2	1	-	4	-	1											
D.C.	62	23	307	278	1	-	-	-	U	U											
Va.	48	41	1,498	1,301	2	-	1	3	1	4											
W. Va.	6	4	198	222	-	-	-	1	-	1											
N.C.	57	27	1,654	1,627	2	2	6	4	1	1											
S.C.	61	34	1,065	2,065	-	-	1	-	-	-											
Ga.	104	97	1,561	2,827	-	3	-	1	-	3											
Fla.	340	245	2,781	2,781	6	4	1	1	-	4											
E.S. CENTRAL	148	140	5,026	4,049	3	4	3	5	3	3											
Ky.	18	20	948	826	-	-	-	2	2	-											
Tenn.	80	35	1,744	1,409	-	-	2	2	1	3											
Ala.	25	50	1,213	1,099	2	4	1	1	-	-											
Miss.	25	35	1,121	715	1	-	-	-	-	-											
W.S. CENTRAL	409	267	10,474	11,351	2	5	2	9	8	13											
Ark.	19	8	1,069	416	1	1	-	2	-	1											
La.	130	44	2,001	1,847	-	-	-	-	5	5											
Okla.	20	10	1,231	1,039	1	-	2	3	2	3											
Tex.	240	205	6,173	8,049	-	4	-	4	1	4											
MOUNTAIN	145	100	2,641	4,058	6	7	5	18	5	6											
Mont.	1	1	42	110	-	-	-	5	-	-											
Idaho	-	3	206	228	1	1	2	1	-	-											
Wyo.	-	1	69	81	-	-	-	2	-	2											
Colo.	38	33	160	1,011	-	2	1	6	2	1											
N. Mex.	7	8	580	513	3	-	-	-	-	-											
Ariz.	52	21	1,146	1,330	1	2	2	2	2	2											
Utah	11	12	67	320	1	2	-	1	1	1											
Nev.	36	21	371	465	-	-	-	1	-	-											
PACIFIC	442	368	9,658	11,682	19	37	11	20	1	9											
Wash.	26	46	1,600	1,523	N	U	2	1	-	3											
Oreg.	17	11	592	374	5	1	2	3	1	3											
Calif.	398	302	6,930	9,128	14	36	7	12	-	-											
Alaska	1	-	200	248	-	-	-	-	-	-											
Hawaii	-	9	336	409	-	-	-	4	-	3											
Guam	2	-	-	-	-	-	N	N	U	U											
P.R.	48	75	382	U	-	-	-	-	U	U											
V.I.	1	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


