
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 19, 2008 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	96	145	849	3,698	5,202	45	83	177	2,087	3,243	53	29	195	651	953						
NEW ENGLAND	-	22	49	374	802	1	7	20	178	301	-	0	2	1	7						
Conn.	-	0	5	-	45	-	3	17	96	123	-	0	0	-	-						
Maine	-	1	5	16	43	-	1	5	28	46	N	0	0	N	N						
Mass.	-	17	34	315	651	N	0	0	N	N	-	0	2	1	7						
N.H.	-	1	5	16	38	1	1	4	21	28	-	0	1	-	-						
R.I.	-	1	25	21	4	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	6	21	-	2	5	33	104	-	0	0	-	-						
MID. ATLANTIC	19	20	43	417	696	20	20	32	566	552	2	1	5	31	43						
N.J.	-	1	9	3	118	-	0	0	-	-	-	0	2	2	16						
N.Y. (Upstate)	14	6	23	176	334	20	9	20	253	264	1	0	2	9	3						
N.Y. City	-	2	7	34	75	-	0	2	10	30	-	0	2	10	16						
Pa.	5	7	23	204	169	-	10	23	303	258	1	0	2	10	8						
E.N. CENTRAL	10	20	190	699	954	5	3	43	50	68	1	1	4	15	31						
Ill.	-	3	8	69	103	-	0	0	32	30	-	0	3	2	20						
Ind.	-	0	12	23	31	-	0	1	2	6	-	0	1	2	4						
Mich.	1	4	16	101	155	3	1	32	28	38	-	0	1	2	3						
Ohio	9	6	176	467	423	2	1	11	20	24	1	0	4	9	4						
Wis.	-	2	9	39	242	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	8	11	142	342	360	2	4	13	79	153	5	4	34	160	204						
Iowa	-	1	5	32	109	-	0	3	9	18	-	0	5	1	13						
Kans.	-	1	5	25	61	-	0	7	-	79	-	0	2	-	9						
Minn.	6	0	131	110	59	1	0	7	27	11	-	0	4	-	1						
Mo.	1	2	18	124	54	1	0	5	22	21	4	3	25	149	170						
Nebr.	1	1	12	43	27	-	0	0	-	-	1	0	3	8	8						
N. Dak.	-	0	5	1	3	-	0	8	14	11	-	0	0	-	-						
S. Dak.	-	0	2	7	47	-	0	2	7	13	-	0	1	2	3						
S. ATLANTIC	22	14	50	351	545	12	35	94	929	1,270	33	8	109	217	425						
Del.	-	0	2	6	7	-	0	0	-	-	-	0	2	7	10						
D.C.	-	0	1	2	7	-	0	0	-	-	-	0	2	6	2						
Fla.	17	3	9	121	132	-	0	77	77	128	1	0	4	8	7						
Ga.	-	0	3	21	28	-	6	37	187	142	4	0	6	24	45						
Md.	1	0	6	6	67	-	0	18	12	225	4	0	6	6	31						
N.C.	1	0	38	77	180	11	9	16	272	277	23	0	96	107	247						
S.C.	-	2	22	57	49	-	0	0	-	46	-	1	4	16	30						
Va.	3	2	11	57	64	-	12	27	321	413	1	1	8	40	51						
W. Va.	-	0	12	4	11	1	0	11	60	39	-	0	3	3	2						
E.S. CENTRAL	6	7	31	134	193	3	2	7	71	90	3	4	16	111	153						
Ala.	1	1	6	20	45	-	0	0	-	-	-	1	10	32	40						
Ky.	-	1	5	27	13	3	0	3	21	10	-	0	1	-	4						
Miss.	1	3	29	54	74	-	0	1	2	-	-	0	3	4	10						
Tenn.	4	1	4	33	61	-	2	6	48	80	3	2	11	75	99						
W.S. CENTRAL	18	19	198	447	580	-	8	40	62	617	8	2	153	101	65						
Ark.	1	1	11	38	122	-	1	6	36	17	-	0	15	13	14						
La.	-	0	2	3	13	-	0	2	-	3	-	0	2	2	3						
Okla.	5	0	26	19	3	-	0	32	25	45	8	0	132	80	34						
Tex.	12	17	179	387	442	-	0	34	1	552	-	0	8	6	14						
MOUNTAIN	5	19	37	471	631	2	1	8	32	30	-	0	2	12	22						
Ariz.	1	3	10	113	152	N	0	0	N	N	-	0	2	6	4						
Colo.	2	4	13	81	171	-	0	0	-	-	-	0	2	-	-						
Idaho	1	0	4	19	26	-	0	4	-	-	-	0	1	-	3						
Mont.	-	0	11	59	31	2	0	3	3	6	-	0	1	2	1						
Nev.	-	0	7	17	25	-	0	2	3	5	-	0	0	-	-						
N. Mex.	-	1	7	26	41	-	0	3	18	6	-	0	1	1	4						
Utah	1	6	27	150	170	-	0	2	2	6	-	0	0	-	-						
Wyo.	-	0	2	6	15	-	0	4	6	7	-	0	2	3	10						
PACIFIC	8	19	303	463	441	-	4	10	88	132	1	0	1	3	3						
Alaska	8	1	29	58	32	-	0	4	12	36	N	0	0	N	N						
Calif.	-	8	129	174	258	-	3	8	73	91	-	0	1	1	1						
Hawaii	-	0	2	4	14	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	75	54	-	0	1	3	5	1	0	1	2	2						
Wash.	-	5	169	152	83	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	4	33	30	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


