
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 10, 1999 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	725	916	4	100	132	43	1,239	1,169	1	12	130										
NEW ENGLAND	36	50	-	1	-	1	126	232	-	3	22										
Maine	3	4	-	-	-	-	-	5	-	-	-										
N.H.	-	1	-	1	-	-	19	20	-	-	-										
Vt.	2	1	-	-	-	-	10	25	-	-	-										
Mass.	26	22	-	-	-	-	90	177	-	3	2										
R.I.	2	3	-	-	-	-	2	-	-	-	-										
Conn.	3	19	-	-	-	1	5	5	-	-	20										
MID. ATLANTIC	72	95	1	15	10	5	303	149	1	1	72										
Upstate N.Y.	18	24	-	2	2	4	260	80	1	1	67										
N.Y. City	18	10	-	3	5	-	10	6	-	-	1										
N.J.	16	23	-	-	-	-	-	6	-	-	4										
Pa.	20	38	1	10	3	1	33	57	-	-	-										
E.N. CENTRAL	99	141	-	12	20	-	106	134	-	-	-										
Ohio	49	51	-	6	10	-	89	38	-	-	-										
Ind.	7	24	-	-	-	-	2	34	-	-	-										
Ill.	28	36	-	-	1	-	-	8	-	-	-										
Mich.	15	13	-	6	9	-	15	16	-	-	-										
Wis.	-	17	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	92	76	-	3	15	-	18	87	-	-	2										
Minn.	25	6	-	-	8	-	-	50	-	-	-										
Iowa	20	12	-	2	5	-	7	15	-	-	-										
Mo.	33	34	-	1	1	-	9	11	-	-	1										
N. Dak.	-	-	U	-	1	U	-	-	U	-	-										
S. Dak.	5	5	-	-	-	-	2	2	-	-	-										
Nebr.	2	4	-	-	-	-	-	3	-	-	-										
Kans.	7	15	-	-	-	-	-	6	-	-	1										
S. ATLANTIC	123	135	2	19	15	5	80	84	-	2	1										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	19	16	-	3	-	1	25	17	-	1	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	16	15	-	2	4	-	7	6	-	-	-										
W. Va.	1	4	-	-	-	-	-	1	-	-	-										
N.C.	16	22	1	4	6	-	22	38	-	1	1										
S.C.	15	19	-	2	3	1	7	7	-	-	-										
Ga.	16	34	-	-	-	-	7	-	-	-	-										
Fla.	37	24	1	7	2	3	12	15	-	-	-										
E.S. CENTRAL	54	78	-	1	1	4	21	17	-	-	-										
Ky.	10	13	U	-	-	U	1	2	U	-	-										
Tenn.	21	27	-	-	-	4	16	6	-	-	-										
Ala.	18	28	-	1	1	-	4	9	-	-	-										
Miss.	5	10	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	44	66	-	12	22	5	34	55	-	5	26										
Ark.	12	12	-	-	-	-	5	5	-	-	-										
La.	21	16	-	-	-	-	-	-	-	-	-										
Okla.	9	18	-	1	-	-	2	6	-	-	-										
Tex.	2	20	-	11	22	5	27	44	-	5	26										
MOUNTAIN	57	62	-	7	11	5	165	207	-	-	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	7	3	-	-	-	2	84	74	-	-	-										
Wyo.	2	3	U	-	1	U	1	7	U	-	-										
Colo.	18	14	-	2	1	-	24	43	-	-	-										
N. Mex.	7	10	N	N	N	2	12	48	-	-	1										
Ariz.	17	22	-	-	4	-	20	23	-	-	1										
Utah	4	6	-	4	1	1	21	7	-	-	2										
Nev.	2	2	-	1	4	-	2	4	-	-	1										
PACIFIC	148	213	1	30	38	18	386	204	-	1	2										
Wash.	17	24	-	-	4	14	225	76	-	-	-										
Oreg.	25	40	N	N	N	4	8	12	-	-	-										
Calif.	99	145	1	26	24	-	149	113	-	1	1										
Alaska	3	1	-	1	2	-	2	-	-	-	-										
Hawaii	4	3	-	3	8	-	2	3	-	-	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	2	2	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


