
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 4, 2000 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	1,754	2,046	2	278	315	109	5,457	5,421	19	146	239										
NEW ENGLAND	116	98	-	4	8	19	1,322	680	-	12	7										
Maine	8	5	-	-	-	-	41	-	-	-	-										
N.H.	11	12	-	-	1	9	111	82	-	2	-										
Vt.	3	5	-	-	1	2	209	62	-	-	-										
Mass.	68	56	-	1	4	8	903	475	-	8	7										
R.I.	9	5	-	1	2	-	16	33	-	1	-										
Conn.	17	15	-	2	-	-	42	28	-	1	-										
MID. ATLANTIC	162	200	-	21	38	5	525	854	-	9	31										
Upstate N.Y.	56	60	-	10	9	5	272	643	-	2	18										
N.Y. City	33	53	-	4	11	-	44	48	-	7	6										
N.J.	34	45	-	3	1	-	35	23	-	-	4										
Pa.	39	42	-	4	17	-	174	140	-	-	3										
E.N. CENTRAL	309	365	1	30	40	13	604	490	-	1	2										
Ohio	79	124	-	7	14	-	290	186	-	-	-										
Ind.	41	55	-	1	4	7	93	63	-	-	1										
Ill.	72	96	-	6	10	1	68	85	-	1	1										
Mich.	94	57	1	16	8	5	81	53	-	-	-										
Wis.	23	33	-	-	4	-	72	103	-	-	-										
W.N. CENTRAL	154	206	-	18	12	31	512	393	1	3	127										
Minn.	20	47	-	-	1	28	315	188	1	1	5										
Iowa	31	35	-	7	7	-	48	63	-	-	30										
Mo.	81	80	-	4	1	-	69	70	-	1	2										
N. Dak.	2	3	-	-	-	-	6	4	-	-	-										
S. Dak.	5	11	-	-	-	-	7	5	-	-	-										
Nebr.	7	10	-	4	-	-	28	7	-	1	90										
Kans.	8	20	-	3	3	3	39	56	-	-	-										
S. ATLANTIC	277	344	-	41	45	8	437	371	18	92	35										
Del.	1	10	-	-	-	-	8	5	-	1	-										
Md.	26	50	-	10	6	-	106	112	-	-	1										
D.C.	-	3	-	-	2	-	3	-	-	-	-										
Va.	37	47	-	9	10	-	97	29	-	-	-										
W. Va.	12	7	-	-	-	-	1	3	-	-	-										
N.C.	36	40	-	6	8	2	96	89	18	82	34										
S.C.	21	42	-	10	4	2	29	15	-	7	-										
Ga.	43	58	-	2	4	1	37	38	-	-	-										
Fla.	101	87	-	4	11	3	60	80	-	2	-										
E.S. CENTRAL	120	142	-	7	13	-	98	86	-	5	2										
Ky.	26	28	-	1	-	-	49	26	-	1	-										
Tenn.	51	58	-	2	-	-	30	36	-	1	-										
Ala.	31	34	-	2	10	-	18	21	-	3	2										
Miss.	12	22	-	2	3	-	1	3	-	-	-										
W.S. CENTRAL	117	191	-	24	39	-	286	192	-	5	14										
Ark.	13	31	U	2	-	U	32	24	U	-	5										
La.	35	60	-	4	10	-	12	9	-	1	-										
Okla.	26	29	-	-	1	-	19	34	-	-	1										
Tex.	43	71	-	18	28	-	223	125	-	4	8										
MOUNTAIN	124	126	-	20	25	16	683	673	-	2	16										
Mont.	4	4	-	1	-	-	35	2	-	-	-										
Idaho	7	9	-	-	2	-	57	142	-	-	-										
Wyo.	-	4	U	2	-	U	6	2	U	-	-										
Colo.	33	33	-	1	6	13	402	257	-	1	1										
N. Mex.	8	14	U	1	N	U	80	109	U	-	-										
Ariz.	62	41	-	4	8	-	70	97	-	1	13										
Utah	7	14	-	5	4	3	21	56	-	-	1										
Nev.	3	7	-	6	5	-	12	8	-	-	1										
PACIFIC	375	374	1	113	95	17	990	1,682	-	17	5										
Wash.	54	61	-	10	2	12	356	624	-	7	-										
Oreg.	62	67	N	N	N	-	111	51	-	-	-										
Calif.	243	233	1	82	78	5	473	964	-	10	5										
Alaska	8	7	-	7	2	-	20	5	-	-	-										
Hawaii	8	6	-	14	13	-	30	38	-	-	-										
Guam	-	1	-	-	3	-	-	2	-	-	-										
P.R.	9	11	-	-	-	-	5	22	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


