
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2007 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	684	807	1,432	5,002	6,455	-	1	178	-	2	-	1	399	-	-						
NEW ENGLAND	6	23	59	83	302	-	0	3	-	-	-	0	2	-	-						
Conn.	-	0	0	-	-	-	0	3	-	-	-	0	1	-	-						
Maine	-	0	16	-	56	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	7	-	81	-	0	1	-	-	-	0	1	-	-						
N.H.	3	5	47	30	58	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	3	12	52	53	107	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	81	106	189	845	926	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	81	106	189	845	926	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	164	276	587	1,809	2,875	-	0	43	-	-	-	0	33	-	-						
Ill.	-	1	7	-	14	-	0	23	-	-	-	0	23	-	-						
Ind.	-	0	0	-	-	-	0	7	-	-	-	0	12	-	-						
Mich.	36	104	258	752	842	-	0	11	-	-	-	0	2	-	-						
Ohio	128	136	449	1,052	1,726	-	0	11	-	-	-	0	3	-	-						
Wis.	-	12	52	5	293	-	0	2	-	-	-	0	2	-	-						
W.N. CENTRAL	34	29	98	286	412	-	0	36	-	-	-	0	79	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	4	-	-						
Kans.	17	5	45	140	96	-	0	3	-	-	-	0	3	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	17	20	82	133	295	-	0	14	-	-	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	-	-	0	38	-	-						
N. Dak.	-	0	8	-	8	-	0	5	-	-	-	0	28	-	-						
S. Dak.	-	1	15	13	13	-	0	7	-	-	-	0	22	-	-						
S. ATLANTIC	47	87	223	473	440	-	0	2	-	-	-	0	7	-	-						
Del.	-	1	6	7	19	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	5	-	3	-	0	0	-	-	-	0	1	-	-						
Fla.	29	0	37	176	N	-	0	1	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	2	15	57	73	148	-	0	1	-	-	-	0	0	-	-						
Va.	-	28	133	1	34	-	0	0	-	-	-	0	2	-	-						
W. Va.	16	27	70	216	236	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	-	4	43	43	-	-	0	15	-	2	-	0	16	-	-						
Ala.	-	4	43	42	-	-	0	2	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	1	1	-	-	0	10	-	2	-	0	16	-	-						
