
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 20, 2003 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	39,845	42,832	21,273	21,990	5,044	4,471	2,039	2,415	454	382											
NEW ENGLAND	2,038	2,175	328	345	360	318	42	118	9	4											
Maine	136	142	7	10	28	20	-	-	-	-											
N.H.	100	138	5	13	21	35	-	-	N	N											
Vt.	73	75	8	1	19	10	8	5	5	2											
Mass.	1,211	1,207	221	202	174	106	N	N	N	N											
R.I.	129	171	21	17	16	15	10	16	4	2											
Conn.	389	442	66	102	102	132	24	97	U	U											
MID. ATLANTIC	4,469	5,734	2,245	1,835	880	704	128	123	101	85											
Upstate N.Y.	1,148	1,515	585	354	349	282	72	92	77	71											
N.Y. City	1,244	1,375	400	497	125	155	U	U	U	U											
N.J.	573	1,040	280	615	148	145	N	N	N	N											
Pa.	1,504	1,804	980	369	258	122	56	31	24	14											
E.N. CENTRAL	5,158	5,460	1,694	2,255	1,007	972	440	261	178	159											
Ohio	1,317	1,381	299	652	285	212	286	94	98	31											
Ind.	565	556	179	115	105	52	154	165	49	66											
Ill.	1,644	1,770	863	1,105	182	279	-	2	-	-											
Mich.	776	861	233	194	350	305	N	N	N	N											
Wis.	856	892	120	189	85	124	N	N	31	62											
W.N. CENTRAL	2,521	2,606	812	1,085	324	256	168	433	63	63											
Minn.	569	577	107	213	161	129	-	292	53	59											
Iowa	390	500	88	122	N	N	N	N	N	N											
Mo.	963	822	370	210	72	46	15	5	3	1											
N. Dak.	40	41	6	18	15	3	3	1	7	3											
S. Dak.	118	114	17	157	21	14	1	1	-	-											
Nebr.	152	201	106	273	25	26	-	26	N	N											
Kans.	289	351	118	92	30	38	149	108	N	N											
S. ATLANTIC	10,980	11,344	7,082	7,569	894	704	1,026	1,105	18	36											
Del.	99	101	157	402	7	2	1	3	N	N											
Md.	848	925	581	1,213	268	122	-	-	-	26											
D.C.	51	76	73	63	16	9	3	-	7	3											
Va.	1,068	1,214	426	996	97	73	N	N	N	N											
W. Va.	124	152	-	12	36	19	80	46	11	7											
N.C.	1,392	1,574	985	550	103	113	N	N	U	U											
S.C.	810	841	509	134	37	38	141	193	N	N											
Ga.	2,176	1,926	1,593	1,782	120	128	238	274	N	N											
Fla.	4,412	4,535	2,758	2,417	210	200	563	589	N	N											
E.S. CENTRAL	2,654	3,272	935	1,535	206	114	143	134	-	-											
Ky.	396	395	128	200	45	22	20	18	N	N											
Tenn.	741	857	391	168	161	92	123	116	N	N											
Ala.	531	859	249	823	-	-	-	-	N	N											
Miss.	986	1,161	167	344	-	-	-	-	-	-											
W.S. CENTRAL	4,712	4,618	4,475	3,274	340	293	60	191	79	30											
Ark.	782	1,050	98	196	5	8	8	12	-	-											
La.	538	785	303	499	1	1	52	179	11	10											
Okla.	465	510	834	587	90	48	N	N	45	8											
Tex.	2,927	2,273	3,240	1,992	244	236	N	N	23	12											
MOUNTAIN	2,224	2,329	1,226	1,067	439	560	29	50	6	5											
Mont.	111	89	2	4	2	-	-	-	-	-											
Idaho	172	169	35	17	19	11	N	N	N	N											
Wyo.	77	106	8	8	2	7	10	14	-	-											
Colo.	443	593	277	210	126	122	-	-	-	-											
N. Mex.	270	327	250	243	114	110	19	35	-	-											
Ariz.	745	653	536	497	163	279	-	-	N	N											
Utah	230	178	52	35	11	31	-	-	6	5											
Nev.	176	214	66	53	2	-	-	1	-	-											
PACIFIC	5,089	5,294	2,476	3,025	594	550	3	-	-	-											
Wash.	556	506	154	179	70	60	-	-	N	N											
Oreg.	421	335	212	108	N	N	N	N	N	N											
Calif.	3,793	4,106	2,055	2,662	399	383	N	N	N	N											
Alaska	96	83	10	5	-	-	-	-	N	N											
Hawaii	223	264	45	71	125	107	3	-	-	-											
Guam	-	42	-	37	-	-	-	4	-	-											
P.R.	350	567	8	31	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


