
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 29, 1997 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	2,873	2,994	6	548	650	54	4,744	6,227	-	157	221										
NEW ENGLAND	183	139	-	11	1	2	826	1,607	-	1	27										
Maine	17	13	-	-	-	-	7	49	-	-	-										
N.H.	15	7	U	-	-	U	124	153	U	-	-										
Vt.	4	4	-	-	-	1	217	208	-	-	2										
Mass.	91	58	-	4	1	1	436	1,130	-	1	21										
R.I.	19	14	-	6	-	-	16	32	-	-	-										
Conn.	37	43	-	1	-	-	26	35	-	-	4										
MID. ATLANTIC	294	322	-	51	84	-	339	583	-	31	13										
Upstate N.Y.	65	83	-	9	24	-	124	350	-	4	5										
N.Y. City	42	46	-	3	18	-	59	53	-	27	5										
N.J.	63	68	-	6	4	-	9	31	-	-	2										
Pa.	124	125	-	33	38	-	147	149	-	-	1										
E.N. CENTRAL	412	423	1	67	120	8	435	719	-	5	3										
Ohio	156	145	-	31	42	1	152	266	-	-	-										
Ind.	51	57	-	12	8	-	55	81	-	-	-										
Ill.	124	125	1	13	23	4	96	156	-	2	1										
Mich.	49	44	-	11	44	3	49	52	-	-	2										
Wis.	32	52	-	-	3	-	83	164	-	3	-										
W.N. CENTRAL	211	214	-	17	21	14	466	391	-	-	-										
Minn.	34	25	-	6	6	13	281	303	-	-	-										
Iowa	45	46	-	9	3	1	92	19	-	-	-										
Mo.	90	82	-	-	9	-	61	42	-	-	-										
N. Dak.	2	4	-	-	2	-	2	1	-	-	-										
S. Dak.	5	10	-	-	-	-	5	4	-	-	-										
Nebr.	15	22	-	2	-	-	12	9	-	-	-										
Kans.	20	25	-	-	1	-	13	13	-	-	-										
S. ATLANTIC	520	568	1	79	104	8	420	624	-	83	91										
Del.	5	2	-	-	-	-	1	24	-	-	-										
Md.	42	56	-	7	33	1	115	249	-	-	-										
D.C.	9	5	-	-	-	-	3	3	-	1	1										
Va.	57	56	-	18	16	-	51	98	-	1	2										
W. Va.	18	16	-	-	-	-	6	6	-	-	-										
N.C.	88	74	1	11	20	3	118	97	-	59	77										
S.C.	54	58	-	11	7	1	29	44	-	19	1										
Ga.	100	128	-	10	3	-	13	19	-	-	-										
Fla.	147	173	-	22	25	3	84	84	-	3	10										
E.S. CENTRAL	219	218	-	27	20	1	127	194	-	-	2										
Ky.	45	28	-	3	-	-	54	140	-	-	-										
Tenn.	81	59	-	6	1	-	37	21	-	-	-										
Ala.	74	81	-	9	4	1	28	24	-	-	2										
Miss.	19	50	-	9	15	-	8	9	-	-	N										
W.S. CENTRAL	272	306	-	60	52	-	247	145	-	4	8										
Ark.	31	32	U	1	1	U	60	8	U	-	-										
La.	47	57	-	14	17	-	19	9	-	-	1										
Okla.	39	37	-	-	1	-	48	19	-	-	-										
Tex.	155	180	-	45	33	-	120	109	-	4	7										
MOUNTAIN	171	172	-	54	24	13	1,084	528	-	6	6										
Mont.	9	9	-	-	-	-	19	35	-	-	-										
Idaho	10	23	U	3	-	U	573	101	U	1	2										
Wyo.	4	4	-	1	1	-	7	8	-	-	-										
Colo.	46	39	-	3	4	-	285	228	-	-	2										
N. Mex.	28	26	N	N	N	9	122	62	-	-	-										
Ariz.	41	37	-	32	1	-	35	32	-	5	1										
Utah	15	16	-	8	3	4	22	21	-	-	-										
Nev.	18	18	-	7	15	-	21	41	-	-	1										
PACIFIC	591	632	4	182	224	8	800	1,436	-	27	71										
Wash.	81	92	-	19	21	8	364	660	-	5	15										
Oreg.	119	114	N	N	N	-	19	60	-	-	1										
Calif.	382	411	4	136	170	-	390	680	-	14	52										
Alaska	2	9	-	4	3	-	14	3	-	-	-										
Hawaii	7	6	-	23	30	-	13	33	-	8	3										
Guam	1	4	U	1	10	U	-	-	U	-	-										
P.R.	10	12	-	7	1	-	2	3	-	-	-										
V.I.	-	-	U	-	2	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


