
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2002 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	167	416	72	123	40	42	1	1													
NEW ENGLAND	7	5	4	4	-	1	1	-													
Maine	-	-	2	1	-	-	-	-													
N.H.	-	-	1	-	-	-	-	-													
Vt.	-	-	1	1	-	1	1	-													
Mass.	6	5	-	2	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	1	-	-	-	-	-	-	-													
MID. ATLANTIC	3	52	5	33	2	2	-	1													
Upstate N.Y.	1	28	3	3	2	2	-	1													
N.Y. City	-	14	1	18	-	-	-	-													
N.J.	-	6	-	12	-	-	-	-													
Pa.	2	4	1	-	-	-	-	-													
E.N. CENTRAL	29	56	14	30	1	-	-	-													
Ohio	23	9	7	4	-	-	-	-													
Ind.	-	-	-	-	1	-	-	-													
Ill.	4	25	-	6	-	-	-	-													
Mich.	2	18	7	18	-	-	-	-													
Wis.	-	4	-	2	-	-	-	-													
W.N. CENTRAL	57	62	2	7	5	-	-	-													
Minn.	9	29	-	-	-	-	-	-													
Iowa	5	-	-	-	-	-	-	-													
Mo.	4	22	1	3	-	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	36	1	-	1	-	-	-	-													
Nebr.	-	2	-	-	-	-	-	-													
Kans.	3	8	1	3	5	-	-	-													
S. ATLANTIC	33	34	31	8	30	26	-	-													
Del.	2	-	-	-	-	-	-	-													
Md.	-	3	2	1	-	-	-	-													
D.C.	3	-	1	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	9	16	5	2	-	-	-	-													
S.C.	-	-	-	-	-	-	-	-													
Ga.	19	12	23	3	30	17	-	-													
Fla.	-	3	-	2	-	9	-	-													
E.S. CENTRAL	17	29	-	2	-	2	-	-													
Ky.	1	12	-	-	-	1	-	-													
Tenn.	-	-	-	2	-	1	-	-													
Ala.	15	7	-	-	-	-	-	-													
Miss.	1	10	-	-	-	-	-	-													
W.S. CENTRAL	5	84	1	16	-	10	-	-													
Ark.	3	3	-	-	-	1	-	-													
La.	-	7	-	-	-	9	-	-													
Okla.	1	-	-	2	-	-	-	-													
Tex.	1	74	1	14	-	-	-	-													
MOUNTAIN	5	13	13	18	2	1	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	4	4	8	14	-	-	-	-													
N. Mex.	1	9	5	4	2	1	-	-													
Ariz.	-	-	-	-	-	-	-	-													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	11	81	2	5	-	-	-	-													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	4	-	-	-	-	-	-	-													
Calif.	7	81	2	5	-	-	-	-													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	-	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


