
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 2013 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	177	276	948	7,385	7,267	11	22	55	470	553	76	297	372	5,110	5,386						
NEW ENGLAND	2	11	55	309	330	-	1	4	15	31	8	8	16	165	190						
Conn.	-	6	21	169	160	-	0	2	6	9	-	0	4	7	28						
Maine	2	2	8	61	53	-	0	1	3	1	-	0	5	2	9						
Mass.	-	0	4	8	21	-	0	3	5	16	7	6	16	132	114						
N.H.	-	1	5	37	44	-	0	1	1	4	1	0	4	10	14						
R.I.	-	0	29	1	25	-	0	0	-	1	-	0	4	12	22						
Vt.	-	1	6	33	27	-	0	0	-	-	-	0	2	2	3						
MID. ATLANTIC	23	39	196	802	1,072	-	2	13	36	47	12	38	59	708	677						
N.J.	-	5	27	8	296	-	0	3	-	15	-	4	10	49	78						
N.Y. (Upstate)	18	17	145	420	432	-	1	9	22	22	5	5	32	103	67						
N.Y. City	5	14	36	374	344	-	0	3	14	10	1	20	32	378	347						
Pa.	N	-	-	N	N	N	0	0	N	N	6	9	19	178	185						
E.N. CENTRAL	42	57	132	1,550	1,516	3	4	9	77	113	1	31	61	468	678						
Ill.	N	0	0	N	N	-	1	3	18	22	-	12	25	142	317						
Ind.	-	13	50	287	333	-	0	3	12	14	1	4	10	77	78						
Mich.	2	13	30	351	318	1	0	3	19	22	-	5	14	102	111						
Ohio	33	21	63	676	619	1	1	6	19	39	-	8	15	126	146						
Wis.	7	9	26	236	246	1	0	2	9	16	-	2	5	21	26						
W.N. CENTRAL	3	12	35	305	324	1	1	5	46	42	-	8	18	154	126						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	5	19	18						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	2	9	7						
Minn.	-	8	24	181	202	-	1	3	14	11	-	3	5	41	37						
Mo.	N	0	0	N	N	-	1	3	17	18	-	3	9	74	57						
Nebr.	3	1	7	70	75	1	0	1	7	5	-	0	2	7	2						
N. Dak.	-	0	1	2	1	-	0	1	2	-	-	0	1	1	1						
S. Dak.	-	2	6	52	46	-	0	1	6	8	-	0	2	3	4						
S. ATLANTIC	39	61	143	1,818	1,567	4	5	14	130	116	30	70	184	1,163	1,372						
Del.	-	0	3	17	21	-	0	1	-	-	-	0	5	7	19						
D.C.	-	1	7	28	31	-	0	1	-	1	2	3	8	77	79						
Fla.	12	20	59	594	489	1	1	6	42	37	1	25	39	439	540						
Ga.	10	18	56	551	420	-	2	6	39	28	11	13	110	209	278						
Md.	8	7	26	246	246	1	0	4	18	16	-	8	14	128	155						
N.C.	N	0	0	N	N	N	0	0	N	N	8	4	34	70	132						
S.C.	8	7	21	246	195	2	0	3	10	14	-	5	10	108	82						
Va.	N	0	0	N	N	-	0	4	15	15	8	5	40	118	84						
W. Va.	1	5	23	136	165	-	0	2	6	5	-	0	2	7	3						
E.S. CENTRAL	25	23	60	764	643	-	2	5	45	43	3	12	25	181	296						
Ala.	4	2	10	94	57	-	0	3	11	4	-	3	10	45	82						
Ky.	1	4	12	137	105	-	0	1	4	4	3	2	10	47	44						
Miss.	3	4	12	118	87	-	0	2	10	11	-	1	11	33	69						
Tenn.	17	13	41	415	394	-	0	3	20	24	-	4	9	56	101						
W.S. CENTRAL	24	30	368	942	834	-	3	24	66	82	4	35	58	729	560						
Ark.	-	3	24	97	84	-	0	1	2	10	4	2	13	63	85						
La.	-	5	14	128	102	-	0	4	8	8	-	6	20	86	109						
Okla.	N	0	0	N	N	-	0	2	10	15	-	2	5	33	25						
Tex.	24	22	340	717	648	-	2	23	46	49	-	23	39	547	341						
MOUNTAIN	16	29	73	823	907	1	2	7	44	71	1	14	26	229	212						
Ariz.	9	12	42	475	374	-	1	4	23	26	-	4	8	72	74						
Colo.	-	5	22	79	213	-	0	3	4	12	-	4	12	58	57						
Idaho	N	0	0	N	N	-	0	1	3	1	-	0	4	2	11						
Mont.	3	0	2	17	20	1	0	1	3	1	-	0	1	3	-						
Nev.	-	2	7	66	55	-	0	1	2	7	1	2	8	52	35						
N. Mex.	3	5	17	157	148	-	0	2	7	13	-	2	6	26	28						
Utah	-	2	11	17	86	-	0	3	2	10	-	1	3	15	7						
Wyo.	1	0	3	12	11	-	0	1	-	1	-	0	1	1	-						
PACIFIC	3	4	10	72	74	2	0	2	11	8	17	71	103	1,313	1,275						
Alaska	2	3	7	45	50	1	0	1	9	8	1	0	2	7	3						
Calif.	N	0	0	N	N	N	0	0	N	N	10	60	85	1,128	1,063						
Hawaii	1	1	6	27	24	1	0	2	2	-	-	0	3	7	6						
Oreg.	N	0	0	N	N	N	0	0	N	N	2	4	15	97	78						
Wash.	N	0	0	N	N	N	0	0	N	N	4	5	13	74	125						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	16	7	17	150	96						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


