
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 14, 2009 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	89	94	200	1,056	1,297	12	34	58	306	434											
NEW ENGLAND	13	5	31	67	79	-	1	12	7	26											
Conn.	12	0	26	23	-	-	0	11	-	-											
Maine	-	0	3	2	8	-	0	1	-	1											
Mass.	-	3	8	24	56	-	1	3	4	21											
N.H.	1	0	4	9	9	-	0	1	2	4											
R.I.	-	0	8	4	1	-	0	2	-	-											
Vt.	-	0	3	5	5	-	0	1	1	-											
MID. ATLANTIC	22	17	35	204	276	1	3	19	31	60											
N.J.	-	1	11	1	55	-	1	4	4	16											
N.Y. (Upstate)	11	6	23	75	80	1	2	19	27	22											
N.Y. City	-	4	12	42	59	-	0	5	-	22											
Pa.	11	7	15	86	82	N	0	2	N	N											
E.N. CENTRAL	14	18	42	229	266	3	6	11	58	82											
Ill.	-	5	13	54	78	-	1	5	8	23											
Ind.	1	2	19	32	31	-	0	5	4	7											
Mich.	1	3	9	34	51	2	1	5	16	25											
Ohio	10	5	14	82	71	1	1	5	26	14											
Wis.	2	1	10	27	35	-	0	2	4	13											
W.N. CENTRAL	3	5	39	63	87	2	2	11	26	27											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	8	16	15	N	0	0	N	N											
Minn.	-	0	35	-	20	-	0	9	9	8											
Mo.	1	1	8	30	31	2	1	3	12	14											
Nebr.	1	1	3	10	12	-	0	1	1	2											
N. Dak.	-	0	3	-	3	-	0	2	-	1											
S. Dak.	1	0	2	7	6	-	0	2	4	2											
S. ATLANTIC	20	21	36	243	263	3	6	13	68	86											
Del.	1	0	1	6	5	-	0	0	-	-											
D.C.	-	0	4	-	6	N	0	0	N	N											
Fla.	6	5	13	68	66	2	1	3	15	13											
Ga.	4	5	14	69	59	1	2	6	28	23											
Md.	-	3	10	31	51	-	1	3	10	21											
N.C.	7	2	9	27	20	N	0	0	N	N											
S.C.	-	1	5	14	16	-	1	6	12	13											
Va.	-	2	9	19	28	-	0	4	-	14											
W. Va.	2	0	2	9	12	-	0	2	3	2											
E.S. CENTRAL	-	4	9	45	42	-	2	6	9	22											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	12	10	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	5											
Tenn.	-	3	7	33	32	-	1	5	9	17											
W.S. CENTRAL	10	9	54	90	83	-	5	31	48	45											
Ark.	-	0	2	4	1	-	0	3	7	3											
La.	-	0	2	3	6	-	0	3	8	1											
Okla.	10	2	13	49	29	-	1	7	10	19											
Tex.	-	6	41	34	47	-	3	22	23	22											
MOUNTAIN	4	9	20	93	168	1	4	11	49	72											
Ariz.	4	3	8	29	49	1	2	9	32	36											
Colo.	-	2	10	30	51	-	1	4	7	15											
Idaho	-	0	2	1	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	3	-	0	1	-	1											
N. Mex.	-	1	6	19	43	-	0	2	5	9											
Utah	-	1	4	11	16	-	0	3	3	10											
Wyo.	-	0	2	1	-	-	0	1	-	-											
PACIFIC	3	3	8	22	33	2	1	5	10	14											
Alaska	1	0	4	3	8	1	0	4	7	9											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	2	2	8	19	25	1	0	2	3	5											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


