
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2007 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	290	830	1,371	4,436	5,348	9	74	173	230	351	171	258	520	1,642	1,862						
NEW ENGLAND	2	18	82	103	698	-	2	16	6	100	-	2	14	10	107						
Conn.	-	0	54	54	503	-	0	0	-	84	-	0	7	7	67						
Maine	-	2	13	21	12	-	0	8	4	1	-	0	2	2	-						
Mass.	-	9	53	-	156	-	0	9	-	11	-	0	11	-	33						
N.H.	2	3	25	13	17	-	0	3	2	2	-	0	2	1	3						
R.I.	-	1	10	8	8	-	0	2	-	1	-	0	3	-	3						
Vt.	-	1	6	7	2	-	0	4	-	1	-	0	2	-	1						
MID. ATLANTIC	43	90	191	607	587	1	8	62	27	26	5	15	47	66	166						
N.J.	-	15	49	43	108	-	1	15	1	7	-	3	35	2	56						
N.Y. (Upstate)	28	27	92	185	96	-	3	14	13	7	4	4	43	19	47						
N.Y. City	2	24	50	141	174	-	0	4	1	3	-	5	14	35	47						
Pa.	13	30	67	238	209	1	2	47	12	9	1	1	6	10	16						
E.N. CENTRAL	20	105	197	422	693	-	10	59	40	45	13	22	67	72	181						
Ill.	-	27	60	25	193	-	1	7	2	5	-	9	49	9	65						
Ind.	6	15	55	65	64	-	1	8	1	6	1	2	17	10	20						
Mich.	1	18	35	95	134	-	1	6	8	11	-	2	5	6	48						
Ohio	13	23	56	163	189	-	3	18	27	9	12	3	14	36	28						
Wis.	-	17	27	74	113	-	2	39	2	14	-	3	10	11	20						
W.N. CENTRAL	26	47	109	338	308	1	11	45	26	46	37	36	77	306	191						
Iowa	1	8	26	45	49	-	1	38	-	9	-	2	14	6	4						
Kans.	2	7	16	53	52	1	0	4	4	-	-	2	11	6	17						
Minn.	10	11	60	65	59	-	3	26	12	18	5	4	24	52	17						
Mo.	12	14	35	118	89	-	2	13	5	15	31	10	69	223	114						
Nebr.	-	4	9	18	34	-	1	11	5	3	-	1	14	3	23						
N. Dak.	1	0	5	7	2	-	0	0	-	-	1	0	18	4	2						
S. Dak.	-	3	11	32	23	-	0	5	-	1	-	6	24	12	14						
S. ATLANTIC	115	223	396	1,547	1,285	3	11	32	66	51	88	65	143	675	424						
Del.	-	2	10	7	13	-	0	3	3	-	-	0	2	2	-						
D.C.	-	1	4	8	13	-	0	1	-	-	-	0	5	3	3						
Fla.	41	95	176	641	559	3	2	9	21	10	67	32	76	402	187						
Ga.	26	34	67	311	171	-	1	7	8	8	21	24	54	233	132						
Md.	-	13	33	94	88	-	2	9	13	9	-	1	10	11	26						
N.C.	47	29	130	278	272	-	2	11	10	16	-	1	14	9	49						
S.C.	-	19	51	95	63	-	0	3	-	2	-	0	9	6	20						
Va.	1	21	58	106	97	-	2	11	11	6	-	2	9	9	7						
W. Va.	-	1	16	7	9	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	17	63	153	261	298	-	4	21	13	25	7	13	84	107	133						
Ala.	-	22	95	63	123	-	0	5	1	2	-	5	75	32	26						
Ky.	6	8	23	63	55	-	1	12	4	6	-	2	15	12	71						
Miss.	-	12	42	18	48	-	0	0	-	-	-	2	15	13	20						
Tenn.	11	17	32	117	72	-	3	9	8	17	7	3	13	50	16						
W.S. CENTRAL	6	84	185	142	375	1	3	46	11	8	7	37	182	104	181						
Ark.	3	15	45	38	141	-	0	7	4	1	2	2	10	12	9						
La.	-	16	42	54	37	-	0	1	-	-	1	2	24	22	3						
Okla.	3	8	40	43	38	1	0	17	2	-	-	2	9	8	15						
Tex.	-	46	107	7	159	-	2	42	5	7	4	30	169	62	154						
MOUNTAIN	21	51	87	317	362	1	7	34	21	34	8	26	87	122	141						
Ariz.	5	18	45	125	128	1	1	13	9	10	3	11	35	61	77						
Colo.	12	12	30	86	83	-	1	8	1	10	5	3	15	19	16						
