
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2002 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	1,105	1,407	328	434	190	295	4	11													
NEW ENGLAND	22	17	10	14	1	2	1	-													
Maine	1	-	3	4	-	-	-	-													
N.H.	1	-	2	2	-	-	-	-													
Vt.	-	-	1	3	1	2	1	-													
Mass.	19	15	4	5	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	1	2	-	-	-	-	-	-													
MID. ATLANTIC	34	185	49	90	8	16	-	10													
Upstate N.Y.	6	52	23	23	8	16	-	10													
N.Y. City	12	52	18	37	-	-	-	-													
N.J.	-	49	1	28	-	-	-	-													
Pa.	16	32	7	2	-	-	-	-													
E.N. CENTRAL	169	218	57	116	9	19	2	1													
Ohio	107	49	22	25	-	-	1	-													
Ind.	7	25	1	-	9	19	1	1													
Ill.	34	82	1	41	-	-	-	-													
Mich.	19	46	33	45	-	-	-	-													
Wis.	2	16	-	5	-	-	-	-													
W.N. CENTRAL	139	175	9	28	18	2	-	-													
Minn.	21	86	-	-	-	-	-	-													
Iowa	7	18	-	-	-	-	-	-													
Mo.	15	44	6	16	1	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	82	1	-	2	-	-	-	-													
Nebr.	-	9	-	1	-	1	-	-													
Kans.	14	17	3	9	17	1	-	-													
S. ATLANTIC	414	158	90	49	129	191	1	-													
Del.	2	1	-	-	3	-	-	-													
Md.	40	12	12	8	-	-	-	-													
D.C.	3	5	2	-	2	1	1	-													
Va.	92	10	5	14	-	-	-	-													
W. Va.	1	1	-	-	3	3	-	-													
N.C.	32	32	22	10	-	-	-	-													
S.C.	7	12	2	1	18	40	-	-													
Ga.	177	36	35	9	43	64	-	-													
Fla.	60	49	12	7	60	83	-	-													
E.S. CENTRAL	76	96	10	10	18	37	-	-													
Ky.	17	39	1	3	1	4	-	-													
Tenn.	6	8	9	7	17	32	-	-													
Ala.	30	21	-	-	-	1	-	-													
Miss.	23	28	-	-	-	-	-	-													
W.S. CENTRAL	45	259	5	60	2	19	-	-													
Ark.	16	18	-	-	2	4	-	-													
La.	-	24	-	-	-	15	-	-													
Okla.	28	1	4	5	-	-	-	-													
Tex.	1	216	1	55	-	-	-	-													
MOUNTAIN	36	64	44	53	5	9	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	2	2	-	1	-	-	-	-													
Wyo.	-	-	1	-	2	-	-	-													
Colo.	10	13	28	34	-	-	-	-													
N. Mex.	3	18	15	14	3	9	-	-													
Ariz.	10	25	-	3	-	-	-	-													
Utah	5	1	-	1	-	-	-	-													
Nev.	6	5	-	-	-	-	-	-													
PACIFIC	170	235	54	14	-	-	-	-													
Wash.	2	19	16	-	-	-	-	-													
Oreg.	15	-	-	-	-	-	-	-													
Calif.	146	214	30	9	-	-	-	-													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	6	2	8	5	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	2	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	-	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


