
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 20, 2006 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	60	103	186	1,764	2,365	32	36	98	382	241	385	847	2,239	9,832	10,392						
NEW ENGLAND	6	12	26	209	292	-	0	2	1	1	15	36	126	500	608						
Conn.	2	3	13	49	64	-	0	0	-	-	-	7	118	118	132						
Maine	-	1	4	27	21	N	0	0	N	N	-	2	8	18	50						
Mass.	3	4	17	107	174	-	0	2	1	-	5	19	41	297	335						
N.H.	-	0	3	5	4	-	0	1	-	-	2	2	12	29	42						
R.I.	-	0	4	1	6	-	0	2	-	1	8	0	17	28	19						
Vt.	1	1	7	20	23	-	0	0	-	-	-	1	10	10	30						
MID. ATLANTIC	17	18	40	305	316	-	1	7	9	18	22	85	272	1,031	1,287						
N.J.	N	0	0	N	N	-	0	3	-	5	-	13	41	98	246						
N.Y. (Upstate)	17	12	24	171	153	-	0	1	-	-	10	23	233	268	297						
N.Y. City	-	0	3	-	10	-	0	2	2	-	2	22	44	276	346						
Pa.	-	7	22	134	153	-	1	5	7	13	10	30	61	389	398						
E.N. CENTRAL	2	2	68	20	82	1	0	7	5	6	48	97	241	1,281	1,438						
Ill.	-	0	4	-	1	-	0	4	1	3	-	27	163	256	506						
Ind.	-	0	3	3	3	-	0	1	1	-	14	11	69	179	130						
Mich.	1	0	4	14	8	-	0	1	-	1	1	17	35	221	270						
Ohio	1	0	66	3	70	1	0	3	3	2	33	24	52	395	282						
Wis.	N	0	2	N	N	-	0	1	-	-	-	15	45	230	250						
W.N. CENTRAL	2	5	16	80	132	1	2	16	20	20	23	46	90	671	696						
Iowa	-	0	4	16	-	-	0	2	-	1	-	7	18	103	126						
Kans.	-	1	5	26	42	-	0	1	-	1	1	7	17	92	94						
Minn.	1	1	5	11	27	-	0	1	1	-	5	10	30	170	168						
Mo.	1	1	7	8	18	1	2	15	19	17	10	15	40	215	178						
Nebr.	-	0	0	-	-	-	0	2	-	-	7	3	10	57	63						
N. Dak.	-	0	5	2	8	-	0	1	-	-	-	0	46	4	12						
S. Dak.	-	1	4	17	37	-	0	2	-	1	-	2	9	30	55						
S. ATLANTIC	24	34	65	660	894	28	17	94	311	144	122	259	514	2,614	2,680						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	22	22						
D.C.	-	0	0	-	-	-	0	1	-	-	4	1	7	23	14						
Fla.	-	0	22	59	201	1	0	3	10	8	49	99	230	1,135	1,010						
Ga.	-	3	27	43	119	-	1	11	17	17	28	35	87	386	359						
Md.	-	7	16	118	110	-	2	7	15	14	-	13	39	151	199						
N.C.	10	8	20	129	189	25	5	87	253	87	35	30	114	444	410						
S.C.	-	3	11	39	74	-	1	6	3	11	6	22	146	221	364						
Va.	11	10	26	232	188	1	2	10	10	5	-	19	66	205	267						
W. Va.	3	1	13	40	13	1	0	2	1	1	-	3	19	27	35						
E.S. CENTRAL	2	4	16	104	53	-	5	24	25	24	42	48	102	568	589						
Ala.	1	1	6	26	29	-	1	9	9	6	32	13	41	211	141						
Ky.	-	0	5	5	6	-	0	1	-	-	4	8	27	103	95						
Miss.	-	0	1	-	-	-	0	3	-	1	-	9	31	94	116						
Tenn.	1	1	9	73	18	-	3	18	16	17	6	14	41	160	237						
W.S. CENTRAL	2	13	30	280	442	1	1	34	7	10	24	86	879	992	859						
Ark.	-	0	3	14	13	1	0	32	5	2	14	14	67	264	123						
La.	-	0	0	-	-	-	0	2	-	3	-	10	43	101	209						
Okla.	2	1	9	24	41	-	0	23	1	5	8	7	26	81	89						
Tex.	-	12	27	242	388	-	0	8	1	-	2	45	838	546	438						
MOUNTAIN	1	4	16	46	92	-	0	6	3	17	15	49	110	660	654						
Ariz.	-	2	11	40	77	-	0	6	2	12	-	14	67	193	192						
Colo.	-	0	3	-	4	-	0	1	-	1	-	12	45	208	158						
