
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 2003 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	352	481	52	21	38	5	4,851	6,276	105,035	125,917											
NEW ENGLAND	20	35	6	2	3	1	362	575	2,443	2,879											
Maine	3	2	1	-	-	-	41	60	69	28											
N.H.	5	3	-	-	-	-	14	18	39	47											
Vt.	-	1	-	-	-	-	28	41	31	38											
Mass.	6	19	-	2	3	1	169	305	972	1,243											
R.I.	1	3	-	-	-	-	42	40	351	343											
Conn.	5	7	5	-	-	-	68	111	981	1,180											
MID. ATLANTIC	20	37	2	-	9	2	886	1,366	11,587	14,952											
Upstate N.Y.	13	26	1	-	5	-	287	360	2,522	2,941											
N.Y. City	3	2	-	-	-	-	361	533	4,175	4,541											
N.J.	4	9	-	-	-	-	56	158	1,894	2,837											
Pa.	N	N	1	-	4	2	182	315	2,996	4,633											
E.N. CENTRAL	79	147	8	4	7	-	773	1,094	21,458	26,320											
Ohio	18	20	8	2	7	-	286	285	6,387	7,652											
Ind.	11	9	-	-	-	-	-	-	2,264	2,669											
Ill.	17	55	-	2	-	-	163	342	6,386	8,794											
Mich.	18	27	-	-	-	-	221	300	4,700	5,155											
Wis.	15	36	-	-	-	-	103	167	1,721	2,050											
W.N. CENTRAL	46	64	4	4	6	-	491	578	5,408	6,399											
Minn.	15	21	3	3	-	-	178	202	787	1,122											
Iowa	5	14	-	-	-	-	75	86	246	423											
Mo.	16	15	N	N	N	N	124	164	2,885	3,064											
N. Dak.	1	-	-	-	1	-	11	6	23	25											
S. Dak.	2	1	-	-	-	-	16	21	59	91											
Nebr.	5	7	1	1	-	-	47	49	505	587											
Kans.	2	6	-	-	5	-	40	50	903	1,087											
S. ATLANTIC	40	40	15	7	-	-	875	935	26,425	32,283											
Del.	-	2	N	N	N	N	14	18	444	612											
Md.	1	2	-	-	-	-	41	36	2,836	3,175											
D.C.	1	-	-	-	-	-	13	16	637	1,008											
Va.	8	6	1	-	-	-	94	58	3,092	3,787											
W. Va.	1	1	-	-	-	-	9	9	305	364											
N.C.	5	9	4	-	-	-	N	N	4,517	6,026											
S.C.	-	-	-	-	-	-	34	14	2,767	3,348											
Ga.	11	12	2	4	-	-	361	280	5,465	5,940											
Fla.	13	8	8	3	-	-	309	504	6,362	8,023											
E.S. CENTRAL	20	19	-	-	3	-	108	113	9,165	10,982											
Ky.	8	3	-	-	3	-	N	N	1,277	1,269											
Tenn.	8	12	-	-	-	-	45	51	2,771	3,407											
Ala.	3	1	-	-	-	-	63	62	2,901	3,858											
Miss.	1	3	-	-	-	-	-	-	2,216	2,448											
W.S. CENTRAL	27	13	9	-	6	1	78	44	14,927	17,429											
Ark.	2	1	-	-	-	-	42	44	1,273	1,555											
La.	-	-	-	-	-	-	3	-	3,509	4,109											
Okla.	2	3	-	-	-	-	33	-	1,376	1,685											
Tex.	23	9	9	-	6	1	-	-	8,769	10,080											
MOUNTAIN	45	41	6	2	4	1	432	440	3,538	4,018											
Mont.	1	8	-	-	-	-	20	29	29	38											
Idaho	11	1	4	-	-	-	57	21	32	33											
Wyo.	1	1	-	1	-	-	5	7	19	22											
Colo.	16	10	1	-	4	1	122	153	821	1,319											
N. Mex.	1	4	1	1	-	-	16	55	404	533											
Ariz.	9	5	N	N	N	N	78	60	1,475	1,324											
Utah	5	6	-	-	-	-	91	68	148	72											
Nev.	1	6	-	-	-	-	43	47	610	677											
PACIFIC	55	85	2	2	-	-	846	1,131	10,084	10,655											
Wash.	16	7	1	-	-	-	57	127	1,047	1,077											
Oreg.	8	22	1	2	-	-	92	132	345	308											
Calif.	30	41	-	-	-	-	658	802	8,423	8,846											
Alaska	1	3	-	-	-	-	29	29	196	225											
Hawaii	-	12	-	-	-	-	10	41	73	199											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	10	3	35	5											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


