
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 25, 2012 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	13	10	66	646	612	23	24	64	504	1,925	1	2	9	89	106						
NEW ENGLAND	-	0	2	16	3	7	5	19	195	352	-	0	1	1	1						
Conn.	-	0	0	-	-	-	2	7	53	120	-	0	0	-	-						
Maine	-	0	1	2	1	-	1	4	39	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	150	-	0	0	-	-						
N.H.	-	0	1	2	1	1	1	5	40	14	-	0	0	-	1						
R.I.	-	0	2	12	1	6	0	15	54	53	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	9	3	-	0	0	-	-						
MID. ATLANTIC	-	1	5	26	79	13	8	44	221	241	-	0	2	5	15						
N.J.	-	0	2	-	47	-	0	8	-	71	-	0	1	-	6						
N.Y. (Upstate)	-	0	4	18	28	13	6	41	204	137	-	0	2	5	4						
N.Y. City	-	0	3	8	4	-	0	4	17	28	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	1	-	5	-	0	1	-	5						
E.N. CENTRAL	-	0	4	20	35	-	1	22	8	576	1	1	6	51	44						
Ill.	-	0	4	17	20	-	0	1	6	10	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	6	44	15						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	2	5	3						
Ohio	-	0	1	3	6	-	0	1	1	6	-	0	1	1	1						
Wis.	-	0	1	-	5	-	0	21	1	560	-	0	2	-	25						
W.N. CENTRAL	-	2	32	234	151	-	1	14	24	694	-	0	4	14	23						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	3	24	13	-	0	1	4	4	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	13	-	666	-	0	1	-	9						
Mo.	-	2	32	210	130	-	0	4	18	20	-	0	4	13	13						
Nebr.	-	0	1	-	-	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	10	4	29	209	191	2	1	7	35	41	-	0	2	7	8						
Del.	1	0	2	15	14	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	15	13	-	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	18	-	0	1	2	10	-	0	1	1	3						
Md.	-	0	3	23	24	-	0	1	2	4	-	0	0	-	-						
N.C.	8	0	19	59	46	1	0	6	15	16	-	0	1	-	-						
S.C.	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
Va.	1	1	15	89	75	1	0	3	13	6	-	0	2	6	4						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	1						
E.S. CENTRAL	2	1	8	63	64	-	0	2	14	13	-	0	3	8	7						
Ala.	-	0	1	7	3	-	0	1	6	3	-	0	1	4	-						
Ky.	-	0	3	12	12	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	0	-	3	-	0	0	-	1	-	0	1	1	-						
Tenn.	2	0	6	44	46	-	0	1	8	9	-	0	3	3	7						
W.S. CENTRAL	1	1	52	78	89	1	0	11	7	3	-	0	1	1	1						
Ark.	1	1	11	59	40	1	0	3	4	2	-	0	0	-	-						
La.	-	0	1	1	-	-	0	1	-	1	-	0	1	1	1						
Okla.	-	0	51	15	46	-	0	7	2	-	-	0	0	-	-						
Tex.	-	0	1	3	3	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	5						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	4						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	4	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	4	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
