
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 9, 2007 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	555	764	1,832	20,760	27,683	-	1	178	3	14	-	2	417	3	9						
NEW ENGLAND	19	23	209	351	2,657	-	0	3	-	-	-	0	2	-	-						
Conn.	-	7	76	1	971	-	0	3	-	-	-	0	1	-	-						
Maine	-	0	9	-	160	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	95	-	928	-	0	1	-	-	-	0	1	-	-						
N.H.	2	7	17	146	214	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	17	8	66	204	384	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	101	103	195	2,618	2,905	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	101	103	195	2,618	2,905	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	128	214	568	6,049	9,507	-	0	42	-	2	-	0	33	-	-						
Ill.	-	2	11	75	74	-	0	24	-	1	-	0	22	-	-						
