
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2005 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	2,511	61,867	82,225	344	138	122	241													
NEW ENGLAND	133	50	2,509	2,908	-	-	2	14													
Maine	3	1	228	176	N	N	-	4													
N.H.	2	4	150	170	-	-	-	3													
Vt.	-	7	96	96	-	-	1	2													
Mass.	47	1	1,253	1,329	-	-	1	5													
R.I.	14	16	308	429	-	-	-	-													
Conn.	67	21	474	708	N	N	-	-													
MID. ATLANTIC	447	459	7,801	9,693	-	-	20	35													
Upstate N.Y.	39	24	1,047	1,377	N	N	3	7													
N.Y. City	221	281	2,648	3,231	-	-	4	14													
N.J.	87	98	1,043	1,758	N	N	1	2													
Pa.	100	56	3,063	3,327	N	N	12	12													
E.N. CENTRAL	275	307	6,495	15,225	-	-	17	57													
Ohio	59	96	95	3,653	N	N	13	15													
Ind.	37	53	1,955	1,597	N	N	-	2													
Ill.	147	125	2,651	4,399	-	-	-	13													
Mich.	26	15	854	3,954	-	-	2	11													
Wis.	6	18	940	1,622	N	N	2	16													
W.N. CENTRAL	85	60	2,229	5,235	-	1	20	16													
Minn.	35	12	216	1,151	N	N	5	2													
Iowa	16	5	-	658	N	N	3	1													
Mo.	17	12	1,203	1,982	-	-	7	5													
N. Dak.	-	5	105	134	N	N	-	-													
S. Dak.	3	-	278	247	-	-	2	4													
Nebr.	-	5	-	442	-	1	-	-													
Kans.	14	21	427	621	N	N	3	4													
S. ATLANTIC	1,108	715	14,322	14,206	-	-	30	46													
Del.	-	12	301	263	N	N	-	-													
Md.	82	10	1,415	1,659	-	-	4	2													
D.C.	28	21	165	291	-	-	-	1													
Va.	58	3	2,322	2,118	-	-	-	2													
W. Va.	12	8	235	277	N	N	-	-													
N.C.	127	1	3,554	1,951	N	N	5	10													
S.C.	42	27	1,679	907	-	-	-	1													
Ga.	231	192	989	3,427	-	-	10	17													
Fla.	528	441	3,662	3,313	N	N	11	13													
E.S. CENTRAL	141	98	4,509	5,091	-	-	6	18													
Ky.	25	20	867	602	N	N	1	5													
Tenn.	59	33	1,487	2,115	N	N	1	7													
Ala.	54	26	223	1,284	-	-	3	4													
Miss.	3	19	1,932	1,090	-	-	1	2													
W.S. CENTRAL	331	383	9,100	11,321	-	-	1	11													
Ark.	35	15	696	713	-	-	-	4													
La.	39	28	1,034	3,220	-	-	-	-													
Okla.	43	5	1,118	890	N	N	1	2													
Tex.	214	335	6,252	6,498	N	N	-	5													
MOUNTAIN	112	70	4,368	5,137	272	16	8	9													
Mont.	-	-	156	26	N	N	-	-													
Idaho	1	1	209	232	N	N	-	-													
Wyo.	-	-	116	93	-	-	-	1													
Colo.	12	1	621	1,089	N	N	1	7													
N. Mex.	17	-	422	759	-	4	1	-													
Ariz.	57	64	1,937	1,976	265	2	2	-													
Utah	8	3	323	333	1	3	1	-													
Nev.	17	1	584	629	6	7	3	1													
PACIFIC	357	369	10,534	13,409	72	121	18	35													
Wash.	28	22	1,772	1,442	N	N	-	-													
Oreg.	32	16	759	676	-	-	1	3													
Calif.	291	318	7,606	10,407	72	121	17	32													
Alaska	5	-	214	266	-	-	-	-													
Hawaii	1	13	183	618	-	-	-	-													
Guam	1	-	-	125	-	-	-	-													
P.R.	1	47	174	198	N	N	N	N													
V.I.	3	-	-	50	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


