
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	355	744	1,365	1,442	2,310	23	57	148	80	129	138	258	477	512	776						
NEW ENGLAND	3	20	80	40	536	1	2	16	1	77	-	3	14	4	83						
Conn.	-	0	19	19	479	-	0	0	-	72	-	0	3	3	64						
Maine	1	2	10	11	3	-	0	8	-	1	-	0	2	1	-						
Mass.	-	15	53	-	47	-	1	9	-	3	-	2	11	-	17						
N.H.	2	4	25	2	5	1	0	3	1	1	-	0	2	-	2						
R.I.	-	1	10	5	-	-	0	2	-	-	-	0	3	-	-						
Vt.	-	1	6	3	2	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	38	88	190	180	232	4	6	64	11	6	2	16	43	16	61						
N.J.	-	14	49	2	40	-	0	4	-	1	-	3	35	-	28						
N.Y. (Upstate)	20	26	70	53	20	-	0	4	-	-	1	4	36	4	11						
N.Y. City	3	23	50	39	76	-	0	4	-	-	1	4	13	9	18						
Pa.	15	29	67	86	96	1	2	48	6	4	-	1	6	3	4						
E.N. CENTRAL	29	96	194	129	265	7	10	56	20	14	1	20	46	14	61						
Ill.	-	23	57	8	95	-	1	7	-	-	-	7	34	1	30						
Ind.	-	15	55	2	3	-	1	8	-	2	-	2	17	5	1						
Mich.	3	18	35	22	51	-	1	6	3	3	-	3	8	-	17						
Ohio	26	24	56	85	67	7	3	18	17	4	1	3	14	8	6						
Wis.	-	16	27	12	49	-	2	39	-	5	-	3	10	-	7						
W.N. CENTRAL	18	47	109	104	138	5	11	35	15	19	20	34	77	74	104						
Iowa	-	8	26	11	30	-	2	22	1	4	-	2	13	3	2						
Kans.	4	7	16	23	14	1	0	4	3	-	-	2	11	2	5						
Minn.	7	11	60	13	22	3	4	27	5	6	13	3	24	20	6						
Mo.	7	14	35	38	48	-	0	0	-	-	7	9	69	44	68						
Nebr.	-	4	9	11	13	-	0	8	-	-	-	1	14	-	15						
N. Dak.	-	0	5	-	-	-	0	0	-	-	-	0	18	-	-						
S. Dak.	-	3	7	8	11	-	0	5	-	-	-	6	24	5	8						
S. ATLANTIC	145	220	397	595	537	5	9	27	25	5	73	61	148	265	160						
Del.	-	3	10	5	5	-	0	3	2	-	-	0	2	1	-						
D.C.	-	1	4	-	5	-	0	1	-	-	-	0	2	-	2						
Fla.	78	95	176	285	217	2	2	9	8	3	55	28	76	142	66						
Ga.	19	32	72	117	94	-	1	7	3	2	16	23	59	113	53						
Md.	12	13	33	41	44	3	2	8	9	-	1	2	10	5	12						
N.C.	29	30	130	102	129	-	2	11	-	12	-	1	21	-	18						
S.C.	3	18	51	21	33	-	0	2	-	1	1	1	9	3	9						
Va.	4	20	57	23	10	-	0	0	-	-	-	2	9	1	-						
W. Va.	-	1	16	1	-	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	6	60	153	68	122	-	3	21	2	3	1	14	84	30	67						
Ala.	2	24	95	23	42	-	0	5	-	-	1	5	75	12	7						
Ky.	4	8	23	28	23	-	1	12	1	3	-	3	15	5	43						
Miss.	-	12	42	5	21	-	0	0	-	-	-	2	13	1	14						
Tenn.	-	15	32	12	36	-	0	4	-	6	-	3	12	12	3						
W.S. CENTRAL	8	67	179	34	79	-	1	19	2	-	10	36	138	30	43						
Ark.	5	15	46	13	18	-	0	7	1	-	1	2	10	2	4						
La.	-	15	42	7	20	-	0	0	-	-	-	1	25	3	-						
Okla.	3	8	40	14	14	-	0	17	1	-	-	2	9	2	6						
Tex.	-	31	102	-	27	-	2	13	-	-	9	29	125	23	33						
MOUNTAIN	29	50	88	118	130	1	4	17	3	5	15	25	87	37	52						
Ariz.	15	17	41	54	28	1	2	13	2	-	12	12	35	26	27						
Colo.	9	12	30	35	44	-	1	8	-	5	2	3	15	5	7						
Idaho	2	3	9	10	9	-	1	7	-	3	-	0	3	-	2						
Mont.	-	2	10	6	9	-	0	0	-	-	-	0	13	2	-						
Nev.	-	3	20	4	15	-	0	5	-	1	-	1	20	-	3						
N. Mex.	-	4	15	1	12	-	0	1	-	1	-	2	15	3	9						
Utah	2	5	15	6	11	-	1	14	1	2	1	1	6	1	3						
Wyo.	1	1	4	2	2	-	0	3	-	-	-	0	19	-	1						
PACIFIC	79	114	181	174	271	-	4	17	1	-	16	34	87	42	145						
Alaska	-	1	4	1	9	N	0	0	N	N	2	0	2	2	-						
Calif.	69	89	158	138	214	-	0	0	-	N	13	29	76	28	105						
Hawaii	1	5	16	13	18	-	0	2	1	-	-	1	4	1	4						
Oreg.	-	8	16	12	27	-	0	1	-	-	-	1	31	8	33						
Wash.	9	10	46	10	3	-	2	12	-	-	1	2	13	3	3						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
P.R.	-	11	47	2	9	-	0	0	-	-	-	0	6	-	1						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


