
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 3, 2005 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	30,568	38,663	843,503	847,009	4,331	5,531	6,941	3,368													
NEW ENGLAND	1,141	1,294	29,126	27,680	-	-	318	162													
Maine	19	48	2,082	1,930	N	N	25	18													
N.H.	26	41	1,695	1,606	-	-	33	30													
Vt.	7	16	889	1,048	-	-	37	24													
Mass.	561	483	12,984	12,399	-	-	133	59													
R.I.	105	131	2,922	3,135	-	-	13	4													
Conn.	423	575	8,554	7,562	N	N	77	27													
MID. ATLANTIC	6,597	9,001	106,647	104,402	-	-	3,153	548													
Upstate N.Y.	891	1,462	21,569	20,998	N	N	2,713	174													
N.Y. City	3,522	4,759	34,468	32,252	-	-	125	131													
N.J.	956	1,361	16,298	16,118	N	N	64	43													
Pa.	1,228	1,419	34,312	35,034	N	N	251	200													
E.N. CENTRAL	2,929	3,254	140,659	148,819	11	13	1,426	989													
Ohio	518	598	37,808	36,526	N	N	754	214													
Ind.	348	350	18,523	17,162	N	N	79	72													
Ill.	1,504	1,537	42,290	43,836	-	-	138	150													
Mich.	439	613	25,505	33,460	11	13	102	146													
Wis.	120	156	16,533	17,835	N	N	353	407													
W.N. CENTRAL	690	788	51,574	52,639	5	6	563	393													
Minn.	176	203	9,702	10,847	3	N	136	129													
Iowa	72	64	6,576	6,423	N	N	106	83													
Mo.	299	327	20,497	19,602	1	3	246	71													
N. Dak.	9	17	1,077	1,653	N	N	1	12													
S. Dak.	13	11	2,548	2,330	-	-	29	40													
Nebr.	27	56	4,637	4,843	1	3	9	28													
Kans.	94	110	6,537	6,941	N	N	36	30													
S. ATLANTIC	9,183	11,727	158,476	159,635	2	-	678	500													
Del.	134	137	3,128	2,724	N	N	5	-													
Md.	1,370	1,361	17,061	17,894	2	-	35	22													
D.C.	474	913	3,471	3,269	-	-	15	15													
Va.	441	612	18,495	20,081	-	-	60	58													
W. Va.	51	83	2,511	2,570	N	N	14	6													
N.C.	636	1,067	28,137	27,445	N	N	84	75													
S.C.	413	703	18,983	17,380	-	-	18	22													
Ga.	1,701	1,520	27,700	29,294	-	-	116	172													
Fla.	3,963	5,331	38,990	38,978	N	N	331	130													
E.S. CENTRAL	1,546	1,820	63,017	56,229	-	5	203	139													
Ky.	198	229	7,843	5,900	N	N	139	43													
Tenn.	675	722	21,843	20,634	N	N	40	46													
Ala.	385	433	14,686	12,431	-	-	20	22													
Miss.	288	436	18,645	17,264	-	5	4	28													
W.S. CENTRAL	3,543	4,307	96,364	101,777	1	3	180	129													
Ark.	173	184	7,922	7,339	-	1	6	15													
La.	650	853	14,502	20,450	1	2	81	5													
Okla.	229	195	9,570	9,564	N	N	41	22													
Tex.	2,491	3,075	64,370	64,424	N	N	52	87													
MOUNTAIN	1,172	1,349	47,188	51,868	2,947	3,489	128	163													
Mont.	15	5	2,027	2,244	N	N	20	34													
Idaho	15	20	2,253	2,571	N	N	15	27													
Wyo.	3	16	1,085	997	3	2	3	4													
Colo.	260	301	11,913	13,285	N	N	48	55													
N. Mex.	115	173	5,135	8,218	14	21	10	19													
Ariz.	473	506	15,387	15,094	2,889	3,384	9	16													
Utah	55	69	4,062	3,479	9	23	14	6													
Nev.	236	259	5,326	5,980	32	59	9	2													
PACIFIC	3,767	5,123	150,452	143,960	1,365	2,015	292	345													
Wash.	352	368	17,037	16,192	N	N	43	42													
Oreg.	193	281	8,244	7,838	-	-	66	29													
Calif.	3,105	4,302	116,666	111,414	1,365	2,015	179	272													
Alaska	25	48	3,594	3,558	-	-	3	-													
Hawaii	92	124	4,911	4,958	-	-	1	2													
Guam	2	2	-	803	-	-	-	-													
P.R.	814	637	3,455	3,302	N	N	N	N													
V.I.	10	19	196	322	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


