
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 16, 2005 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	10,042	8,762	235,094	262,065	1,218	1,525	451	708													
NEW ENGLAND	406	311	7,314	8,823	-	-	29	37													
Maine	3	5	660	561	N	N	3	6													
N.H.	2	10	547	489	-	-	4	10													
Vt.	1	8	292	341	-	-	8	5													
Mass.	211	84	4,162	4,015	-	-	9	10													
R.I.	34	33	976	1,007	-	-	1	1													
Conn.	155	171	677	2,410	N	N	4	5													
MID. ATLANTIC	1,995	1,292	28,062	32,793	-	-	65	121													
Upstate N.Y.	188	132	5,820	6,104	N	N	19	22													
N.Y. City	1,137	381	8,491	10,460	-	-	13	36													
N.J.	357	386	3,040	5,347	N	N	4	9													
Pa.	313	393	10,711	10,882	N	N	29	54													
E.N. CENTRAL	915	804	35,419	47,940	2	5	76	182													
Ohio	136	227	8,156	11,990	N	N	35	42													
Ind.	119	116	5,780	5,185	N	N	4	26													
Ill.	482	281	10,305	13,728	-	-	-	28													
Mich.	135	131	6,275	11,831	2	5	14	38													
Wis.	43	49	4,903	5,206	N	N	23	48													
W.N. CENTRAL	227	218	13,419	16,297	3	4	61	74													
Minn.	69	45	2,506	3,310	3	N	17	30													
Iowa	18	9	1,533	1,968	N	N	14	11													
Mo.	99	100	6,373	6,060	-	3	22	15													
N. Dak.	5	11	254	515	N	N	-	-													
S. Dak.	5	-	802	744	-	-	2	8													
Nebr.	2	8	404	1,585	-	1	-	1													
Kans.	29	45	1,547	2,115	N	N	6	9													
S. ATLANTIC	3,395	3,420	45,763	49,562	-	-	107	140													
Del.	51	41	932	867	N	N	-	-													
Md.	406	340	4,786	5,561	-	-	5	7													
D.C.	176	148	1,084	1,079	-	-	1	2													
Va.	177	135	6,497	6,530	-	-	10	15													
W. Va.	19	29	640	811	N	N	4	2													
N.C.	298	236	9,611	7,861	N	N	12	29													
S.C.	133	203	5,794	5,561	-	-	5	5													
Ga.	503	509	4,159	9,515	-	-	31	44													
Fla.	1,632	1,779	12,260	11,777	N	N	39	36													
E.S. CENTRAL	581	442	16,637	15,059	-	3	9	34													
Ky.	70	41	3,290	1,657	N	N	2	7													
Tenn.	232	187	6,082	6,418	N	N	2	12													
Ala.	168	124	1,555	3,724	-	-	4	9													
Miss.	111	90	5,710	3,260	-	3	1	6													
W.S. CENTRAL	1,021	1,290	31,769	33,028	-	2	13	24													
Ark.	69	44	2,524	2,259	-	1	-	7													
La.	170	279	5,289	7,288	-	1	2	-													
Okla.	72	36	3,084	2,950	N	N	7	7													
Tex.	710	931	20,872	20,531	N	N	4	10													
MOUNTAIN	398	253	15,525	14,558	789	973	28	29													
Mont.	3	-	618	425	N	N	1	2													
Idaho	3	2	701	917	N	N	1	2													
Wyo.	-	3	331	311	-	-	2	2													
Colo.	83	47	3,601	3,549	N	N	10	15													
N. Mex.	42	20	748	2,275	2	8	2	1													
Ariz.	166	104	6,416	4,754	761	939	3	5													
Utah	20	19	1,224	894	2	7	4	1													
Nev.	81	58	1,886	1,433	24	19	5	1													
PACIFIC	1,104	732	41,186	44,005	424	538	63	67													
Wash.	106	127	5,637	5,014	N	N	5	-													
Oreg.	66	50	2,403	2,271	-	-	8	7													
Calif.	897	517	30,903	33,886	424	538	50	59													
Alaska	7	7	1,103	1,115	-	-	-	-													
Hawaii	28	31	1,140	1,719	-	-	-	1													
Guam	1	-	-	270	-	-	-	-													
P.R.	259	142	1,246	634	N	N	N	N													
V.I.	7	2	32	117	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


