
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 4, 2005 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	984	972	3	8	53	52	94	97													
NEW ENGLAND	71	99	-	1	6	6	3	1													
Maine	4	7	-	-	-	-	1	-													
N.H.	3	12	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	28	50	-	1	1	2	-	-													
R.I.	6	2	-	-	2	-	-	-													
Conn.	24	23	-	-	3	2	-	-													
MID. ATLANTIC	193	197	-	1	-	3	22	26													
Upstate N.Y.	54	66	-	1	-	3	5	3													
N.Y. City	31	44	-	-	-	-	6	9													
N.J.	39	34	-	-	-	-	6	2													
Pa.	69	53	-	-	-	-	5	12													
E.N. CENTRAL	133	177	1	-	1	8	7	25													
Ohio	70	61	-	-	-	2	6	10													
Ind.	36	27	-	-	1	4	1	1													
Ill.	9	52	-	-	-	-	-	11													
Mich.	11	10	1	-	-	2	-	3													
Wis.	7	27	-	-	-	-	-	-													
W.N. CENTRAL	52	51	-	2	2	3	7	5													
Minn.	18	20	-	1	2	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	26	18	-	-	-	-	5	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	3	4	-	-	-	-	1	-													
Kans.	4	5	-	-	-	-	-	1													
S. ATLANTIC	233	222	-	-	14	13	13	16													
Del.	-	-	-	-	-	-	-	-													
Md.	37	39	-	-	4	2	-	-													
D.C.	-	1	-	-	-	-	-	1													
Va.	19	18	-	-	-	-	-	1													
W. Va.	14	10	-	-	1	3	2	-													
N.C.	40	25	-	-	5	3	-	-													
S.C.	10	5	-	-	-	-	1	-													
Ga.	47	68	-	-	-	-	5	14													
Fla.	66	56	-	-	4	5	5	-													
E.S. CENTRAL	57	35	-	-	1	-	11	6													
Ky.	4	-	-	-	1	-	1	-													
Tenn.	41	25	-	-	-	-	7	4													
Ala.	12	10	-	-	-	-	3	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	61	37	1	1	4	4	6	1													
Ark.	2	1	-	-	-	-	-	-													
La.	26	9	1	-	2	-	6	1													
Okla.	33	26	-	-	2	4	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	137	110	-	3	14	11	20	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	4	-	-	-	-	1	2													
Wyo.	2	-	-	-	-	-	-	-													
Colo.	27	27	-	-	-	-	4	3													
N. Mex.	13	25	-	-	4	4	1	4													
Ariz.	68	43	-	-	8	6	6	1													
Utah	11	8	-	2	-	1	6	1													
Nev.	13	3	-	1	2	-	2	1													
PACIFIC	47	44	1	-	11	4	5	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	20	22	-	-	-	-	4	2													
Calif.	21	14	1	-	11	4	1	1													
Alaska	1	3	-	-	-	-	-	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


