
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 17, 2005 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	28,079	641,828	651,982	3,159	4,060	4,000	2,489													
NEW ENGLAND	778	926	22,906	21,506	-	-	179	135													
Maine	11	20	1,548	1,445	N	N	14	16													
N.H.	20	36	1,304	1,200	-	-	22	24													
Vt.	4	14	691	802	-	-	27	21													
Mass.	368	335	10,213	9,446	-	-	69	51													
R.I.	68	98	2,339	2,448	-	-	5	4													
Conn.	307	423	6,811	6,165	N	N	42	19													
MID. ATLANTIC	4,352	6,423	80,709	79,937	-	-	1,752	351													
Upstate N.Y.	800	731	15,904	16,038	N	N	1,513	80													
N.Y. City	2,327	3,648	25,598	24,593	-	-	60	94													
N.J.	574	1,091	13,179	12,630	N	N	21	38													
Pa.	651	953	26,028	26,676	N	N	158	139													
E.N. CENTRAL	1,938	2,416	99,485	115,659	6	11	775	784													
Ohio	312	465	24,484	28,707	N	N	444	177													
Ind.	236	264	14,087	13,071	N	N	47	59													
Ill.	983	1,107	30,423	33,821	-	-	52	129													
Mich.	322	459	17,411	26,752	6	11	69	112													
Wis.	85	121	13,080	13,308	N	N	163	307													
W.N. CENTRAL	463	601	39,913	39,845	5	6	414	292													
Minn.	123	148	7,507	8,364	3	N	90	98													
Iowa	50	47	5,000	4,833	N	N	80	59													
Mo.	198	255	15,799	14,657	1	3	194	56													
N. Dak.	5	15	837	1,291	N	N	-	9													
S. Dak.	10	7	1,971	1,748	-	-	16	23													
Nebr.	18	35	3,911	3,652	1	3	6	24													
Kans.	59	94	4,888	5,300	N	N	28	23													
S. ATLANTIC	6,473	8,657	125,691	122,610	1	-	395	367													
Del.	100	116	2,351	2,013	N	N	-	-													
Md.	812	988	13,210	13,483	1	-	27	14													
D.C.	467	523	2,675	2,496	-	-	9	13													
Va.	307	503	14,777	15,545	-	-	31	42													
W. Va.	36	56	1,859	2,009	N	N	10	4													
N.C.	531	422	23,518	20,812	N	N	47	55													
S.C.	386	533	15,352	13,548	-	-	12	17													
Ga.	1,103	1,162	21,435	22,907	-	-	74	128													
Fla.	2,731	4,354	30,514	29,797	N	N	185	94													
E.S. CENTRAL	1,093	1,376	49,120	42,121	-	5	118	105													
Ky.	135	157	6,514	4,014	N	N	73	29													
Tenn.	434	584	17,217	15,955	N	N	28	31													
Ala.	295	305	10,516	9,631	-	-	15	19													
Miss.	229	330	14,873	12,521	-	5	2	26													
W.S. CENTRAL	2,206	3,424	76,726	80,699	1	2	60	74													
Ark.	72	136	6,112	5,732	-	1	4	13													
La.	436	639	12,572	16,348	1	1	3	3													
Okla.	167	130	7,883	7,924	N	N	33	17													
Tex.	1,531	2,519	50,159	50,695	N	N	20	41													
MOUNTAIN	789	997	36,853	39,609	2,193	2,539	96	134													
Mont.	4	4	1,416	1,754	N	N	15	34													
Idaho	9	16	1,655	1,991	N	N	9	19													
Wyo.	2	13	783	758	3	2	2	3													
Colo.	163	225	9,349	10,077	N	N	33	45													
N. Mex.	72	138	3,272	6,368	9	18	3	13													
Ariz.	329	357	12,764	11,510	2,145	2,460	10	15													
Utah	33	51	3,091	2,631	5	14	15	3													
Nev.	177	193	4,523	4,520	31	45	9	2													
PACIFIC	2,313	3,259	110,425	109,996	953	1,497	211	247													
Wash.	229	289	13,063	12,470	N	N	32	23													
Oreg.	136	216	5,641	5,766	-	-	52	28													
Calif.	1,874	2,658	86,219	85,138	953	1,497	125	194													
Alaska	14	29	2,793	2,714	-	-	1	-													
Hawaii	60	67	2,709	3,908	-	-	1	2													
Guam	1	1	-	797	-	-	-	-													
P.R.	537	396	2,639	2,546	N	N	N	N													
V.I.	10	10	119	263	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


