
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2013 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2013
Legionellosis cummulative for 2012
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2013
Lyme disease cummulative for 2012
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2013
Malaria cummulative for 2012

tab delimited data:
test
UNITED STATES	27	61	145	239	321	44	432	1,460	638	1,872	7	23	44	96	139						
NEW ENGLAND	2	5	19	16	15	-	113	607	42	574	-	1	5	7	8						
Conn.	-	1	7	2	2	-	39	182	3	197	-	0	2	-	-						
Maine	-	0	3	1	-	-	16	69	19	47	-	0	1	-	-						
Mass.	2	3	11	8	8	-	47	343	2	230	-	1	4	5	7						
N.H.	-	0	2	-	1	-	8	53	2	73	-	0	2	2	-						
R.I.	-	0	4	3	4	-	0	26	-	3	-	0	1	-	-						
Vt.	-	0	2	2	-	-	8	29	16	24	-	0	1	-	1						
MID. ATLANTIC	9	14	43	44	81	25	200	659	386	891	1	6	14	19	21						
N.J.	-	2	12	1	17	-	51	166	87	319	-	0	0	-	-						
N.Y. (Upstate)	3	6	15	15	17	15	41	224	55	82	1	1	4	7	2						
N.Y. City	-	2	13	9	18	-	1	12	-	3	-	3	11	10	15						
Pa.	6	4	19	19	29	10	95	407	244	487	-	1	4	2	4						
E.N. CENTRAL	4	12	45	52	66	-	21	168	18	103	1	2	8	8	16						
Ill.	-	3	23	3	14	-	2	18	-	6	-	0	6	-	4						
Ind.	1	2	5	19	11	-	1	6	-	3	-	0	2	-	4						
Mich.	-	1	6	-	10	-	2	9	4	2	-	0	5	3	2						
Ohio	3	5	17	30	28	-	1	6	6	5	1	1	3	4	4						
Wis.	-	1	7	-	3	-	17	138	8	87	-	0	2	1	2						
W.N. CENTRAL	-	3	10	7	19	-	2	27	1	7	-	0	5	3	7						
Iowa	-	0	2	-	-	-	1	16	-	2	-	0	1	-	1						
Kans.	-	0	1	1	-	-	0	3	-	-	-	0	2	-	3						
Minn.	-	1	4	-	6	-	1	9	-	5	-	0	0	-	-						
Mo.	-	1	8	2	12	-	0	2	1	-	-	0	2	1	3						
Nebr.	-	0	2	3	-	-	0	2	-	-	-	0	1	1	-						
N. Dak.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	1	-	-	0	1	-	-	-	0	2	1	-						
S. ATLANTIC	8	10	25	53	65	18	61	179	179	266	2	7	16	47	47						
Del.	-	0	2	-	4	-	10	30	32	66	-	0	1	-	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	0	-	2						
Fla.	3	4	11	28	27	5	2	6	12	17	1	1	3	11	13						
Ga.	-	1	3	3	8	-	0	4	3	2	-	1	5	3	2						
Md.	-	2	6	9	10	8	28	98	113	101	1	2	8	27	12						
N.C.	5	1	8	8	5	-	0	29	-	1	-	0	8	-	2						
S.C.	-	0	3	1	3	-	1	3	-	5	-	0	2	-	3						
Va.	-	1	4	4	8	5	17	71	15	65	-	1	4	6	12						
W. Va.	-	0	2	-	-	-	1	10	4	9	-	0	0	-	-						
E.S. CENTRAL	1	2	7	8	9	-	1	5	3	3	1	0	4	5	1						
