
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 15, 2003 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	6,085	6,339	140,338	163,833	705	841	235	447	-	-											
NEW ENGLAND	209	205	4,981	5,562	-	-	17	15	-	-											
Maine	-	1	163	275	N	N	1	-	-	-											
N.H.	3	4	282	347	-	-	-	3	-	-											
Vt.	5	4	226	151	-	-	3	1	-	-											
Mass.	49	132	1,808	2,171	-	-	8	5	-	-											
R.I.	21	21	589	567	-	-	3	3	-	-											
Conn.	131	43	1,913	2,051	N	N	2	3	-	-											
MID. ATLANTIC	1,622	1,364	11,454	18,078	-	-	23	56	-	-											
Upstate N.Y.	73	70	3,270	2,381	N	N	11	8	-	-											
N.Y. City	962	857	761	6,294	-	-	4	23	-	-											
N.J.	179	257	2,109	2,964	-	-	2	3	-	-											
Pa.	408	180	5,314	6,439	N	N	6	22	-	-											
E.N. CENTRAL	617	664	24,817	29,645	1	4	55	131	-	-											
Ohio	99	152	6,649	7,619	-	-	12	35	-	-											
Ind.	95	84	3,394	3,559	N	N	4	11	-	-											
Ill.	239	333	5,481	8,371	-	-	5	24	-	-											
Mich.	156	66	6,219	6,575	1	4	15	22	-	-											
Wis.	28	29	3,074	3,521	-	-	19	39	-	-											
W.N. CENTRAL	115	105	9,012	8,941	-	-	29	34	-	-											
Minn.	14	19	1,555	2,210	N	N	14	10	-	-											
Iowa	18	22	953	710	N	N	5	4	-	-											
Mo.	71	34	3,521	2,963	-	-	2	9	-	-											
N. Dak.	-	-	168	237	N	N	-	2	-	-											
S. Dak.	3	1	509	451	-	-	6	2	-	-											
Nebr.	1	13	792	782	-	-	2	5	-	-											
Kans.	8	16	1,514	1,588	N	N	-	2	-	-											
S. ATLANTIC	1,157	1,963	30,795	29,460	1	-	58	88	-	-											
Del.	27	45	643	580	N	N	1	1	-	-											
Md.	47	250	3,357	3,108	1	-	7	3	-	-											
D.C.	164	87	741	748	-	-	-	1	-	-											
Va.	197	155	3,232	3,156	-	-	5	1	-	-											
W. Va.	3	11	520	488	N	N	-	1	-	-											
N.C.	75	134	4,956	3,826	N	N	7	11	-	-											
S.C.	132	136	2,746	2,980	-	-	1	1	-	-											
Ga.	218	472	6,556	6,193	-	-	25	46	-	-											
Fla.	294	673	8,044	8,381	N	N	12	23	-	-											
E.S. CENTRAL	237	258	10,953	11,334	-	-	13	20	-	-											
Ky.	8	31	1,814	1,910	N	N	-	1	-	-											
Tenn.	119	115	3,709	3,608	N	N	5	6	-	-											
Ala.	45	57	3,039	3,554	-	-	6	12	-	-											
Miss.	65	55	2,391	2,262	N	N	2	1	-	-											
W.S. CENTRAL	804	726	20,084	22,579	-	-	2	8	-	-											
Ark.	23	35	1,267	1,565	-	-	1	2	-	-											
La.	49	182	3,338	3,941	N	N	-	1	-	-											
Okla.	40	33	1,562	1,867	N	N	1	1	-	-											
Tex.	692	476	13,917	15,206	-	-	-	4	-	-											
MOUNTAIN	293	194	8,672	9,947	570	565	16	20	-	-											
Mont.	6	4	410	438	N	N	1	-	-	-											
Idaho	-	4	507	502	N	N	4	5	-	-											
Wyo.	1	2	222	180	-	-	-	1	-	-											
Colo.	56	34	1,783	2,921	N	N	3	5	-	-											
N. Mex.	21	7	818	1,557	-	2	-	1	-	-											
Ariz.	145	78	3,200	2,844	563	553	2	4	-	-											
Utah	38	13	712	254	1	3	4	2	-	-											
Nev.	26	52	1,020	1,251	6	7	2	2	-	-											
PACIFIC	1,031	860	19,570	28,287	133	272	22	75	-	-											
Wash.	68	82	3,124	2,886	N	N	-	15	-	-											
Oreg.	46	90	1,496	1,344	-	-	5	7	-	-											
Calif.	908	675	13,417	22,490	133	272	17	53	-	-											
Alaska	6	2	561	699	-	-	-	-	-	-											
Hawaii	3	11	972	868	-	-	-	-	-	-											
Guam	1	-	-	-	-	-	-	-	-	-											
P.R.	58	165	218	6	N	N	N	N	-	-											
V.I.	1	45	-	43	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


