
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 2002 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	503	1,014	83	49	1,287	1,532	1,167	1,658													
NEW ENGLAND	38	55	4	-	202	168	203	144													
Maine	2	-	-	-	3	-	12	20													
N.H.	4	4	3	-	2	16	2	4													
Vt.	3	4	-	-	32	22	44	26													
Mass.	20	33	1	-	161	124	73	40													
R.I.	2	1	-	-	-	-	4	16													
Conn.	7	13	-	-	4	6	68	38													
MID. ATLANTIC	50	118	10	3	93	120	186	100													
Upstate N.Y.	21	30	2	1	66	69	140	-													
N.Y. City	7	19	1	2	5	12	7	3													
N.J.	6	42	1	-	-	2	-	33													
Pa.	16	27	6	-	22	37	39	64													
E.N. CENTRAL	67	122	11	6	206	170	4	11													
Ohio	32	38	3	1	123	111	1	-													
Ind.	12	5	-	-	15	5	1	1													
Ill.	-	33	3	5	33	15	1	-													
Mich.	15	28	5	-	22	17	1	6													
Wis.	8	18	-	-	13	22	-	4													
W.N. CENTRAL	46	59	6	2	163	55	87	93													
Minn.	10	6	-	-	59	-	7	15													
Iowa	6	13	-	-	48	8	10	15													
Mo.	24	25	3	-	35	34	5	6													
N. Dak.	-	2	-	-	-	-	1	14													
S. Dak.	2	2	-	-	5	2	20	13													
Nebr.	-	3	-	-	-	1	-	-													
Kans.	4	8	3	2	16	10	44	30													
S. ATLANTIC	96	168	13	5	107	72	511	561													
Del.	4	-	-	-	1	-	3	10													
Md.	3	21	2	2	13	10	75	88													
D.C.	-	-	-	-	-	1	-	-													
Va.	15	18	2	2	35	8	144	104													
W. Va.	-	4	-	-	3	1	43	40													
N.C.	11	39	1	-	13	23	165	154													
S.C.	11	13	2	1	22	8	20	27													
Ga.	14	28	2	-	11	14	59	85													
Fla.	38	45	4	-	9	7	2	53													
E.S. CENTRAL	23	62	5	-	39	31	35	115													
Ky.	4	10	2	-	11	9	7	5													
Tenn.	8	22	1	-	23	14	22	106													
Ala.	9	23	1	-	5	5	6	4													
Miss.	2	7	1	-	-	3	-	-													
W.S. CENTRAL	19	213	4	7	122	73	27	452													
Ark.	7	9	-	1	5	4	-	-													
La.	4	41	-	2	-	1	-	2													
Okla.	7	14	-	-	12	2	27	23													
Tex.	1	149	4	4	105	66	-	427													
MOUNTAIN	42	45	3	4	183	620	50	67													
Mont.	1	-	-	-	2	5	4	7													
Idaho	2	3	1	-	22	153	-	-													
Wyo.	-	-	-	1	3	-	1	16													
Colo.	14	17	-	1	100	134	-	-													
N. Mex.	1	7	-	2	22	39	-	1													
Ariz.	12	9	-	-	19	275	45	43													
Utah	4	5	2	-	11	9	-	-													
Nev.	8	4	-	-	4	5	-	-													
PACIFIC	122	172	27	22	172	223	64	115													
Wash.	22	29	-	-	101	29	-	-													
Oreg.	17	8	N	N	15	6	-	-													
Calif.	79	127	22	12	50	179	41	81													
Alaska	1	1	-	1	3	-	23	34													
Hawaii	3	7	5	9	3	9	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	2	2	-	-	-	2	18	32													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


