
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 3, 1996 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	350	253	16	392	548	108	2,126	1,977	1	183	92										
NEW ENGLAND	11	8	-	-	10	23	445	303	-	24	35										
Maine	-	-	-	-	4	2	18	19	-	-	-										
N.H.	-	-	-	-	1	-	40	23	-	-	1										
Vt.	1	-	-	-	-	-	13	39	-	2	-										
Mass.	9	2	-	-	2	21	371	211	-	20	7										
R.I.	-	5	-	-	-	-	-	1	-	-	-										
Conn.	1	1	-	-	3	-	3	10	-	2	27										
MID. ATLANTIC	20	7	-	57	80	12	157	151	-	7	12										
Upstate N.Y.	-	1	-	18	19	12	86	71	-	4	3										
N.Y. City	9	1	-	13	9	-	21	27	-	1	7										
N.J.	-	5	-	2	13	-	5	11	-	2	2										
Pa.	11	-	-	24	39	-	45	42	-	-	-										
E.N. CENTRAL	9	13	2	72	95	8	210	215	-	3	3										
Ohio	2	1	2	30	29	8	101	52	-	-	-										
Ind.	-	-	-	5	7	-	19	18	-	-	-										
Ill.	3	1	-	18	28	-	64	41	-	1	-										
Mich.	3	5	-	18	31	-	21	34	-	2	3										
Wis.	1	6	-	1	-	-	5	70	-	-	-										
W.N. CENTRAL	18	2	2	9	32	8	92	106	-	1	-										
Minn.	15	-	-	3	2	4	59	27	-	-	-										
Iowa	-	-	1	1	8	1	4	5	-	1	-										
Mo.	2	1	1	2	18	3	19	34	-	-	-										
N. Dak.	-	-	-	2	-	-	1	6	-	-	-										
S. Dak.	-	-	-	-	-	-	2	8	-	-	-										
Nebr.	-	-	-	-	4	-	3	7	-	-	-										
Kans.	1	1	-	1	-	-	4	19	-	-	-										
S. ATLANTIC	11	11	7	64	85	29	281	167	-	89	8										
Del.	1	-	-	-	-	-	10	9	-	-	-										
Md.	3	1	3	19	27	14	99	21	-	-	1										
D.C.	-	-	-	-	-	-	-	4	-	1	-										
Va.	2	-	1	9	16	-	26	10	-	2	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	4	-	3	14	16	13	49	76	-	75	1										
S.C.	-	-	-	5	7	-	21	15	-	1	-										
Ga.	1	2	-	2	6	-	13	13	-	-	-										
Fla.	-	8	-	15	13	2	61	19	-	10	6										
E.S. CENTRAL	-	-	2	18	7	2	60	92	-	2	1										
Ky.	-	-	-	-	-	-	26	11	-	-	-										
Tenn.	-	-	-	1	-	-	17	51	-	-	1										
Ala.	-	-	-	3	4	1	10	30	-	2	-										
Miss.	-	-	2	14	3	1	7	-	N	N	N										
W.S. CENTRAL	20	20	-	16	38	1	57	152	-	2	7										
Ark.	-	2	-	-	5	-	3	26	-	-	-										
La.	-	18	-	11	8	-	6	10	-	1	-										
Okla.	-	-	-	-	-	1	8	17	-	-	-										
Tex.	20	-	-	5	25	-	40	99	-	1	7										
MOUNTAIN	116	68	-	22	24	1	209	385	1	7	4										
Mont.	-	-	-	-	1	-	11	3	-	-	-										
Idaho	1	-	-	-	2	-	74	82	-	2	-										
Wyo.	-	-	-	-	-	1	3	1	-	-	-										
Colo.	7	26	-	2	-	-	43	56	-	2	-										
N. Mex.	8	31	N	N	N	-	34	61	-	-	-										
Ariz.	8	10	-	1	2	-	11	143	-	1	3										
Utah	87	-	-	2	11	-	11	17	1	1	1										
Nev.	5	1	-	17	8	-	22	22	-	1	-										
PACIFIC	145	124	3	134	177	24	615	406	-	48	22										
Wash.	45	18	-	18	10	6	228	93	-	1	-										
Oreg.	4	1	-	-	-	-	29	25	-	1	-										
Calif.	31	103	3	97	151	18	345	250	-	43	18										
Alaska	63	-	-	2	12	-	2	-	-	-	-										
Hawaii	2	2	-	17	4	-	11	38	-	3	4										
Guam	-	-	U	5	3	U	1	2	U	-	1										
P.R.	7	3	-	1	2	-	1	1	-	-	-										
V.I.	-	-	-	-	3	-	-	-	-	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


