
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending October 22, 2005 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	3,515	3,666	1,743	1,781	590	635	6,387	6,287	201	314											
NEW ENGLAND	142	238	90	124	43	85	169	161	1	4											
Maine	10	11	N	N	-	4	1	2	-	-											
N.H.	13	17	-	-	4	N	14	4	-	3											
Vt.	9	8	10	6	-	3	1	-	-	-											
Mass.	101	108	64	35	38	46	106	98	-	-											
R.I.	9	17	16	18	1	6	13	23	-	1											
Conn.	U	77	U	65	U	26	34	34	1	-											
MID. ATLANTIC	745	612	165	121	115	94	814	813	23	32											
Upstate N.Y.	225	201	63	49	50	64	73	77	7	4											
N.Y. City	139	102	U	U	20	U	496	506	5	14											
N.J.	150	130	N	N	22	8	111	122	11	13											
Pa.	231	179	102	72	23	22	134	108	-	1											
E.N. CENTRAL	664	835	469	402	175	152	650	722	26	47											
Ohio	162	196	296	280	65	65	175	184	1	2											
Ind.	89	85	162	122	46	33	53	52	1	2											
Ill.	116	220	11	-	52	5	328	306	10	15											
Mich.	262	256	-	N	-	N	65	152	12	28											
Wis.	35	78	N	N	12	49	29	28	2	-											
W.N. CENTRAL	225	265	38	17	66	85	197	135	5	5											
Minn.	89	126	-	-	42	55	52	20	1	1											
Iowa	N	N	N	N	-	N	4	5	-	-											
Mo.	57	56	31	12	9	13	120	82	4	2											
N. Dak.	9	11	2	-	4	2	-	-	-	-											
S. Dak.	20	15	3	5	-	-	1	-	-	-											
Nebr.	17	18	2	-	-	7	4	6	-	-											
Kans.	33	39	N	N	11	8	16	22	-	2											
S. ATLANTIC	758	736	692	908	67	47	1,608	1,568	36	50											
Del.	5	3	1	4	-	N	10	8	-	1											
Md.	173	118	-	-	44	33	254	292	13	8											
D.C.	8	9	15	8	2	4	86	48	-	1											
Va.	73	64	N	N	-	N	108	84	4	2											
W. Va.	22	23	101	96	21	10	4	3	-	-											
N.C.	104	105	N	N	U	U	213	150	8	9											
S.C.	26	51	-	83	-	N	57	97	4	11											
Ga.	150	174	111	225	-	N	281	309	1	4											
Fla.	197	189	464	492	-	N	595	577	6	14											
E.S. CENTRAL	149	190	139	126	11	15	363	335	18	20											
Ky.	31	55	25	25	N	N	41	34	-	1											
Tenn.	118	135	114	99	-	N	178	107	12	8											
Ala.	-	-	-	-	-	N	112	146	5	9											
Miss.	-	-	-	2	11	15	32	48	1	2											
W.S. CENTRAL	221	289	98	59	61	124	1,019	1,007	55	62											
Ark.	17	16	12	8	14	8	42	43	-	3											
La.	6	2	86	51	23	28	176	254	6	5											
Okla.	96	57	N	N	24	36	32	24	1	2											
Tex.	102	214	N	N	-	52	769	686	48	52											
MOUNTAIN	524	400	52	23	43	33	320	322	16	40											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	2	8	N	N	-	N	20	18	1	2											
Wyo.	4	8	22	9	-	-	-	3	-	-											
Colo.	190	88	N	N	42	33	31	53	1	-											
N. Mex.	41	83	-	N	-	-	38	71	2	2											
Ariz.	215	174	N	N	-	N	143	133	12	35											
Utah	71	35	28	12	1	-	6	10	-	1											
Nev.	1	4	2	2	-	-	77	33	-	-											
PACIFIC	87	101	-	1	9	-	1,247	1,224	21	54											
Wash.	N	N	N	N	N	N	120	106	-	-											
Oreg.	N	N	N	N	6	N	22	24	-	-											
Calif.	-	-	N	N	N	N	1,095	1,087	21	54											
Alaska	-	-	-	-	-	N	6	1	-	-											
Hawaii	87	101	-	1	3	-	4	6	-	-											
Guam	-	-	-	-	-	-	-	1	-	-											
P.R.	N	N	N	N	-	N	156	127	8	5											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


