
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 16, 2007 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	75	86	253	2,627	3,075	25	28	105	785	713											
NEW ENGLAND	-	5	29	183	195	-	2	11	57	64											
Conn.	-	0	17	35	55	-	0	6	-	21											
Maine	-	0	3	18	9	-	0	1	1	-											
Mass.	-	3	10	95	99	-	1	6	42	37											
N.H.	-	0	5	22	21	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	5	-											
Vt.	-	0	2	13	7	-	0	1	2	-											
MID. ATLANTIC	8	15	41	512	580	3	4	20	95	100											
N.J.	-	2	8	69	106	-	1	4	14	40											
N.Y. (Upstate)	7	5	27	170	175	3	2	15	58	51											
N.Y. City	-	3	11	111	103	-	1	3	23	9											
Pa.	1	6	11	162	196	N	0	0	N	N											
E.N. CENTRAL	14	15	30	475	632	8	5	14	109	191											
Ill.	-	5	12	118	196	-	1	6	9	54											
Ind.	2	2	12	67	68	4	0	10	13	23											
Mich.	2	3	10	115	129	2	1	4	45	47											
Ohio	10	4	14	156	166	2	1	7	37	39											
Wis.	-	1	6	19	73	-	0	2	5	28											
W.N. CENTRAL	7	5	32	199	192	-	2	8	61	51											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	24	38	-	0	1	1	9											
Minn.	7	0	29	97	83	-	1	6	41	26											
Mo.	-	2	6	50	37	-	0	2	13	10											
Nebr.	-	0	3	15	19	-	0	2	5	4											
N. Dak.	-	0	2	9	8	-	0	2	1	2											
S. Dak.	-	0	2	4	7	-	0	0	-	-											
S. ATLANTIC	28	20	48	596	661	8	3	14	157	47											
Del.	-	0	2	4	7	-	0	0	-	-											
D.C.	-	0	3	8	8	-	0	1	-	-											
Fla.	16	6	16	154	133	2	0	5	35	-											
Ga.	4	5	11	111	151	2	0	5	44	-											
Md.	5	4	8	111	130	2	1	6	39	39											
N.C.	-	0	26	56	93	-	0	0	-	-											
S.C.	-	1	7	58	43	1	0	3	17	-											
Va.	3	2	11	78	79	-	0	3	19	-											
W. Va.	-	0	3	16	17	1	0	4	3	8											
E.S. CENTRAL	3	4	9	109	132	1	1	6	50	11											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	28	33	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	11											
Tenn.	3	3	6	81	99	1	0	6	48	-											
W.S. CENTRAL	3	6	82	161	226	4	4	40	122	113											
Ark.	-	0	2	14	18	-	0	2	7	15											
La.	-	0	2	4	10	-	0	4	25	16											
Okla.	1	2	23	43	61	4	1	13	29	23											
Tex.	2	3	56	100	137	-	1	24	61	59											
MOUNTAIN	10	10	23	327	410	-	4	12	114	123											
Ariz.	4	5	11	130	213	-	2	7	63	72											
Colo.	4	3	9	98	68	-	1	4	33	30											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	2	-	0	1	1	-											
N. Mex.	-	1	6	29	78	-	0	4	15	20											
Utah	2	1	7	58	40	-	0	0	-	-											
Wyo.	-	0	1	4	3	-	0	0	-	-											
PACIFIC	2	3	9	65	47	1	0	4	20	13											
Alaska	2	0	2	17	N	1	0	2	18	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	48	47	-	0	2	2	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


