
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 14, 2012 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	105	235	346	193	318	-	3	15	2	4	3	26	140	11	9						
NEW ENGLAND	-	5	21	-	6	-	0	1	-	-	-	0	1	-	-						
Conn.	-	0	4	-	1	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	-	-	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	20	-	4	-	0	0	-	-	-	0	1	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	3	14	50	10	18	-	0	2	-	-	-	1	4	1	1						
N.J.	-	0	4	-	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	1	5	30	3	3	-	0	1	-	-	-	0	2	-	-						
N.Y. City	-	7	28	4	9	-	0	0	-	-	-	0	3	-	1						
Pa.	2	2	6	3	6	-	0	2	-	-	-	0	3	1	-						
E.N. CENTRAL	27	14	40	52	30	-	0	2	1	-	-	2	10	-	1						
Ill.	-	4	16	-	10	-	0	1	-	-	-	1	4	-	1						
Ind.	-	0	4	-	1	-	0	1	1	-	-	0	4	-	-						
Mich.	2	3	11	2	7	-	0	1	-	-	-	0	1	-	-						
Ohio	25	5	27	50	12	-	0	2	-	-	-	0	2	-	-						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	1	5	18	5	30	-	0	4	-	-	-	4	29	1	-						
Iowa	-	0	3	-	1	-	0	0	-	-	-	0	2	-	-						
Kans.	-	1	5	-	5	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	3	14	4	23	-	0	3	-	-	-	4	29	1	-						
Nebr.	1	0	2	1	1	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	40	73	134	59	101	-	1	8	-	1	2	6	56	6	2						
Del.	-	0	2	-	-	-	0	1	-	-	1	0	4	1	-						
D.C.	-	0	5	-	2	-	0	1	-	-	-	0	1	-	-						
Fla.	28	50	98	46	65	-	0	1	-	-	1	0	2	3	-						
Ga.	10	10	24	11	14	-	1	6	-	-	-	0	0	-	-						
Md.	2	1	7	2	3	-	0	1	-	1	-	0	2	-	-						
N.C.	-	3	19	-	11	-	0	4	-	-	-	0	49	-	1						
S.C.	-	1	54	-	3	-	0	2	-	-	-	0	2	-	-						
Va.	-	2	7	-	3	-	0	1	-	-	-	3	14	2	1						
W. Va.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	13	17	47	32	22	-	0	2	-	-	1	4	25	2	2						
Ala.	2	5	21	12	10	-	0	1	-	-	-	1	8	-	1						
Ky.	10	4	22	19	1	-	0	1	-	-	1	0	2	1	-						
Miss.	-	4	24	-	4	-	0	0	-	-	-	0	2	-	-						
Tenn.	1	4	11	1	7	-	0	2	-	-	-	4	20	1	1						
W.S. CENTRAL	13	54	103	15	40	-	0	3	-	-	-	2	51	-	-						
Ark.	-	2	7	-	2	-	0	3	-	-	-	1	51	-	-						
La.	-	4	21	-	11	-	0	0	-	-	-	0	2	-	-						
Okla.	5	2	28	5	2	-	0	1	-	-	-	0	25	-	-						
Tex.	8	43	98	10	25	-	0	1	-	-	-	0	4	-	-						
MOUNTAIN	2	14	42	5	30	-	0	2	-	3	-	1	7	-	3						
