
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 2002 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	3,332	3,614	1,236	1,396	845	1,083	56	47													
NEW ENGLAND	66	60	51	50	1	5	1	1													
Maine	2	1	14	7	-	-	-	-													
N.H.	3	1	16	5	-	-	-	-													
Vt.	-	1	2	7	1	5	1	-													
Mass.	46	43	19	29	-	-	-	-													
R.I.	2	2	-	2	-	-	-	1													
Conn.	13	12	-	-	-	-	-	-													
MID. ATLANTIC	161	456	213	217	36	55	23	40													
Upstate N.Y.	40	120	124	83	36	53	23	40													
N.Y. City	82	115	50	75	U	U	-	-													
N.J.	13	141	22	48	-	-	-	-													
Pa.	26	80	17	11	-	2	-	-													
E.N. CENTRAL	413	518	179	336	59	71	13	5													
Ohio	249	134	76	84	-	-	1	-													
Ind.	21	73	9	14	59	71	11	5													
Ill.	72	151	1	126	-	-	-	-													
Mich.	44	97	93	90	-	-	1	-													
Wis.	27	63	-	22	-	-	-	-													
W.N. CENTRAL	274	381	88	126	188	18	15	1													
Minn.	44	160	48	44	141	-	15	-													
Iowa	30	69	-	-	-	-	-	-													
Mo.	40	72	22	30	4	5	-	-													
N. Dak.	-	9	-	4	-	1	-	1													
S. Dak.	119	18	4	5	1	1	-	-													
Nebr.	-	23	-	12	-	3	-	-													
Kans.	41	30	14	31	42	8	-	-													
S. ATLANTIC	1,462	528	253	258	470	756	4	-													
Del.	5	3	-	1	3	-	-	-													
Md.	170	34	32	20	-	-	-	-													
D.C.	18	16	3	-	26	2	1	-													
Va.	296	35	30	45	-	-	-	-													
W. Va.	2	4	2	8	21	17	-	-													
N.C.	94	102	52	42	-	-	-	-													
S.C.	17	30	19	2	75	119	3	-													
Ga.	588	125	70	94	133	285	-	-													
Fla.	272	179	45	46	212	333	-	-													
E.S. CENTRAL	265	281	42	31	62	113	-	-													
Ky.	46	98	5	14	8	14	-	-													
Tenn.	17	27	37	17	54	98	-	-													
Ala.	116	67	-	-	-	1	-	-													
Miss.	86	89	-	-	-	-	-	-													
W.S. CENTRAL	98	677	14	141	11	44	-	-													
Ark.	24	155	-	-	2	11	-	-													
La.	12	67	-	-	9	33	-	-													
Okla.	61	6	13	21	-	-	-	-													
Tex.	1	449	1	120	-	-	-	-													
MOUNTAIN	119	182	187	161	18	20	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	2	5	4	2	-	-	-	-													
Wyo.	1	-	3	2	7	2	-	-													
Colo.	34	38	101	62	-	-	-	-													
N. Mex.	17	37	35	30	10	18	-	-													
Ariz.	47	79	44	63	1	-	-	-													
Utah	10	9	-	2	-	-	-	-													
Nev.	8	14	-	-	-	-	-	-													
PACIFIC	474	531	209	76	-	1	-	-													
Wash.	18	50	26	-	-	-	-	-													
Oreg.	30	10	-	-	-	-	-	-													
Calif.	408	458	167	57	-	-	-	-													
Alaska	2	2	-	-	-	-	-	-													
Hawaii	16	11	16	19	-	1	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	6	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	-	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


