
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 29, 2012 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	4,664	26,880	29,727	1,330,266	1,412,791	21	322	589	16,939	22,634	40	126	279	7,034	9,250						
NEW ENGLAND	419	957	1,807	47,842	48,146	-	0	1	2	2	-	7	19	383	418						
Conn.	9	246	1,268	12,700	13,649	N	0	0	N	N	-	1	3	38	71						
Maine	-	63	101	2,933	3,094	N	0	0	N	N	-	1	4	66	51						
Mass.	345	459	706	23,590	22,764	-	0	0	-	-	-	3	8	149	168						
N.H.	-	59	85	2,875	3,010	-	0	1	1	1	-	1	4	43	68						
R.I.	65	84	186	4,318	4,146	-	0	1	1	1	-	0	3	16	12						
Vt.	-	27	87	1,426	1,483	N	0	0	N	N	-	1	6	71	48						
MID. ATLANTIC	1,490	3,515	4,469	176,829	181,856	-	0	1	4	6	2	12	41	730	904						
N.J.	57	548	640	27,169	26,209	N	0	0	N	N	-	0	4	23	56						
N.Y. (Upstate)	579	722	2,215	37,201	37,494	N	0	0	N	N	-	3	18	206	234						
N.Y. City	243	1,128	1,321	57,181	65,269	N	0	0	N	N	-	2	8	105	86						
Pa.	611	1,094	1,345	55,278	52,884	-	0	1	4	6	2	7	21	396	528						
E.N. CENTRAL	511	4,131	4,676	200,882	219,580	1	1	4	52	56	9	29	108	1,744	2,676						
Ill.	8	1,114	1,508	54,672	64,939	N	0	0	N	N	-	3	8	161	213						
Ind.	77	564	838	28,446	27,801	N	0	0	N	N	-	2	7	131	261						
Mich.	203	927	1,207	43,098	49,568	-	0	3	30	36	-	6	40	330	358						
Ohio	46	1,033	1,189	51,198	52,653	1	0	2	22	20	8	11	28	572	1,106						
Wis.	177	467	551	23,468	24,619	-	0	0	-	-	1	9	41	550	738						
W.N. CENTRAL	8	1,560	1,809	76,789	78,726	-	2	8	122	130	4	16	42	878	1,563						
Iowa	4	213	387	10,846	10,705	N	0	0	N	N	1	5	22	309	364						
Kans.	-	211	309	10,701	10,598	N	0	0	N	N	-	1	4	53	42						
Minn.	4	306	382	15,123	16,902	-	2	7	106	104	-	0	5	-	309						
Mo.	-	545	657	27,548	27,887	-	0	1	15	18	3	4	12	242	495						
Nebr.	-	131	185	6,352	6,780	-	0	1	1	8	-	2	10	127	175						
N. Dak.	-	52	73	2,511	2,445	N	0	0	N	N	-	1	5	37	32						
S. Dak.	-	73	106	3,708	3,409	N	0	0	N	N	-	2	6	110	146						
S. ATLANTIC	1,056	5,337	7,543	268,768	293,101	-	0	1	6	5	20	20	59	1,123	1,239						
Del.	322	81	182	4,438	4,508	-	0	0	-	-	-	0	4	15	7						
D.C.	-	135	243	6,616	6,585	-	0	0	-	-	N	0	0	N	N						
Fla.	385	1,501	1,728	76,484	76,033	N	0	0	N	N	16	9	24	473	437						
Ga.	349	975	1,285	48,988	54,403	N	0	0	N	N	-	5	15	249	307						
Md.	-	400	1,128	22,817	27,212	-	0	1	6	5	-	1	7	85	70						
N.C.	-	916	1,572	44,190	54,819	N	0	0	N	N	-	0	29	86	115						
S.C.	-	527	1,278	26,663	28,932	N	0	0	N	N	3	1	4	72	132						
Va.	-	675	1,780	33,995	36,314	N	0	0	N	N	1	3	6	139	140						
W. Va.	-	88	149	4,577	4,295	N	0	0	N	N	-	0	4	4	31						
E.S. CENTRAL	54	1,995	2,647	100,173	98,576	-	0	0	-	-	-	5	14	268	457						
Ala.	-	592	862	28,159	29,626	N	0	0	N	N	-	2	6	104	138						
Ky.	-	328	787	17,335	16,629	N	0	0	N	N	-	1	4	52	177						
Miss.	-	426	792	22,889	21,216	N	0	0	N	N	-	1	4	40	50						
Tenn.	54	637	827	31,790	31,105	N	0	0	N	N	-	1	5	72	92						
W.S. CENTRAL	78	3,259	4,336	167,504	187,144	-	0	1	4	3	1	9	20	479	712						
Ark.	72	327	412	16,242	16,052	N	0	0	N	N	-	1	5	37	32						
La.	-	400	1,316	22,657	31,614	-	0	1	4	3	-	2	7	129	87						
Okla.	6	79	1,015	4,115	14,596	N	0	0	N	N	1	2	6	85	89						
Tex.	-	2,440	3,363	124,490	124,882	N	0	0	N	N	-	4	10	228	504						
MOUNTAIN	334	1,788	2,072	88,733	90,226	17	247	478	12,961	16,712	2	11	44	766	641						
Ariz.	-	597	872	29,536	29,251	17	241	476	12,778	16,467	-	1	3	38	46						
Colo.	333	420	557	21,704	21,811	N	0	0	N	N	-	1	7	94	147						
Idaho	-	83	146	4,163	4,699	N	0	0	N	N	2	3	25	260	111						
Mont.	-	74	108	3,745	3,406	-	0	1	2	5	-	1	4	56	77						
Nev.	-	208	322	9,599	10,507	-	2	7	104	104	-	0	2	9	17						
N. Mex.	-	205	463	11,091	11,374	-	0	4	24	75	-	1	7	91	134						
Utah	1	148	179	7,265	7,086	-	1	4	48	58	-	2	19	187	63						
Wyo.	-	35	62	1,630	2,092	-	0	2	5	3	-	0	4	31	46						
PACIFIC	714	4,105	4,634	202,746	215,436	3	70	143	3,788	5,720	2	12	25	663	640						
Alaska	7	105	150	5,399	5,739	N	0	0	N	N	-	0	1	6	12						
Calif.	592	3,162	3,543	155,164	166,773	3	70	143	3,785	5,697	1	7	15	354	332						
Hawaii	-	121	148	5,630	6,001	N	0	0	N	N	-	0	1	6	1						
Oreg.	115	262	368	13,476	13,643	-	0	1	3	13	1	4	11	215	207						
Wash.	-	462	607	23,077	23,280	-	0	10	-	10	-	1	13	82	88						
Amer. Samoa	-	0	59	59	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	22	22	-	1,071	-	0	0	-	-	-	0	0	-	-						
P.R.	-	111	307	6,034	5,634	N	0	0	N	N	N	0	0	N	N						
V.I.	-	14	29	733	817	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


