
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending August 20, 2005 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	6,564	8,326	144	192	15,198	19,028	131	749	-												
NEW ENGLAND	199	261	16	17	985	1,992	-	-	-												
Maine	9	13	1	-	210	180	-	-	-												
N.H.	4	10	-	-	201	-	-	-	-												
Vt.	4	2	-	-	36	413	-	-	-												
Mass.	131	147	9	14	538	129	-	-	-												
R.I.	18	33	1	1	-	-	-	-	-												
Conn.	33	56	5	2	U	1,270	-	-	-												
MID. ATLANTIC	1,239	1,275	31	43	3,049	72	2	4	-												
Upstate N.Y.	163	179	5	6	-	-	-	1	-												
N.Y. City	602	637	9	15	-	-	-	2	-												
N.J.	293	272	9	12	-	-	-	-	-												
Pa.	181	187	8	10	3,049	72	2	1	-												
E.N. CENTRAL	815	738	10	22	3,959	8,318	12	30	-												
Ohio	159	127	1	4	977	1,027	2	4	-												
Ind.	81	76	-	-	1	N	1	2	-												
Ill.	387	331	2	10	50	4,254	9	15	-												
Mich.	134	144	3	6	2,635	2,537	-	5	-												
Wis.	54	60	4	2	296	500	-	4	-												
W.N. CENTRAL	277	290	3	7	274	134	17	38	-												
Minn.	121	109	2	3	-	-	2	9	-												
Iowa	26	23	-	-	N	N	-	4	-												
Mo.	62	80	1	2	186	5	1	13	-												
N. Dak.	2	3	-	-	12	74	2	1	-												
S. Dak.	9	5	-	-	76	55	7	5	-												
Nebr.	19	21	-	2	-	-	4	-	-												
Kans.	38	49	-	-	-	-	1	6	-												
S. ATLANTIC	1,508	1,720	23	28	1,375	1,647	4	39	-												
Del.	7	17	-	-	21	4	-	-	-												
Md.	175	162	7	10	-	-	-	5	-												
D.C.	33	60	-	-	23	19	-	1	-												
Va.	184	141	5	4	284	392	-	2	-												
W. Va.	17	14	-	-	697	932	-	-	N												
N.C.	160	180	2	3	-	N	1	1	-												
S.C.	137	118	-	-	350	300	-	-	-												
Ga.	236	379	2	3	-	-	-	7	-												
Fla.	559	649	7	8	-	-	3	23	-												
E.S. CENTRAL	340	395	5	6	-	5	5	36	-												
Ky.	66	66	2	2	N	N	-	-	-												
Tenn.	161	129	-	4	-	-	-	6	-												
Ala.	113	121	1	-	-	5	1	14	-												
Miss.	-	79	2	-	-	-	4	16	-												
W.S. CENTRAL	615	1,273	10	18	3,822	5,301	35	120	-												
Ark.	65	76	-	-	-	-	-	8	-												
La.	-	-	-	-	107	48	26	46	-												
Okla.	89	103	-	1	-	-	-	10	-												
Tex.	461	1,094	10	17	3,715	5,253	9	56	-												
MOUNTAIN	220	320	7	6	1,734	1,559	8	267	-												
Mont.	8	4	-	-	-	-	-	1	-												
Idaho	-	3	-	-	-	-	-	-	-												
Wyo.	-	2	-	-	43	25	-	1	-												
Colo.	47	78	2	1	1,224	1,232	-	31	-												
N. Mex.	8	20	-	-	121	U	2	18	-												
Ariz.	128	126	3	2	-	-	5	191	-												
Utah	18	26	1	1	346	302	-	4	-												
Nev.	11	61	1	2	-	-	1	21	-												
PACIFIC	1,351	2,054	39	45	-	-	48	215	-												
Wash.	153	141	4	4	N	N	-	-	-												
Oreg.	54	64	2	1	-	-	-	-	-												
Calif.	1,056	1,751	27	34	-	-	48	215	-												
Alaska	16	23	-	-	-	-	-	-	-												
Hawaii	72	75	6	6	-	-	-	-	-												
Guam	-	40	-	-	-	105	-	-	-												
P.R.	-	62	-	-	123	278	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


