
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2001 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	103	146	587	1,426	356	609	1	5	-	2	7	4									
NEW ENGLAND	4	13	33	34	4	14	-	-	-	-	-	-									
Maine	-	-	1	1	1	1	-	-	-	-	-	-									
N.H.	-	1	3	5	2	3	-	-	-	-	-	-									
Vt.	-	2	-	1	-	2	-	-	-	-	-	-									
Mass.	4	10	8	13	1	1	-	-	-	-	-	-									
R.I.	-	-	2	-	-	-	-	-	-	-	-	-									
Conn.	-	-	19	14	-	7	-	-	-	-	-	-									
MID. ATLANTIC	15	21	33	86	31	102	-	-	-	-	-	1									
Upstate N.Y.	5	10	15	26	5	6	-	-	-	-	-	-									
N.Y. City	5	7	15	50	20	62	-	-	-	-	-	1									
N.J.	4	3	-	3	-	6	-	-	-	-	-	-									
Pa.	1	1	3	7	6	28	-	-	-	-	-	-									
E.N. CENTRAL	13	22	96	231	68	70	-	-	-	-	-	1									
Ohio	9	8	28	52	12	13	-	-	-	-	-	-									
Ind.	3	2	2	4	2	1	-	-	-	-	-	-									
Ill.	-	10	13	98	2	1	-	-	-	-	-	-									
Mich.	1	2	53	65	52	54	-	-	-	-	-	1									
Wis.	-	-	-	12	-	1	-	-	-	-	-	-									
W.N. CENTRAL	2	3	53	141	21	38	1	1	-	-	1	-									
Minn.	-	-	1	12	-	-	-	-	-	-	-	-									
Iowa	-	-	3	10	-	7	-	-	-	-	-	-									
Mo.	2	3	10	100	16	27	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	15	3	4	2	-	-	-	-	-	-									
Kans.	-	-	24	16	-	2	1	1	-	-	1	-									
S. ATLANTIC	34	37	92	84	60	69	-	2	-	1	3	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	7	19	32	19	11	20	-	2	-	1	3	-									
D.C.	-	-	3	-	2	-	-	-	-	-	-	-									
Va.	3	8	14	15	9	15	-	-	-	-	-	-									
W. Va.	1	1	-	7	-	-	U	-	U	-	-	-									
N.C.	6	3	5	21	26	21	-	-	-	-	-	-									
S.C.	1	1	9	1	-	1	-	-	-	-	-	-									
Ga.	7	4	-	4	1	-	-	-	-	-	-	-									
Fla.	9	1	29	17	11	12	-	-	-	-	-	-									
E.S. CENTRAL	1	4	25	71	24	53	-	-	-	-	-	-									
Ky.	-	1	2	4	2	7	-	-	-	-	-	-									
Tenn.	-	3	13	21	5	22	-	-	-	-	-	-									
Ala.	1	-	10	9	9	3	-	-	-	-	-	-									
Miss.	-	-	-	37	8	21	-	-	-	-	-	-									
W.S. CENTRAL	1	12	37	281	19	71	-	-	-	-	-	-									
Ark.	-	-	13	13	11	7	-	-	-	-	-	-									
La.	-	4	5	12	1	25	-	-	-	-	-	-									
Okla.	1	8	19	40	7	5	-	-	-	-	-	-									
Tex.	-	-	-	216	-	34	-	-	-	-	-	-									
MOUNTAIN	26	20	74	96	26	46	-	-	-	1	1	-									
Mont.	-	-	2	1	-	1	-	-	-	-	-	-									
Idaho	-	1	-	3	-	3	-	-	-	1	1	-									
Wyo.	-	-	1	-	-	-	-	-	-	-	-	-									
Colo.	-	5	1	28	-	14	-	-	-	-	-	-									
N. Mex.	6	7	3	11	12	10	-	-	-	-	-	-									
Ariz.	19	6	45	38	9	15	-	-	-	-	-	-									
Utah	-	1	5	8	-	1	-	-	-	-	-	-									
Nev.	1	-	17	7	5	2	-	-	-	-	-	-									
PACIFIC	7	14	144	402	103	146	-	2	-	-	2	2									
Wash.	-	2	3	3	3	1	-	-	-	-	-	1									
Oreg.	6	2	15	27	16	13	-	2	-	-	2	-									
Calif.	-	5	119	365	83	128	-	-	-	-	-	1									
Alaska	1	1	7	3	1	2	-	-	-	-	-	-									
Hawaii	-	4	-	4	-	2	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	30	1	17	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


