
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2000 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	6,570	20,594	60	166	16	37	15	203													
NEW ENGLAND	250	411	-	1	2	2	7	22													
Maine	2	1	-	-	2	-	-	-													
N.H.	3	1	-	-	-	-	7	-													
Vt.	1	3	-	-	-	1	-	-													
Mass.	119	166	-	1	-	1	-	22													
R.I.	-	31	-	-	-	-	-	-													
Conn.	125	209	-	-	-	-	-	-													
MID. ATLANTIC	328	2,316	-	3	-	10	3	123													
Upstate N.Y.	55	102	-	-	-	-	2	5													
N.Y. City	-	1,104	-	-	-	4	-	8													
N.J.	11	510	-	-	-	2	-	46													
Pa.	262	600	-	3	-	4	1	64													
E.N. CENTRAL	1,615	3,179	20	97	5	15	-	7													
Ohio	117	909	-	-	4	3	-	4													
Ind.	168	356	-	-	-	1	-	-													
Ill.	476	1,131	-	-	-	3	-	-													
Mich.	485	409	20	39	1	6	-	-													
Wis.	369	374	-	58	-	2	U	3													
W.N. CENTRAL	197	1,018	6	14	1	-	-	2													
Minn.	65	193	-	-	-	-	-	-													
Iowa	12	13	-	-	-	-	-	-													
Mo.	113	591	6	14	1	-	-	1													
N. Dak.	-	3	-	-	-	-	-	-													
S. Dak.	6	12	-	-	-	-	-	-													
Nebr.	1	113	-	-	-	-	-	-													
Kans.	-	93	-	-	-	-	-	1													
S. ATLANTIC	2,017	6,453	3	5	3	2	3	34													
Del.	76	90	-	-	-	1	-	2													
Md.	69	1,051	-	3	2	-	2	28													
D.C.	117	205	-	-	-	-	-	-													
Va.	572	805	-	-	-	-	-	-													
W. Va.	-	53	-	1	N	N	-	-													
N.C.	1,010	1,151	3	1	1	1	1	4													
S.C.	110	1,079	-	-	-	-	-	-													
Ga.	63	829	-	-	-	-	-	-													
Fla.	-	1,190	-	-	-	-	-	-													
E.S. CENTRAL	309	1,742	11	6	-	1	-	3													
Ky.	171	234	-	-	-	1	-	-													
Tenn.	-	530	-	3	-	-	-	-													
Ala.	138	674	3	1	-	-	-	3													
Miss.	-	304	8	2	-	-	-	-													
W.S. CENTRAL	836	3,005	-	-	-	-	-	-													
Ark.	94	75	-	-	-	-	-	-													
La.	-	1,001	-	-	-	-	-	-													
Okla.	115	266	-	-	-	-	-	-													
Tex.	627	1,663	-	-	-	-	-	-													
MOUNTAIN	450	567	10	13	1	1	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	4	6	-	3	1	-	-	-													
Wyo.	2	2	9	4	-	-	-	-													
Colo.	227	75	-	1	-	-	-	-													
N. Mex.	-	63	1	5	-	1	-	-													
Ariz.	129	337	-	-	-	-	-	-													
Utah	38	11	-	-	-	-	-	-													
Nev.	50	73	-	-	-	-	-	-													
PACIFIC	568	1,903	10	27	4	6	2	12													
Wash.	130	112	1	-	-	-	-	-													
Oreg.	5	44	2	-	N	N	-	-													
Calif.	417	1,696	7	27	4	6	2	12													
Alaska	16	18	-	-	-	-	-	-													
Hawaii	-	33	-	-	-	-	N	N													
Guam	-	5	-	-	-	-	-	-													
P.R.	22	13	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


